date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,ATL,TOR,28.405479452054795,1.0,31.1,6.0,15.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,13.0,3.0,1.0,3.0,1.0,2.0,12.0,12.8,-7.0
2014-11-01,ATL,IND,28.413698630136988,1.0,27.883333333333333,9.0,14.0,0.643,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,0.0,2.0,3.0,2.0,20.0,14.4,12.0
2014-11-05,ATL,SAS,28.424657534246574,1.0,30.916666666666668,5.0,14.0,0.357,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,6.0,2.0,1.0,2.0,5.0,10.0,8.8,-4.0
2014-11-07,ATL,CHO,28.43013698630137,1.0,37.31666666666667,11.0,16.0,0.688,0.0,0.0,0.0,2.0,3.0,0.667,2.0,8.0,10.0,2.0,3.0,1.0,1.0,3.0,24.0,23.5,-15.0
2014-11-08,ATL,NYK,28.432876712328767,1.0,30.35,3.0,13.0,0.231,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,3.0,0.0,0.0,0.0,1.0,6.0,2.0,-14.0
2014-11-10,ATL,NYK,28.438356164383563,1.0,31.5,5.0,9.0,0.556,0.0,0.0,0.0,2.0,2.0,1.0,1.0,5.0,6.0,1.0,1.0,2.0,1.0,2.0,12.0,11.2,-2.0
2014-11-12,ATL,UTA,28.443835616438356,1.0,28.716666666666665,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,1.0,2.0,1.0,8.0,4.0,-14.0
2014-11-14,ATL,MIA,28.44931506849315,1.0,28.283333333333335,8.0,10.0,0.8,1.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,4.0,1.0,1.0,1.0,3.0,19.0,19.3,14.0
2014-11-15,ATL,CLE,28.45205479452055,1.0,19.15,6.0,10.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,12.0,10.8,-21.0
2014-11-18,ATL,LAL,28.46027397260274,1.0,30.366666666666667,7.0,8.0,0.875,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,8.0,2.0,0.0,0.0,2.0,0.0,15.0,14.4,8.0
