date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,TOR,ATL,27.495890410958904,1.0,31.35,7.0,15.0,0.467,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,10.0,2.0,0.0,4.0,0.0,2.0,16.0,16.7,1.0
2014-11-01,TOR,ORL,27.504109589041096,1.0,24.016666666666666,7.0,9.0,0.778,0.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,14.0,11.6,21.0
2014-11-07,TOR,WAS,27.52054794520548,1.0,21.183333333333334,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,0.0,2.0,1.0,4.0,6.0,4.6,17.0
2014-11-09,TOR,PHI,27.526027397260275,1.0,18.45,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,4.0,5.0,2.7,4.0
2014-11-11,TOR,ORL,27.53150684931507,1.0,22.183333333333334,6.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,12.0,10.3,-5.0
2014-11-13,TOR,CHI,27.536986301369865,1.0,30.1,4.0,9.0,0.444,1.0,1.0,1.0,5.0,7.0,0.714,3.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,14.0,11.4,-7.0
2014-11-15,TOR,UTA,27.542465753424658,1.0,22.916666666666668,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,6.4,9.0
2014-11-19,TOR,MEM,27.553424657534247,1.0,34.46666666666667,4.0,6.0,0.667,0.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,9.0,5.0,0.0,2.0,0.0,4.0,8.0,12.6,-2.0
2014-11-21,TOR,MIL,27.55890410958904,1.0,19.85,4.0,6.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,3.0,9.0,5.6,30.0
2014-11-22,TOR,CLE,27.561643835616437,1.0,28.416666666666668,2.0,7.0,0.286,1.0,3.0,0.333,1.0,2.0,0.5,2.0,2.0,4.0,0.0,0.0,1.0,2.0,4.0,6.0,0.6,1.0
