date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,DET,DEN,21.21917808219178,1.0,27.05,5.0,10.0,0.5,0.0,0.0,0.0,1.0,4.0,0.25,3.0,6.0,9.0,1.0,2.0,1.0,1.0,6.0,11.0,8.7,3.0
2014-10-30,DET,MIN,21.221917808219178,1.0,31.316666666666666,5.0,14.0,0.357,0.0,0.0,0.0,1.0,4.0,0.25,2.0,10.0,12.0,1.0,0.0,2.0,2.0,5.0,11.0,4.5,-3.0
2014-11-01,DET,BRK,21.22739726027397,1.0,21.55,6.0,9.0,0.667,0.0,0.0,0.0,2.0,4.0,0.5,3.0,5.0,8.0,0.0,0.0,2.0,0.0,5.0,14.0,12.3,-8.0
2014-11-05,DET,NYK,21.23835616438356,1.0,28.866666666666667,3.0,10.0,0.3,0.0,0.0,0.0,1.0,4.0,0.25,6.0,7.0,13.0,0.0,0.0,2.0,2.0,5.0,7.0,3.7,9.0
2014-11-07,DET,MIL,21.243835616438357,1.0,26.366666666666667,5.0,10.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,3.0,7.0,10.0,0.0,0.0,2.0,1.0,2.0,11.0,9.4,-4.0
2014-11-09,DET,UTA,21.24931506849315,1.0,31.116666666666667,5.0,11.0,0.455,0.0,0.0,0.0,1.0,2.0,0.5,7.0,11.0,18.0,0.0,1.0,1.0,3.0,2.0,11.0,11.0,-7.0
2014-11-10,DET,CHI,21.252054794520546,1.0,36.45,0.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,4.0,8.0,12.0,0.0,1.0,1.0,3.0,6.0,2.0,-0.8,-4.0
2014-11-12,DET,WAS,21.257534246575343,1.0,23.133333333333333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,2.0,2.0,4.0,2.0,0.3,-4.0
2014-11-14,DET,OKC,21.263013698630136,1.0,32.05,4.0,11.0,0.364,0.0,0.0,0.0,1.0,1.0,1.0,4.0,11.0,15.0,1.0,1.0,2.0,2.0,3.0,9.0,8.9,-11.0
2014-11-15,DET,MEM,21.265753424657536,1.0,20.3,2.0,4.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,2.0,8.0,10.0,0.0,0.0,1.0,1.0,5.0,6.0,4.7,-8.0
2014-11-17,DET,ORL,21.27123287671233,1.0,28.333333333333332,5.0,12.0,0.417,0.0,0.0,0.0,2.0,4.0,0.5,4.0,6.0,10.0,0.0,0.0,3.0,2.0,4.0,12.0,7.9,-10.0
2014-11-19,DET,PHO,21.276712328767122,1.0,25.183333333333334,2.0,10.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,3.0,10.0,13.0,1.0,0.0,0.0,3.0,3.0,4.0,-1.4,1.0
2014-11-21,DET,ATL,21.28219178082192,1.0,38.333333333333336,5.0,12.0,0.417,0.0,0.0,0.0,3.0,4.0,0.75,7.0,9.0,16.0,0.0,1.0,1.0,2.0,1.0,13.0,13.1,-13.0
2014-11-25,DET,MIL,21.293150684931508,1.0,32.38333333333333,11.0,15.0,0.733,0.0,0.0,0.0,1.0,2.0,0.5,2.0,8.0,10.0,1.0,1.0,2.0,3.0,4.0,23.0,18.8,-3.0
2014-11-26,DET,LAC,21.295890410958904,1.0,37.55,6.0,11.0,0.545,0.0,0.0,0.0,5.0,9.0,0.556,6.0,7.0,13.0,0.0,2.0,2.0,2.0,0.0,17.0,17.8,-2.0
2014-11-28,DET,MIL,21.301369863013697,1.0,38.45,12.0,19.0,0.632,0.0,0.0,0.0,2.0,4.0,0.5,7.0,13.0,20.0,0.0,1.0,1.0,3.0,3.0,26.0,23.0,-2.0
2014-11-30,DET,GSW,21.306849315068494,1.0,23.966666666666665,1.0,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,2.0,1.0,4.0,2.0,-0.8,-13.0
