date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,GSW,SAC,29.91780821917808,1.0,18.066666666666666,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,4.0,1.0,4.0,4.0,5.1,11.0
2014-11-01,GSW,LAL,29.926027397260274,1.0,30.383333333333333,3.0,10.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,3.0,1.0,2.0,5.0,4.0,6.0,3.1,26.0
2014-11-02,GSW,POR,29.92876712328767,1.0,31.533333333333335,5.0,6.0,0.833,0.0,0.0,0.0,1.0,2.0,0.5,3.0,9.0,12.0,3.0,1.0,2.0,3.0,3.0,11.0,13.5,1.0
2014-11-05,GSW,LAC,29.936986301369863,1.0,34.2,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,14.0,5.0,0.0,0.0,3.0,3.0,6.0,8.4,8.0
2014-11-08,GSW,HOU,29.945205479452056,1.0,36.53333333333333,4.0,10.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,4.0,14.0,18.0,1.0,0.0,4.0,2.0,2.0,8.0,9.9,15.0
2014-11-09,GSW,PHO,29.947945205479453,1.0,25.55,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,2.0,1.0,4.0,4.0,4.0,1.5,-4.0
2014-11-11,GSW,SAS,29.953424657534246,1.0,25.816666666666666,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,2.0,0.0,2.0,3.0,4.0,7.2,-7.0
2014-11-13,GSW,BRK,29.958904109589042,1.0,31.0,4.0,7.0,0.571,0.0,0.0,0.0,3.0,5.0,0.6,7.0,7.0,14.0,5.0,1.0,4.0,1.0,3.0,11.0,19.0,7.0
2014-11-15,GSW,CHO,29.964383561643835,1.0,21.55,6.0,7.0,0.857,0.0,0.0,0.0,1.0,2.0,0.5,2.0,7.0,9.0,2.0,1.0,0.0,2.0,3.0,13.0,12.8,24.0
2014-11-16,GSW,LAL,29.96712328767123,1.0,21.133333333333333,7.0,9.0,0.778,0.0,0.0,0.0,1.0,1.0,1.0,0.0,10.0,10.0,4.0,0.0,1.0,0.0,4.0,15.0,16.4,21.0
