date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,PHO,LAL,29.410958904109588,0.0,11.766666666666667,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.5,1.0,5.0,6.0,0.0,0.0,0.0,2.0,3.0,7.0,5.0,-14.0
2014-10-31,PHO,SAS,29.416438356164385,0.0,16.7,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.6,2.0
2014-11-01,PHO,UTA,29.41917808219178,0.0,10.616666666666667,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,5.0,2.9,-6.0
2014-11-04,PHO,LAL,29.427397260273974,0.0,8.566666666666666,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.1,6.0
2014-11-05,PHO,MEM,29.43013698630137,0.0,7.633333333333333,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.9,8.0
2014-11-09,PHO,GSW,29.44109589041096,0.0,10.816666666666666,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.6,-4.0
2014-11-12,PHO,BRK,29.44931506849315,0.0,8.816666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.1,-7.0
2014-11-14,PHO,CHO,29.454794520547946,0.0,7.966666666666667,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,-2.2,-12.0
2014-11-15,PHO,LAC,29.457534246575342,0.0,3.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2014-11-17,PHO,BOS,29.463013698630135,0.0,5.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8,-7.0
2014-11-21,PHO,PHI,29.473972602739725,0.0,22.566666666666666,4.0,9.0,0.444,3.0,8.0,0.375,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,11.0,8.1,25.0
2014-11-22,PHO,IND,29.476712328767125,0.0,23.8,3.0,7.0,0.429,3.0,7.0,0.429,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,8.9,12.0
2014-11-24,PHO,TOR,29.482191780821918,0.0,10.65,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.2,-11.0
2014-11-26,PHO,DEN,29.487671232876714,0.0,4.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,5.0
2014-11-28,PHO,DEN,29.493150684931507,0.0,14.983333333333333,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.9,6.0
2014-11-30,PHO,ORL,29.4986301369863,0.0,7.516666666666667,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.3,-8.0
2014-12-02,PHO,IND,29.504109589041096,0.0,18.433333333333334,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,3.0,4.6,-6.0
2014-12-05,PHO,DAL,29.512328767123286,0.0,10.066666666666666,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,1.2,-8.0
2014-12-06,PHO,HOU,29.515068493150686,0.0,4.216666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4,1.0
2014-12-08,PHO,LAC,29.52054794520548,0.0,23.683333333333334,3.0,7.0,0.429,3.0,5.0,0.6,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,9.0,4.5,13.0
2014-12-09,PHO,MIA,29.523287671232875,0.0,16.183333333333334,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,9.0,5.5,6.0
2014-12-12,PHO,DET,29.53150684931507,0.0,3.65,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-6.0
2014-12-14,PHO,OKC,29.536986301369865,0.0,11.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.4,-6.0
2014-12-15,PHO,MIL,29.53972602739726,0.0,9.733333333333333,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.8,-12.0
2014-12-30,DET,ORL,29.58082191780822,0.0,10.866666666666667,2.0,6.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,1.8,2.0
2015-01-02,DET,NYK,29.589041095890412,0.0,9.5,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6,-3.0
2015-01-04,DET,SAC,29.594520547945205,0.0,7.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,6.0,6.2,10.0
2015-01-06,DET,SAS,29.6,0.0,22.5,1.0,5.0,0.2,0.0,4.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,0.0,1.0,0.0,2.0,4.0,3.0,-0.8,6.0
2015-01-07,DET,DAL,29.602739726027398,0.0,10.25,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.9,-1.0
2015-01-09,DET,ATL,29.60821917808219,0.0,18.316666666666666,5.0,8.0,0.625,3.0,6.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,6.0,15.0,8.7,3.0
2015-01-10,DET,BRK,29.610958904109587,0.0,5.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
