date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,DEN,DET,29.03835616438356,1.0,39.81666666666667,6.0,16.0,0.375,2.0,5.0,0.4,1.0,3.0,0.333,1.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,15.0,7.3,19.0
2014-11-01,DEN,OKC,29.046575342465754,1.0,36.166666666666664,5.0,11.0,0.455,2.0,6.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,1.0,5.0,14.0,9.0,1.0
2014-11-03,DEN,SAC,29.052054794520547,1.0,30.8,4.0,13.0,0.308,1.0,5.0,0.2,7.0,7.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,16.0,9.7,0.0
2014-11-05,DEN,SAC,29.057534246575344,1.0,21.816666666666666,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,-29.0
2014-11-07,DEN,CLE,29.063013698630137,1.0,31.316666666666666,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,-0.4,-18.0
2014-11-09,DEN,POR,29.068493150684933,1.0,25.816666666666666,8.0,14.0,0.571,1.0,2.0,0.5,1.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,18.0,11.2,-18.0
2014-11-12,DEN,POR,29.076712328767123,1.0,10.4,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,2.2,-14.0
2014-11-14,DEN,IND,29.08219178082192,1.0,23.766666666666666,7.0,11.0,0.636,3.0,7.0,0.429,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,17.0,13.0,24.0
2014-11-16,DEN,NYK,29.087671232876712,1.0,31.983333333333334,6.0,11.0,0.545,5.0,7.0,0.714,1.0,1.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,3.0,18.0,15.2,8.0
2014-11-17,DEN,CLE,29.09041095890411,1.0,40.35,8.0,17.0,0.471,4.0,8.0,0.5,3.0,4.0,0.75,0.0,4.0,4.0,3.0,0.0,1.0,3.0,1.0,23.0,14.5,12.0
2014-11-19,DEN,OKC,29.095890410958905,1.0,33.53333333333333,6.0,15.0,0.4,1.0,6.0,0.167,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,13.0,5.1,6.0
2014-11-21,DEN,NOP,29.101369863013698,1.0,28.55,7.0,13.0,0.538,1.0,3.0,0.333,4.0,4.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,19.0,13.6,5.0
2014-11-23,DEN,LAL,29.106849315068494,1.0,42.18333333333333,5.0,17.0,0.294,1.0,6.0,0.167,4.0,4.0,1.0,1.0,5.0,6.0,1.0,1.0,0.0,1.0,3.0,15.0,6.8,9.0
