date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-09,CHO,LAL,22.2,0.0,2.6833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0
2014-11-14,CHO,PHO,22.213698630136985,0.0,14.316666666666666,3.0,4.0,0.75,0.0,0.0,0.0,5.0,6.0,0.833,5.0,5.0,10.0,2.0,0.0,0.0,1.0,4.0,11.0,12.8,4.0
2014-11-15,CHO,GSW,22.216438356164385,0.0,18.45,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,1.0,3.0,4.0,0.0,0.0,2.0,1.0,2.0,3.0,3.8,-11.0
2014-11-17,CHO,DAL,22.221917808219178,0.0,16.233333333333334,2.0,6.0,0.333,0.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,5.6,-12.0
2014-11-19,CHO,IND,22.22739726027397,0.0,13.1,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,0.0,0.0,1.0,0.0,3.0,4.0,4.8,8.0
2014-11-21,CHO,ORL,22.232876712328768,0.0,12.366666666666667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,1.0,6.0,2.0,3.0,4.0,5.1,5.0
2014-11-23,CHO,MIA,22.23835616438356,0.0,13.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,-1.4,-1.0
2014-11-24,CHO,LAC,22.24109589041096,0.0,16.266666666666666,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,7.0,9.0,0.0,0.0,1.0,0.0,0.0,5.0,8.5,7.0
2014-11-26,CHO,POR,22.246575342465754,0.0,12.483333333333333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9,4.0
2014-11-28,CHO,GSW,22.252054794520546,0.0,13.683333333333334,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,0.0,2.0,0.0,1.0,8.0,8.2,3.0
2014-11-29,CHO,ATL,22.254794520547946,0.0,20.65,3.0,4.0,0.75,0.0,0.0,0.0,1.0,4.0,0.25,6.0,5.0,11.0,1.0,0.0,2.0,1.0,1.0,7.0,10.6,-3.0
