date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,CHO,MIL,28.904109589041095,0.0,14.016666666666667,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,4.0,4.7,-10.0
2014-11-01,CHO,MEM,28.912328767123288,0.0,17.05,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,5.0,6.1,-4.0
2014-11-02,CHO,NYK,28.915068493150685,0.0,17.7,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,3.6,-5.0
2014-11-04,CHO,NOP,28.92054794520548,0.0,20.666666666666668,1.0,5.0,0.2,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,4.0,3.7,6.0
2014-11-05,CHO,MIA,28.923287671232877,0.0,13.766666666666667,0.0,2.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,3.6,-5.0
2014-11-07,CHO,ATL,28.92876712328767,0.0,14.766666666666667,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,-1.1,9.0
2014-11-09,CHO,LAL,28.934246575342467,0.0,11.316666666666666,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,-0.8,-4.0
2014-11-11,CHO,POR,28.93972602739726,0.0,12.05,4.0,7.0,0.571,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,12.0,6.0,1.0
2014-11-14,CHO,PHO,28.947945205479453,0.0,15.483333333333333,3.0,8.0,0.375,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,3.5,10.0
2014-11-15,CHO,GSW,28.95068493150685,0.0,20.583333333333332,6.0,12.0,0.5,2.0,4.0,0.5,3.0,3.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,17.0,13.7,-6.0
2014-11-17,CHO,DAL,28.956164383561642,0.0,19.283333333333335,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,-3.1,-10.0
2014-11-19,CHO,IND,28.96164383561644,0.0,29.8,4.0,7.0,0.571,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,9.0,9.1,3.0
2014-11-21,CHO,ORL,28.96712328767123,0.0,13.7,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,5.3,-4.0
2014-11-23,CHO,MIA,28.972602739726028,0.0,15.6,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.6,-4.0
2014-11-24,CHO,LAC,28.975342465753425,0.0,27.4,5.0,9.0,0.556,1.0,5.0,0.2,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,11.0,9.4,-7.0
2014-11-26,CHO,POR,28.980821917808218,0.0,32.46666666666667,9.0,16.0,0.563,3.0,4.0,0.75,1.0,4.0,0.25,1.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,22.0,16.2,3.0
2014-11-28,CHO,GSW,28.986301369863014,0.0,29.783333333333335,8.0,12.0,0.667,2.0,4.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,20.0,14.6,1.0
2014-11-29,CHO,ATL,28.98904109589041,0.0,17.25,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.2,-23.0
2014-12-03,CHO,CHI,29.0,0.0,18.95,1.0,8.0,0.125,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,-0.2,-13.0
2014-12-05,CHO,NYK,29.005479452054793,0.0,8.95,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3,-6.0
2014-12-10,CHO,BOS,29.019178082191782,0.0,11.583333333333334,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,-4.0
2014-12-12,CHO,MEM,29.024657534246575,0.0,9.966666666666667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,-2.0,0.0
2014-12-13,CHO,BRK,29.027397260273972,0.0,21.05,5.0,7.0,0.714,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,14.0,9.3,3.0
2014-12-15,CHO,CLE,29.03287671232877,0.0,13.383333333333333,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,0.0,7.0,7.1,12.0
