date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-03,BRK,OKC,26.59178082191781,1.0,23.866666666666667,6.0,10.0,0.6,0.0,0.0,0.0,6.0,7.0,0.857,2.0,4.0,6.0,0.0,1.0,2.0,1.0,3.0,18.0,15.8,-2.0
2014-11-05,BRK,MIN,26.5972602739726,1.0,33.88333333333333,5.0,14.0,0.357,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,0.0,2.0,2.0,4.0,4.0,10.0,1.9,-27.0
2014-11-07,BRK,NYK,26.602739726027398,1.0,30.733333333333334,6.0,10.0,0.6,0.0,0.0,0.0,8.0,10.0,0.8,3.0,6.0,9.0,1.0,1.0,2.0,0.0,4.0,20.0,20.0,10.0
2014-11-09,BRK,ORL,26.60821917808219,1.0,25.983333333333334,4.0,9.0,0.444,0.0,0.0,0.0,4.0,4.0,1.0,3.0,2.0,5.0,0.0,1.0,3.0,1.0,2.0,12.0,11.3,7.0
2014-11-12,BRK,PHO,26.616438356164384,1.0,25.533333333333335,6.0,13.0,0.462,0.0,0.0,0.0,4.0,5.0,0.8,1.0,2.0,3.0,0.0,2.0,1.0,0.0,3.0,16.0,11.7,4.0
2014-11-13,BRK,GSW,26.61917808219178,1.0,26.933333333333334,7.0,17.0,0.412,0.0,0.0,0.0,4.0,4.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,3.0,3.0,18.0,7.0,0.0
2014-11-15,BRK,POR,26.624657534246577,1.0,29.983333333333334,10.0,17.0,0.588,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0,4.0,21.0,13.5,3.0
2014-11-17,BRK,MIA,26.63013698630137,1.0,21.616666666666667,2.0,8.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,-13.0
2014-11-19,BRK,MIL,26.635616438356166,1.0,43.95,11.0,19.0,0.579,0.0,0.0,0.0,4.0,4.0,1.0,2.0,5.0,7.0,2.0,1.0,3.0,7.0,3.0,26.0,16.3,-5.0
2014-11-21,BRK,OKC,26.64109589041096,1.0,34.68333333333333,6.0,12.0,0.5,0.0,0.0,0.0,4.0,4.0,1.0,4.0,6.0,10.0,0.0,0.0,3.0,4.0,2.0,16.0,11.9,-1.0
2014-11-22,BRK,SAS,26.643835616438356,1.0,25.3,3.0,8.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,1.0,2.0,3.0,6.0,2.2,-16.0
2014-11-26,BRK,PHI,26.654794520547945,1.0,29.283333333333335,9.0,12.0,0.75,0.0,0.0,0.0,1.0,4.0,0.25,1.0,6.0,7.0,0.0,0.0,3.0,6.0,5.0,19.0,9.6,11.0
2014-11-30,BRK,CHI,26.665753424657535,1.0,22.283333333333335,5.0,11.0,0.455,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,11.0,3.9,-7.0
2014-12-02,BRK,NYK,26.671232876712327,1.0,35.4,10.0,20.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,3.0,5.0,8.0,2.0,0.0,3.0,1.0,2.0,23.0,17.9,6.0
