date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-30,LAC,OKC,29.484931506849314,1.0,37.6,9.0,18.0,0.5,1.0,3.0,0.333,3.0,7.0,0.429,2.0,2.0,4.0,7.0,3.0,1.0,0.0,3.0,22.0,20.8,0.0
2014-10-31,LAC,LAL,29.487671232876714,1.0,37.016666666666666,2.0,9.0,0.222,1.0,5.0,0.2,7.0,8.0,0.875,0.0,2.0,2.0,10.0,2.0,0.0,1.0,4.0,12.0,13.1,7.0
2014-11-02,LAC,SAC,29.493150684931507,1.0,37.43333333333333,6.0,12.0,0.5,2.0,5.0,0.4,2.0,2.0,1.0,1.0,4.0,5.0,11.0,4.0,1.0,0.0,3.0,16.0,23.1,-13.0
2014-11-03,LAC,UTA,29.495890410958904,1.0,35.96666666666667,5.0,12.0,0.417,1.0,2.0,0.5,2.0,2.0,1.0,0.0,10.0,10.0,12.0,2.0,1.0,2.0,2.0,13.0,17.9,9.0
2014-11-05,LAC,GSW,29.5013698630137,1.0,31.066666666666666,6.0,15.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,12.0,4.0,0.0,2.0,2.0,15.0,17.1,-25.0
2014-11-08,LAC,POR,29.50958904109589,1.0,36.45,9.0,18.0,0.5,0.0,3.0,0.0,4.0,4.0,1.0,0.0,4.0,4.0,11.0,1.0,1.0,0.0,2.0,22.0,22.8,-3.0
2014-11-10,LAC,SAS,29.515068493150686,1.0,38.56666666666667,6.0,13.0,0.462,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,9.0,1.0,0.0,4.0,4.0,12.0,10.0,2.0
2014-11-15,LAC,PHO,29.528767123287672,1.0,35.9,10.0,13.0,0.769,5.0,6.0,0.833,7.0,8.0,0.875,0.0,5.0,5.0,9.0,2.0,0.0,3.0,3.0,32.0,32.1,16.0
2014-11-17,LAC,CHI,29.534246575342465,1.0,37.083333333333336,5.0,11.0,0.455,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,12.0,11.0,-20.0
2014-11-19,LAC,ORL,29.53972602739726,1.0,30.2,8.0,13.0,0.615,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,9.0,2.0,0.0,2.0,1.0,16.0,17.6,12.0
2014-11-20,LAC,MIA,29.542465753424658,1.0,32.95,8.0,13.0,0.615,3.0,5.0,0.6,7.0,8.0,0.875,0.0,2.0,2.0,12.0,1.0,0.0,1.0,0.0,26.0,28.7,29.0
2014-11-23,LAC,MEM,29.55068493150685,1.0,34.38333333333333,7.0,13.0,0.538,1.0,2.0,0.5,7.0,7.0,1.0,0.0,5.0,5.0,5.0,4.0,0.0,2.0,3.0,22.0,21.5,-12.0
2014-11-24,LAC,CHO,29.553424657534247,1.0,38.46666666666667,10.0,16.0,0.625,2.0,5.0,0.4,0.0,0.0,0.0,0.0,5.0,5.0,15.0,0.0,1.0,1.0,3.0,22.0,25.3,33.0
2014-11-26,LAC,DET,29.55890410958904,1.0,36.333333333333336,9.0,12.0,0.75,3.0,4.0,0.75,2.0,2.0,1.0,1.0,1.0,2.0,7.0,1.0,0.0,3.0,3.0,23.0,20.9,9.0
2014-11-28,LAC,HOU,29.564383561643837,1.0,32.68333333333333,3.0,7.0,0.429,1.0,2.0,0.5,3.0,3.0,1.0,0.0,1.0,1.0,7.0,5.0,0.0,0.0,2.0,10.0,15.7,17.0
2014-11-29,LAC,UTA,29.567123287671233,1.0,33.86666666666667,7.0,13.0,0.538,1.0,3.0,0.333,2.0,2.0,1.0,1.0,2.0,3.0,10.0,2.0,0.0,2.0,0.0,17.0,19.0,33.0
2014-12-01,LAC,MIN,29.572602739726026,1.0,24.583333333333332,3.0,7.0,0.429,0.0,2.0,0.0,6.0,6.0,1.0,1.0,2.0,3.0,8.0,1.0,0.0,2.0,2.0,12.0,13.4,22.0
2014-12-03,LAC,ORL,29.578082191780823,1.0,28.9,7.0,10.0,0.7,3.0,5.0,0.6,2.0,2.0,1.0,0.0,5.0,5.0,10.0,1.0,0.0,1.0,0.0,19.0,23.3,27.0
2014-12-06,LAC,NOP,29.586301369863016,1.0,29.9,7.0,13.0,0.538,4.0,6.0,0.667,0.0,0.0,0.0,0.0,6.0,6.0,16.0,0.0,0.0,2.0,2.0,18.0,21.9,22.0
2014-12-08,LAC,PHO,29.59178082191781,1.0,43.36666666666667,8.0,23.0,0.348,1.0,9.0,0.111,3.0,4.0,0.75,1.0,6.0,7.0,10.0,1.0,0.0,3.0,4.0,20.0,12.6,10.0
2014-12-10,LAC,IND,29.5972602739726,1.0,37.15,7.0,16.0,0.438,0.0,2.0,0.0,3.0,3.0,1.0,1.0,7.0,8.0,15.0,3.0,0.0,4.0,4.0,17.0,19.3,22.0
2014-12-12,LAC,WAS,29.602739726027398,1.0,35.06666666666667,7.0,14.0,0.5,1.0,4.0,0.25,4.0,4.0,1.0,2.0,5.0,7.0,6.0,0.0,0.0,6.0,1.0,19.0,12.7,-10.0
2014-12-13,LAC,MIL,29.605479452054794,1.0,35.56666666666667,5.0,15.0,0.333,0.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,7.0,1.0,0.0,6.0,6.0,10.0,1.3,7.0
2014-12-15,LAC,DET,29.610958904109587,1.0,24.066666666666666,4.0,7.0,0.571,2.0,3.0,0.667,1.0,1.0,1.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,0.0,11.0,12.9,17.0
2014-12-17,LAC,IND,29.616438356164384,1.0,37.78333333333333,7.0,14.0,0.5,1.0,3.0,0.333,5.0,6.0,0.833,0.0,6.0,6.0,9.0,5.0,0.0,1.0,2.0,20.0,23.9,13.0
2014-12-19,LAC,DEN,29.621917808219177,1.0,38.833333333333336,8.0,17.0,0.471,1.0,4.0,0.25,0.0,0.0,0.0,3.0,2.0,5.0,15.0,3.0,0.0,4.0,2.0,17.0,19.7,13.0
