date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,POR,OKC,24.29041095890411,1.0,29.633333333333333,3.0,10.0,0.3,2.0,7.0,0.286,2.0,2.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0,1.0,4.0,10.0,6.7,9.0
2014-10-31,POR,SAC,24.295890410958904,1.0,35.333333333333336,4.0,13.0,0.308,4.0,8.0,0.5,8.0,9.0,0.889,2.0,5.0,7.0,2.0,0.0,1.0,1.0,4.0,20.0,14.5,-16.0
2014-11-02,POR,GSW,24.301369863013697,1.0,38.36666666666667,4.0,18.0,0.222,1.0,7.0,0.143,2.0,2.0,1.0,3.0,3.0,6.0,5.0,0.0,0.0,2.0,1.0,11.0,4.1,-3.0
2014-11-04,POR,CLE,24.306849315068494,1.0,36.21666666666667,6.0,13.0,0.462,5.0,10.0,0.5,10.0,10.0,1.0,1.0,5.0,6.0,7.0,1.0,1.0,0.0,2.0,27.0,28.3,15.0
2014-11-06,POR,DAL,24.312328767123287,1.0,31.866666666666667,6.0,13.0,0.462,1.0,6.0,0.167,5.0,5.0,1.0,0.0,5.0,5.0,6.0,1.0,0.0,5.0,1.0,18.0,12.6,23.0
2014-11-08,POR,LAC,24.317808219178083,1.0,38.6,9.0,14.0,0.643,4.0,8.0,0.5,3.0,4.0,0.75,0.0,7.0,7.0,8.0,0.0,0.0,5.0,5.0,25.0,19.1,-1.0
2014-11-09,POR,DEN,24.32054794520548,1.0,33.733333333333334,4.0,9.0,0.444,2.0,5.0,0.4,1.0,1.0,1.0,1.0,4.0,5.0,7.0,2.0,0.0,0.0,3.0,11.0,13.9,-1.0
2014-11-11,POR,CHO,24.326027397260273,1.0,38.61666666666667,12.0,21.0,0.571,5.0,8.0,0.625,0.0,0.0,0.0,1.0,3.0,4.0,7.0,2.0,0.0,6.0,1.0,29.0,21.2,-3.0
2014-11-12,POR,DEN,24.328767123287673,1.0,30.1,10.0,16.0,0.625,5.0,6.0,0.833,2.0,2.0,1.0,1.0,4.0,5.0,9.0,2.0,0.0,4.0,1.0,27.0,25.6,28.0
2014-11-15,POR,BRK,24.336986301369862,1.0,37.9,8.0,14.0,0.571,4.0,6.0,0.667,8.0,9.0,0.889,0.0,5.0,5.0,10.0,0.0,0.0,4.0,2.0,28.0,24.7,2.0
