date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-12-04,NOP,GSW,27.61917808219178,0.0,11.816666666666666,1.0,6.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,-1.3,-12.0
2014-12-06,NOP,LAC,27.624657534246577,0.0,20.75,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.9,7.0
2014-12-07,NOP,LAL,27.627397260273973,0.0,24.8,3.0,6.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,4.0,6.0,0.0,0.0,0.0,1.0,3.0,7.0,4.0,8.0
2014-12-09,NOP,NYK,27.632876712328766,0.0,30.983333333333334,2.0,4.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,1.0,4.0,5.0,1.0,0.0,0.0,2.0,2.0,7.0,4.4,7.0
2014-12-10,NOP,DAL,27.635616438356166,0.0,27.183333333333334,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,-9.0
2014-12-12,NOP,CLE,27.64109589041096,0.0,11.133333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,2.0,2.5,-1.0
2014-12-14,NOP,GSW,27.646575342465752,0.0,29.6,6.0,7.0,0.857,0.0,0.0,0.0,1.0,2.0,0.5,0.0,5.0,5.0,0.0,2.0,1.0,2.0,3.0,13.0,11.1,1.0
2014-12-16,NOP,UTA,27.65205479452055,0.0,29.733333333333334,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,6.0,3.9,0.0
2014-12-18,NOP,HOU,27.65753424657534,0.0,33.75,6.0,10.0,0.6,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,15.0,13.0,1.0
2014-12-20,NOP,POR,27.663013698630138,0.0,15.416666666666666,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,3.3,-6.0
2014-12-21,NOP,OKC,27.665753424657535,0.0,29.833333333333332,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,6.0,6.7,6.0
2014-12-23,NOP,IND,27.671232876712327,0.0,23.233333333333334,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.6,-12.0
2014-12-26,NOP,SAS,27.67945205479452,0.0,13.133333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0
