date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,UTA,HOU,19.295890410958904,0.0,9.616666666666667,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,4.4,3.0
2014-10-30,UTA,DAL,19.2986301369863,0.0,19.416666666666668,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,-2.8,-15.0
2014-11-01,UTA,PHO,19.304109589041097,0.0,17.616666666666667,3.0,4.0,0.75,3.0,4.0,0.75,1.0,4.0,0.25,0.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,10.0,10.4,15.0
2014-11-03,UTA,LAC,19.30958904109589,0.0,16.566666666666666,3.0,6.0,0.5,0.0,3.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,7.0,4.2,-1.0
2014-11-05,UTA,CLE,19.315068493150687,0.0,24.933333333333334,1.0,5.0,0.2,0.0,3.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,2.8,1.0
2014-11-07,UTA,DAL,19.32054794520548,0.0,26.933333333333334,4.0,7.0,0.571,2.0,4.0,0.5,1.0,2.0,0.5,0.0,2.0,2.0,5.0,0.0,0.0,1.0,4.0,11.0,8.8,-6.0
2014-11-09,UTA,DET,19.326027397260273,0.0,20.816666666666666,2.0,4.0,0.5,0.0,1.0,0.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,2.0,9.0,12.0,11.0
2014-11-10,UTA,IND,19.328767123287673,0.0,19.2,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,3.0,3.0,1.3,-2.0
2014-11-12,UTA,ATL,19.334246575342465,0.0,18.816666666666666,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,2.0,-0.3,2.0
2014-11-14,UTA,NYK,19.339726027397262,0.0,16.85,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,3.0,0.4,-18.0
2014-11-15,UTA,TOR,19.34246575342466,0.0,17.666666666666668,2.0,4.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,0.0,2.0,2.0,2.0,1.0,0.0,3.0,1.0,6.0,3.2,-6.0
2014-11-18,UTA,OKC,19.350684931506848,0.0,15.4,3.0,5.0,0.6,3.0,5.0,0.6,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,9.0,9.7,8.0
2014-11-21,UTA,GSW,19.35890410958904,0.0,22.366666666666667,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,1.0,0.0,2.0,2.0,2.0,1.8,15.0
2014-11-22,UTA,NOP,19.361643835616437,0.0,19.15,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,-0.7,-3.0
2014-11-24,UTA,CHI,19.367123287671234,0.0,10.666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,-6.0
