date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,DAL,SAS,31.665753424657535,0.0,29.116666666666667,6.0,12.0,0.5,2.0,5.0,0.4,3.0,4.0,0.75,0.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,17.0,14.7,-2.0
2014-10-30,DAL,UTA,31.671232876712327,0.0,24.233333333333334,3.0,9.0,0.333,3.0,7.0,0.429,3.0,4.0,0.75,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,12.0,8.9,19.0
2014-11-01,DAL,NOP,31.676712328767124,0.0,27.483333333333334,4.0,7.0,0.571,2.0,4.0,0.5,2.0,4.0,0.5,0.0,3.0,3.0,6.0,1.0,0.0,0.0,2.0,12.0,13.2,-6.0
2014-11-03,DAL,BOS,31.682191780821917,0.0,29.5,4.0,9.0,0.444,2.0,6.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,6.0,1.0,0.0,1.0,0.0,12.0,12.1,13.0
2014-11-06,DAL,POR,31.69041095890411,0.0,26.583333333333332,2.0,7.0,0.286,0.0,2.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,2.0,7.0,7.2,-19.0
2014-11-07,DAL,UTA,31.693150684931506,0.0,20.466666666666665,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,0.75,0.0,2.0,2.0,6.0,2.0,0.0,2.0,3.0,8.0,10.6,9.0
2014-11-09,DAL,MIA,31.698630136986303,0.0,20.933333333333334,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.9,-18.0
2014-11-11,DAL,SAC,31.704109589041096,0.0,32.68333333333333,4.0,7.0,0.571,0.0,1.0,0.0,4.0,4.0,1.0,0.0,2.0,2.0,5.0,3.0,0.0,2.0,4.0,12.0,12.2,-7.0
2014-11-13,DAL,PHI,31.70958904109589,0.0,12.283333333333333,2.0,3.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,7.0,9.0,28.0
2014-11-15,DAL,MIN,31.715068493150685,0.0,20.866666666666667,3.0,8.0,0.375,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,1.0,0.0,4.0,7.0,5.8,7.0
2014-11-17,DAL,CHO,31.720547945205478,0.0,10.233333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,2.7,7.0
2014-11-22,DAL,HOU,31.734246575342464,0.0,23.866666666666667,2.0,7.0,0.286,2.0,6.0,0.333,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,9.0,4.2,8.0
2014-11-24,DAL,IND,31.73972602739726,0.0,18.683333333333334,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,2.0,-1.6,-14.0
2014-11-26,DAL,NYK,31.745205479452054,1.0,39.56666666666667,2.0,10.0,0.2,1.0,5.0,0.2,4.0,6.0,0.667,0.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,9.0,9.5,5.0
2014-11-28,DAL,TOR,31.75068493150685,1.0,32.833333333333336,1.0,4.0,0.25,1.0,3.0,0.333,5.0,6.0,0.833,0.0,2.0,2.0,6.0,1.0,1.0,2.0,3.0,8.0,8.5,6.0
2014-11-29,DAL,PHI,31.753424657534246,1.0,30.516666666666666,6.0,13.0,0.462,1.0,3.0,0.333,2.0,3.0,0.667,1.0,4.0,5.0,5.0,1.0,1.0,3.0,3.0,15.0,10.8,18.0
2014-12-02,DAL,CHI,31.76164383561644,0.0,35.25,7.0,10.0,0.7,6.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,1.0,0.0,1.0,4.0,20.0,21.0,1.0
2014-12-03,DAL,MIL,31.764383561643836,0.0,18.216666666666665,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,2.0,2.0,-2.6,-7.0
2014-12-05,DAL,PHO,31.76986301369863,0.0,23.65,3.0,8.0,0.375,0.0,2.0,0.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,10.0,5.5,-7.0
2014-12-07,DAL,MIL,31.775342465753425,0.0,22.95,2.0,5.0,0.4,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,4.3,25.0
2014-12-09,DAL,MEM,31.78082191780822,0.0,25.9,2.0,4.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,1.0,2.0,3.0,2.0,0.0,0.0,2.0,4.0,6.0,2.7,-3.0
