date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,ORL,NOP,25.21095890410959,0.0,8.233333333333333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,2.6,-1.0
2014-10-30,ORL,WAS,25.216438356164385,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9,1.0
2014-11-01,ORL,TOR,25.221917808219178,0.0,14.033333333333333,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,4.0,0.0,2.0,6.0,9.4,11.0
2014-11-04,ORL,CHI,25.23013698630137,0.0,7.1,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,4.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,3.0,2.4,-1.0
2014-11-05,ORL,PHI,25.232876712328768,0.0,10.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,-1.9,7.0
2014-11-11,ORL,TOR,25.24931506849315,0.0,3.066666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.0
2014-11-14,ORL,MIL,25.257534246575343,0.0,2.033333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,1.0
2014-11-19,ORL,LAC,25.27123287671233,0.0,10.066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,-1.0
2014-11-21,ORL,CHO,25.276712328767122,0.0,3.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-5.0
2014-11-22,ORL,MIA,25.279452054794522,0.0,9.816666666666666,3.0,6.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,7.0,6.4,0.0
2014-11-24,ORL,CLE,25.284931506849315,0.0,16.466666666666665,3.0,7.0,0.429,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,8.0,1.0,0.0,0.0,3.0,2.0,6.0,3.2,-13.0
2014-12-02,ORL,GSW,25.306849315068494,0.0,6.833333333333333,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.4,9.0
2014-12-03,ORL,LAC,25.30958904109589,0.0,25.166666666666668,4.0,7.0,0.571,0.0,0.0,0.0,1.0,2.0,0.5,3.0,5.0,8.0,1.0,1.0,0.0,1.0,4.0,9.0,8.0,-11.0
2014-12-05,ORL,UTA,25.315068493150687,0.0,18.8,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,0.0,0.0,0.0,0.0,4.0,6.0,5.7,1.0
2014-12-06,ORL,SAC,25.317808219178083,0.0,22.366666666666667,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,3.0,5.0,8.0,1.0,0.0,4.0,1.0,5.0,5.0,8.1,-6.0
2014-12-10,ORL,WAS,25.328767123287673,0.0,19.316666666666666,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,5.0,7.0,0.0,1.0,2.0,0.0,1.0,6.0,10.3,-6.0
2014-12-12,ORL,ATL,25.334246575342465,0.0,19.35,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,2.0,3.0,1.0,0.0,-0.4,-9.0
2014-12-13,ORL,ATL,25.336986301369862,0.0,6.6,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.7,-2.0
2014-12-19,ORL,UTA,25.353424657534248,0.0,8.516666666666667,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,0.0,1.0,0.0,1.0,3.0,1.0,-0.3,-11.0
2014-12-21,ORL,PHI,25.35890410958904,0.0,6.066666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,-2.1,-6.0
2014-12-23,ORL,BOS,25.364383561643837,0.0,7.533333333333333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.6,4.0
2014-12-26,ORL,CLE,25.372602739726027,0.0,19.1,3.0,3.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,3.0,3.0,6.0,0.0,0.0,1.0,0.0,3.0,8.0,8.8,2.0
2014-12-27,ORL,CHO,25.375342465753423,0.0,10.916666666666666,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,4.0,4.0,2.7,5.0
2014-12-29,ORL,MIA,25.38082191780822,0.0,14.083333333333334,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,4.0,3.1,6.0
2014-12-30,ORL,DET,25.383561643835616,0.0,18.366666666666667,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,0.0,1.0,0.0,1.0,5.0,8.0,8.0,-12.0
2015-01-02,ORL,BRK,25.39178082191781,0.0,5.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.4,-4.0
