date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-31,LAC,LAL,35.61917808219178,0.0,4.216666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.9,2.0
2014-11-02,LAC,SAC,35.62465753424657,0.0,9.866666666666667,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,7.0,8.7,9.0
2014-11-03,LAC,UTA,35.62739726027397,0.0,3.5166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-2.0
2014-11-05,LAC,GSW,35.632876712328766,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-4.0
2014-11-10,LAC,SAS,35.64657534246575,0.0,3.533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7,2.0
2014-11-19,LAC,ORL,35.67123287671233,0.0,15.083333333333334,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,5.3,12.0
2014-11-20,LAC,MIA,35.673972602739724,0.0,14.716666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.6,2.0
2014-11-23,LAC,MEM,35.68219178082192,0.0,14.783333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.9,-4.0
2014-11-24,LAC,CHO,35.68493150684932,0.0,13.516666666666667,4.0,8.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,5.5,-9.0
2014-11-26,LAC,DET,35.69041095890411,0.0,21.85,3.0,8.0,0.375,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,9.0,1.1,-1.0
2014-11-28,LAC,HOU,35.6958904109589,0.0,13.383333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
2014-11-29,LAC,UTA,35.6986301369863,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2014-12-01,LAC,MIN,35.704109589041096,0.0,9.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,5.0
2014-12-03,LAC,ORL,35.70958904109589,0.0,6.25,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,-7.0
2014-12-06,LAC,NOP,35.71780821917808,0.0,6.1,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.6,-7.0
2014-12-08,LAC,PHO,35.723287671232875,0.0,10.516666666666667,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.3,-11.0
2014-12-10,LAC,IND,35.728767123287675,0.0,5.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,-3.0
2014-12-12,LAC,WAS,35.73424657534247,0.0,17.85,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,6.0,5.0,3.0
2014-12-13,LAC,MIL,35.73698630136986,0.0,12.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.6,-15.0
2014-12-15,LAC,DET,35.74246575342466,0.0,7.95,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,2.6,4.0
