date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,DAL,SAS,24.312328767123287,0.0,10.866666666666667,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,-8.0
2014-10-30,DAL,UTA,24.317808219178083,0.0,8.95,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.1,4.0
2014-11-03,DAL,BOS,24.328767123287673,0.0,2.5666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,-3.0
2014-11-06,DAL,POR,24.336986301369862,0.0,7.366666666666666,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.8,0.0
2014-11-07,DAL,UTA,24.339726027397262,0.0,3.85,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.6,0.0
2014-11-09,DAL,MIA,24.345205479452055,0.0,12.083333333333334,5.0,6.0,0.833,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,15.0,13.8,7.0
2014-11-11,DAL,SAC,24.350684931506848,0.0,5.65,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.7,1.0
2014-11-13,DAL,PHI,24.356164383561644,0.0,18.016666666666666,2.0,7.0,0.286,1.0,4.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,6.0,5.2,19.0
2014-11-15,DAL,MIN,24.361643835616437,0.0,5.75,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.3,-8.0
2014-11-17,DAL,CHO,24.367123287671234,0.0,12.266666666666667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.5,0.0
