date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,BOS,BRK,22.654794520547945,1.0,28.283333333333335,5.0,9.0,0.556,1.0,3.0,0.333,2.0,3.0,0.667,0.0,4.0,4.0,2.0,0.0,2.0,1.0,2.0,13.0,10.5,11.0
2014-11-01,BOS,HOU,22.663013698630138,1.0,26.616666666666667,6.0,15.0,0.4,0.0,3.0,0.0,2.0,3.0,0.667,6.0,3.0,9.0,2.0,1.0,3.0,1.0,5.0,14.0,12.1,-15.0
2014-11-03,BOS,DAL,22.66849315068493,1.0,31.716666666666665,6.0,15.0,0.4,0.0,2.0,0.0,2.0,2.0,1.0,7.0,0.0,7.0,4.0,0.0,2.0,1.0,2.0,14.0,13.2,4.0
2014-11-05,BOS,TOR,22.673972602739727,1.0,38.03333333333333,7.0,13.0,0.538,0.0,1.0,0.0,5.0,5.0,1.0,8.0,8.0,16.0,0.0,1.0,0.0,0.0,1.0,19.0,21.3,7.0
2014-11-07,BOS,IND,22.67945205479452,1.0,32.85,8.0,17.0,0.471,1.0,5.0,0.2,0.0,0.0,0.0,1.0,5.0,6.0,5.0,0.0,0.0,0.0,4.0,17.0,12.4,8.0
2014-11-08,BOS,CHI,22.682191780821917,1.0,26.833333333333332,5.0,10.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,4.0,0.0,0.0,1.0,3.0,10.0,8.4,25.0
2014-11-12,BOS,OKC,22.693150684931506,1.0,33.516666666666666,7.0,13.0,0.538,0.0,3.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,6.0,0.0,0.0,1.0,2.0,14.0,14.6,-4.0
2014-11-14,BOS,CLE,22.698630136986303,1.0,27.916666666666668,7.0,13.0,0.538,1.0,2.0,0.5,4.0,5.0,0.8,3.0,7.0,10.0,3.0,0.0,0.0,2.0,1.0,19.0,16.2,-5.0
2014-11-17,BOS,PHO,22.706849315068492,1.0,26.816666666666666,7.0,17.0,0.412,1.0,2.0,0.5,3.0,4.0,0.75,4.0,4.0,8.0,3.0,1.0,0.0,2.0,2.0,18.0,12.8,2.0
2014-11-19,BOS,PHI,22.71232876712329,1.0,31.183333333333334,10.0,15.0,0.667,1.0,3.0,0.333,1.0,3.0,0.333,2.0,7.0,9.0,4.0,0.0,0.0,0.0,2.0,22.0,20.2,6.0
2014-11-21,BOS,MEM,22.71780821917808,1.0,24.883333333333333,5.0,10.0,0.5,3.0,6.0,0.5,0.0,2.0,0.0,1.0,5.0,6.0,1.0,1.0,3.0,1.0,3.0,13.0,11.0,-14.0
2014-11-23,BOS,POR,22.723287671232878,1.0,33.86666666666667,8.0,22.0,0.364,3.0,9.0,0.333,0.0,0.0,0.0,2.0,5.0,7.0,4.0,1.0,1.0,0.0,2.0,19.0,13.4,4.0
2014-11-28,BOS,CHI,22.736986301369864,1.0,32.733333333333334,9.0,19.0,0.474,4.0,9.0,0.444,1.0,3.0,0.333,2.0,8.0,10.0,0.0,1.0,1.0,1.0,3.0,23.0,15.8,-12.0
2014-11-30,BOS,SAS,22.742465753424657,1.0,25.766666666666666,4.0,11.0,0.364,1.0,3.0,0.333,0.0,0.0,0.0,1.0,6.0,7.0,2.0,2.0,0.0,4.0,5.0,9.0,2.8,-9.0
2014-12-02,BOS,ATL,22.747945205479454,1.0,29.8,9.0,16.0,0.563,4.0,7.0,0.571,0.0,0.0,0.0,3.0,6.0,9.0,1.0,0.0,0.0,2.0,2.0,22.0,16.2,1.0
2014-12-03,BOS,DET,22.75068493150685,1.0,29.85,5.0,12.0,0.417,2.0,4.0,0.5,2.0,2.0,1.0,0.0,8.0,8.0,2.0,2.0,1.0,0.0,5.0,14.0,12.1,0.0
2014-12-05,BOS,LAL,22.756164383561643,1.0,30.133333333333333,5.0,9.0,0.556,2.0,3.0,0.667,5.0,8.0,0.625,3.0,10.0,13.0,2.0,2.0,0.0,1.0,2.0,17.0,18.2,19.0
2014-12-07,BOS,WAS,22.76164383561644,1.0,29.833333333333332,3.0,8.0,0.375,1.0,2.0,0.5,3.0,4.0,0.75,2.0,8.0,10.0,2.0,0.0,0.0,2.0,2.0,10.0,7.6,12.0
2014-12-08,BOS,WAS,22.764383561643836,1.0,17.683333333333334,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,1.0,1.0,1.0,3.0,4.0,5.0,1.6,-12.0
2014-12-10,BOS,CHO,22.76986301369863,1.0,28.566666666666666,2.0,10.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,1.0,6.0,7.0,4.0,0.0,1.0,0.0,4.0,5.0,3.2,-4.0
2014-12-12,BOS,NYK,22.775342465753425,1.0,20.8,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,0.0,-2.7,-9.0
2014-12-15,BOS,PHI,22.783561643835615,1.0,29.483333333333334,2.0,10.0,0.2,1.0,3.0,0.333,0.0,2.0,0.0,5.0,6.0,11.0,2.0,0.0,0.0,4.0,0.0,5.0,0.7,-3.0
2014-12-17,BOS,ORL,22.78904109589041,1.0,23.833333333333332,7.0,13.0,0.538,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,16.0,11.2,3.0
2014-12-19,BOS,MIN,22.794520547945204,1.0,29.383333333333333,7.0,9.0,0.778,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,10.0,3.0,1.0,2.0,1.0,1.0,14.0,17.8,18.0
2014-12-21,BOS,MIA,22.8,1.0,20.733333333333334,4.0,8.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,0.0,1.0,0.0,3.0,2.0,9.0,4.0,-7.0
2014-12-23,BOS,ORL,22.805479452054794,1.0,9.166666666666666,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-4.3,-10.0
2014-12-26,BOS,BRK,22.813698630136987,1.0,31.683333333333334,8.0,16.0,0.5,2.0,5.0,0.4,1.0,1.0,1.0,2.0,6.0,8.0,2.0,0.0,0.0,1.0,2.0,19.0,13.8,5.0
2014-12-27,BOS,WAS,22.816438356164383,1.0,30.916666666666668,5.0,9.0,0.556,2.0,5.0,0.4,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,0.0,2.0,1.0,12.0,9.9,-20.0
2014-12-31,BOS,SAC,22.827397260273973,1.0,27.283333333333335,9.0,18.0,0.5,0.0,3.0,0.0,2.0,2.0,1.0,3.0,8.0,11.0,2.0,0.0,3.0,0.0,0.0,20.0,19.0,16.0
2015-01-02,BOS,DAL,22.832876712328765,1.0,34.05,4.0,10.0,0.4,2.0,6.0,0.333,2.0,2.0,1.0,2.0,4.0,6.0,2.0,0.0,0.0,1.0,3.0,12.0,8.4,-1.0
2015-01-03,BOS,CHI,22.835616438356166,1.0,35.78333333333333,8.0,17.0,0.471,0.0,3.0,0.0,0.0,0.0,0.0,8.0,8.0,16.0,2.0,1.0,1.0,2.0,1.0,16.0,16.0,5.0
2015-01-05,BOS,CHO,22.84109589041096,1.0,33.05,8.0,16.0,0.5,0.0,1.0,0.0,6.0,6.0,1.0,4.0,4.0,8.0,1.0,2.0,4.0,1.0,5.0,22.0,20.5,-13.0
2015-01-07,BOS,BRK,22.846575342465755,1.0,23.733333333333334,1.0,7.0,0.143,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,3.0,1.0,0.0,1.0,3.0,2.0,1.4,-2.0
2015-01-09,BOS,IND,22.852054794520548,1.0,30.65,5.0,13.0,0.385,1.0,5.0,0.2,0.0,0.0,0.0,3.0,2.0,5.0,4.0,1.0,2.0,1.0,2.0,11.0,10.0,-4.0
2015-01-10,BOS,TOR,22.854794520547944,1.0,27.983333333333334,6.0,13.0,0.462,1.0,4.0,0.25,0.0,0.0,0.0,1.0,9.0,10.0,2.0,1.0,0.0,1.0,3.0,13.0,9.9,-8.0
2015-01-12,BOS,NOP,22.86027397260274,1.0,32.13333333333333,9.0,17.0,0.529,1.0,4.0,0.25,8.0,9.0,0.889,6.0,4.0,10.0,3.0,1.0,1.0,1.0,1.0,27.0,26.1,10.0
2015-01-14,BOS,ATL,22.865753424657534,1.0,36.56666666666667,5.0,13.0,0.385,0.0,3.0,0.0,4.0,4.0,1.0,3.0,6.0,9.0,2.0,0.0,0.0,2.0,4.0,14.0,8.6,-10.0
2015-01-16,BOS,CHI,22.87123287671233,1.0,28.883333333333333,7.0,18.0,0.389,2.0,6.0,0.333,4.0,4.0,1.0,3.0,5.0,8.0,2.0,1.0,1.0,1.0,5.0,20.0,13.9,-10.0
