date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-02-20,PHI,IND,34.084931506849315,1.0,18.066666666666666,3.0,7.0,0.429,1.0,2.0,0.5,0.0,0.0,0.0,0.0,7.0,7.0,2.0,2.0,1.0,3.0,0.0,7.0,6.5,-10.0
2015-02-22,PHI,ORL,34.09041095890411,1.0,24.1,3.0,9.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,2.0,3.0,7.0,1.7,-11.0
2015-02-25,PHI,MIL,34.0986301369863,1.0,25.1,6.0,11.0,0.545,4.0,8.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,3.0,16.0,13.1,1.0
2015-02-27,PHI,WAS,34.104109589041094,1.0,26.45,4.0,9.0,0.444,4.0,7.0,0.571,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,3.0,12.0,9.2,14.0
2015-03-01,PHI,IND,34.10958904109589,1.0,25.633333333333333,4.0,12.0,0.333,1.0,5.0,0.2,1.0,2.0,0.5,0.0,3.0,3.0,0.0,2.0,0.0,1.0,2.0,10.0,3.9,-8.0
2015-03-04,PHI,OKC,34.11780821917808,1.0,35.53333333333333,8.0,19.0,0.421,4.0,9.0,0.444,9.0,9.0,1.0,0.0,6.0,6.0,3.0,1.0,0.0,0.0,2.0,29.0,23.0,17.0
2015-03-06,PHI,UTA,34.12328767123287,1.0,26.516666666666666,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,-6.3,-19.0
2015-03-11,PHI,CHI,34.136986301369866,1.0,19.05,2.0,9.0,0.222,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,2.5,-12.0
2015-03-14,PHI,BRK,34.14520547945205,1.0,19.366666666666667,3.0,11.0,0.273,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,0.0,1.0,1.0,2.0,6.0,2.9,-6.0
2015-03-16,PHI,BOS,34.15068493150685,1.0,20.383333333333333,1.0,7.0,0.143,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,1.6,-15.0
2015-03-18,PHI,DET,34.156164383561645,1.0,24.883333333333333,4.0,7.0,0.571,3.0,5.0,0.6,3.0,4.0,0.75,1.0,4.0,5.0,2.0,1.0,0.0,1.0,2.0,14.0,12.8,1.0
2015-03-20,PHI,NYK,34.16164383561644,1.0,17.833333333333332,2.0,8.0,0.25,1.0,5.0,0.2,1.0,2.0,0.5,1.0,2.0,3.0,3.0,2.0,0.0,1.0,0.0,6.0,5.2,10.0
2015-03-22,PHI,LAL,34.16712328767123,1.0,20.516666666666666,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,4.2,-6.0
2015-03-25,PHI,DEN,34.175342465753424,1.0,25.383333333333333,3.0,13.0,0.231,1.0,6.0,0.167,1.0,2.0,0.5,1.0,3.0,4.0,3.0,0.0,1.0,1.0,1.0,8.0,2.7,15.0
2015-03-27,PHI,LAC,34.18082191780822,0.0,13.183333333333334,1.0,6.0,0.167,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.5,-21.0
2015-04-01,PHI,WAS,34.1945205479452,0.0,6.2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.1,-5.0
2015-04-05,PHI,NYK,34.205479452054796,0.0,22.833333333333332,3.0,11.0,0.273,1.0,6.0,0.167,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,7.0,0.9,-11.0
2015-04-08,PHI,WAS,34.21369863013699,0.0,20.766666666666666,6.0,7.0,0.857,4.0,5.0,0.8,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,17.0,14.1,-13.0
2015-04-11,PHI,CHI,34.221917808219175,1.0,24.666666666666668,7.0,13.0,0.538,4.0,8.0,0.5,1.0,2.0,0.5,0.0,4.0,4.0,2.0,1.0,0.0,1.0,4.0,19.0,13.3,8.0
