date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,UTA,HOU,27.073972602739726,0.0,4.166666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
2014-10-30,UTA,DAL,27.076712328767123,0.0,11.1,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.3,-10.0
2014-11-01,UTA,PHO,27.08219178082192,0.0,14.666666666666666,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.6,5.0
2014-11-03,UTA,LAC,27.087671232876712,0.0,10.283333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2014-11-05,UTA,CLE,27.09315068493151,0.0,13.133333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.8,5.0
2014-11-07,UTA,DAL,27.0986301369863,0.0,16.016666666666666,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.6,-13.0
2014-11-09,UTA,DET,27.104109589041094,0.0,23.5,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,0.5,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,10.0,9.6,5.0
2014-11-10,UTA,IND,27.106849315068494,0.0,14.916666666666666,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.3,-15.0
2014-11-12,UTA,ATL,27.112328767123287,0.0,17.316666666666666,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.4,3.0
2014-11-14,UTA,NYK,27.117808219178084,0.0,20.566666666666666,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,6.0,4.3,-4.0
2014-11-15,UTA,TOR,27.12054794520548,0.0,23.933333333333334,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,0.0,0.0,1.0,3.0,5.9,-4.0
2014-11-18,UTA,OKC,27.12876712328767,0.0,25.333333333333332,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,2.0,1.0,5.0,6.2,14.0
2014-11-21,UTA,GSW,27.136986301369863,0.0,24.35,1.0,5.0,0.2,0.0,4.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,3.0,4.6,-5.0
2014-11-22,UTA,NOP,27.13972602739726,0.0,20.55,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,-0.1,-10.0
2014-11-24,UTA,CHI,27.145205479452056,0.0,26.733333333333334,5.0,9.0,0.556,1.0,3.0,0.333,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,11.0,7.6,3.0
2014-11-26,UTA,OKC,27.15068493150685,0.0,24.65,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.9,-14.0
2014-11-29,UTA,LAC,27.15890410958904,0.0,17.783333333333335,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,3.0,0.0,0.1,-13.0
2014-12-01,UTA,DEN,27.164383561643834,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.4,8.0
