date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-30,LAC,OKC,27.915068493150685,0.0,10.4,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0,4.9,3.0
2014-10-31,LAC,LAL,27.91780821917808,0.0,10.983333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.7,0.0
2014-11-02,LAC,SAC,27.923287671232877,0.0,17.916666666666668,4.0,9.0,0.444,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,10.0,7.9,-5.0
2014-11-03,LAC,UTA,27.926027397260274,0.0,12.033333333333333,2.0,3.0,0.667,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,7.0,-3.0
2014-11-05,LAC,GSW,27.931506849315067,0.0,19.9,1.0,6.0,0.167,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,1.0,3.0,2.3,5.0
2014-11-08,LAC,POR,27.93972602739726,0.0,13.1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,-3.1,7.0
2014-11-10,LAC,SAS,27.945205479452056,0.0,9.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.1,-6.0
2014-11-15,LAC,PHO,27.958904109589042,0.0,17.333333333333332,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,-1.0,1.0
2014-11-17,LAC,CHI,27.964383561643835,0.0,13.25,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,-1.2,9.0
2014-11-19,LAC,ORL,27.96986301369863,0.0,17.8,5.0,7.0,0.714,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,1.0,0.0,1.0,2.0,13.0,13.7,12.0
2014-11-20,LAC,MIA,27.972602739726028,0.0,15.2,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,5.0,1.0,3.0,-0.7,-10.0
2014-11-23,LAC,MEM,27.980821917808218,0.0,15.85,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,-2.0,-4.0
2014-11-24,LAC,CHO,27.983561643835618,0.0,11.566666666666666,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.9,-10.0
2014-11-26,LAC,DET,27.98904109589041,0.0,11.666666666666666,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,3.0,3.2,-3.0
2014-11-28,LAC,HOU,27.994520547945207,0.0,15.316666666666666,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.2,0.0
2014-11-29,LAC,UTA,27.997260273972604,0.0,17.066666666666666,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,10.0,7.8,-15.0
2014-12-01,LAC,MIN,28.002739726027396,0.0,23.416666666666668,3.0,7.0,0.429,3.0,6.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,7.0,2.0,0.0,3.0,1.0,9.0,10.7,4.0
2014-12-03,LAC,ORL,28.008219178082193,0.0,14.416666666666666,1.0,3.0,0.333,1.0,2.0,0.5,1.0,2.0,0.5,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,2.2,3.0
2014-12-10,LAC,IND,28.027397260273972,0.0,14.333333333333334,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,3.2,-13.0
2014-12-12,LAC,WAS,28.03287671232877,0.0,14.166666666666666,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.1,2.0
2014-12-13,LAC,MIL,28.035616438356165,0.0,12.433333333333334,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.2,-12.0
2014-12-15,LAC,DET,28.041095890410958,0.0,23.016666666666666,6.0,12.0,0.5,3.0,7.0,0.429,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,2.0,1.0,15.0,11.1,6.0
2014-12-17,LAC,IND,28.046575342465754,0.0,11.833333333333334,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.9,-15.0
2014-12-19,LAC,DEN,28.052054794520547,0.0,9.166666666666666,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.9,-16.0
2014-12-20,LAC,MIL,28.054794520547944,0.0,11.566666666666666,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,-0.5,-1.0
2014-12-22,LAC,SAS,28.06027397260274,0.0,14.383333333333333,2.0,6.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,7.0,8.1,3.0
2014-12-23,LAC,ATL,28.063013698630137,0.0,11.366666666666667,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,2.6,-10.0
2014-12-25,LAC,GSW,28.068493150684933,0.0,15.083333333333334,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,7.0
2014-12-27,LAC,TOR,28.073972602739726,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,-1.1,8.0
2014-12-29,LAC,UTA,28.07945205479452,0.0,12.833333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.7,-2.0
2014-12-31,LAC,NYK,28.084931506849315,0.0,20.433333333333334,3.0,5.0,0.6,3.0,5.0,0.6,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,11.0,10.0,7.0
2015-01-03,LAC,PHI,28.09315068493151,0.0,17.583333333333332,5.0,8.0,0.625,2.0,5.0,0.4,1.0,1.0,1.0,0.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,13.0,16.9,24.0
2015-01-05,LAC,ATL,28.0986301369863,0.0,14.933333333333334,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,2.0,0.0,-1.3,4.0
2015-01-07,LAC,LAL,28.104109589041094,0.0,16.8,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,5.0,2.9,-19.0
2015-01-10,LAC,DAL,28.112328767123287,0.0,16.5,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,7.0,2.6,2.0
2015-01-11,LAC,MIA,28.115068493150684,0.0,12.016666666666667,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,5.0,3.1,-6.0
