date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,GSW,SAC,25.567123287671233,0.0,4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-9.0
2014-11-01,GSW,LAL,25.575342465753426,0.0,1.7166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2014-11-15,GSW,CHO,25.613698630136987,0.0,9.8,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.4,-5.0
2014-11-16,GSW,LAL,25.616438356164384,0.0,9.183333333333334,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,-2.2,-13.0
2014-11-21,GSW,UTA,25.63013698630137,0.0,6.616666666666667,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.5,-14.0
2014-11-25,GSW,MIA,25.64109589041096,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-26,GSW,ORL,25.643835616438356,0.0,6.6,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,-6.0
2014-12-04,GSW,NOP,25.665753424657535,0.0,1.8333333333333335,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,5.0
2014-12-08,GSW,MIN,25.676712328767124,0.0,6.483333333333333,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,-1.0
2014-12-14,GSW,NOP,25.693150684931506,0.0,2.783333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.3,5.0
2014-12-18,GSW,OKC,25.704109589041096,0.0,6.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.2,-2.0
2014-12-22,GSW,SAC,25.715068493150685,0.0,20.366666666666667,7.0,12.0,0.583,3.0,7.0,0.429,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,18.0,15.4,8.0
2014-12-23,GSW,LAL,25.71780821917808,0.0,18.583333333333332,3.0,6.0,0.5,2.0,4.0,0.5,3.0,3.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,2.0,11.0,8.8,8.0
