date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,OKC,POR,29.96712328767123,0.0,20.583333333333332,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,0.0,1.0,1.0,0.0,2.0,4.0,8.0,-10.0
2014-10-30,OKC,LAC,29.96986301369863,0.0,18.95,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,6.0,6.0,1.0,0.0,0.0,1.0,1.0,3.0,2.3,-6.0
2014-11-01,OKC,DEN,29.975342465753425,0.0,19.733333333333334,6.0,7.0,0.857,0.0,0.0,0.0,5.0,6.0,0.833,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,0.0
2014-11-03,OKC,BRK,29.980821917808218,0.0,18.15,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,-3.7,-19.0
2014-11-04,OKC,TOR,29.983561643835618,0.0,17.033333333333335,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,-4.0,-6.0
2014-11-07,OKC,MEM,29.991780821917807,0.0,14.1,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,2.0,2.0,1.1,-1.0
2014-11-09,OKC,SAC,29.997260273972604,0.0,24.933333333333334,4.0,5.0,0.8,0.0,0.0,0.0,1.0,3.0,0.333,3.0,2.0,5.0,0.0,1.0,2.0,1.0,2.0,9.0,9.6,11.0
2014-11-11,OKC,MIL,30.002739726027396,0.0,20.883333333333333,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,0.5,2.0,7.0,9.0,2.0,0.0,2.0,1.0,2.0,7.0,9.5,-2.0
2014-11-12,OKC,BOS,30.005479452054793,0.0,23.95,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,6.0,4.3,26.0
2014-11-14,OKC,DET,30.01095890410959,0.0,17.716666666666665,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,-0.6,3.0
2014-11-16,OKC,HOU,30.016438356164382,0.0,22.783333333333335,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,6.0,1.0,0.0,3.0,2.0,4.0,2.0,1.7,0.0
2014-11-18,OKC,UTA,30.02191780821918,0.0,21.383333333333333,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,1.0,0.0,1.0,4.0,8.0,8.2,-15.0
2014-11-19,OKC,DEN,30.024657534246575,0.0,24.216666666666665,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,5.0,7.0,1.0,1.0,0.0,3.0,3.0,3.0,0.9,3.0
2014-11-21,OKC,BRK,30.03013698630137,0.0,18.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,2.0,3.0,6.0,3.5,-15.0
2014-11-23,OKC,GSW,30.035616438356165,0.0,18.483333333333334,2.0,4.0,0.5,0.0,0.0,0.0,0.0,4.0,0.0,2.0,5.0,7.0,1.0,0.0,2.0,2.0,3.0,4.0,2.2,-2.0
2014-11-26,OKC,UTA,30.043835616438358,0.0,23.983333333333334,2.0,5.0,0.4,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,7.0,2.0,0.0,1.0,3.0,3.0,4.0,1.7,14.0
2014-11-28,OKC,NYK,30.04931506849315,0.0,20.066666666666666,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,4.0,8.0,4.2,12.0
2014-12-02,OKC,NOP,30.06027397260274,0.0,18.566666666666666,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,1.0,0.0,0.0,3.0,4.0,4.0,1.0,0.0
2014-12-05,OKC,PHI,30.068493150684933,0.0,21.616666666666667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,2.0,0.0,2.0,2.0,3.0,0.0,0.9,6.0
2014-12-07,OKC,DET,30.073972602739726,0.0,22.05,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,2.0,1.0,0.0,2.0,4.0,2.0,1.3,4.0
2014-12-09,OKC,MIL,30.07945205479452,0.0,22.0,2.0,9.0,0.222,0.0,0.0,0.0,1.0,2.0,0.5,7.0,2.0,9.0,2.0,1.0,1.0,3.0,4.0,5.0,3.1,-7.0
2014-12-11,OKC,CLE,30.084931506849315,0.0,20.2,1.0,3.0,0.333,0.0,0.0,0.0,2.0,4.0,0.5,2.0,5.0,7.0,0.0,0.0,3.0,1.0,2.0,4.0,4.7,9.0
2014-12-12,OKC,MIN,30.087671232876712,0.0,13.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,2.0,4.0,0.0,-2.8,-1.0
2014-12-14,OKC,PHO,30.09315068493151,0.0,23.35,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,8.0,10.0,1.0,1.0,1.0,2.0,2.0,5.0,6.0,8.0
2014-12-16,OKC,SAC,30.0986301369863,0.0,20.533333333333335,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,0.0,1.0,1.0,2.0,0.0,1.3,-8.0
2014-12-18,OKC,GSW,30.104109589041094,0.0,16.3,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.2,-7.0
2014-12-21,OKC,NOP,30.112328767123287,0.0,13.7,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,3.3,-7.0
2014-12-23,OKC,POR,30.117808219178084,0.0,23.533333333333335,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,6.0
2014-12-25,OKC,SAS,30.123287671232877,0.0,11.65,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,-1.3,-18.0
2014-12-26,OKC,CHO,30.126027397260273,0.0,17.966666666666665,2.0,6.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,0.0,8.0,8.0,1.0,0.0,1.0,2.0,3.0,5.0,1.8,15.0
2014-12-28,OKC,DAL,30.13150684931507,0.0,13.166666666666666,1.0,4.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,6.0,2.0,0.0,0.0,2.0,3.0,3.0,1.4,4.0
2014-12-31,OKC,PHO,30.13972602739726,0.0,20.0,2.0,4.0,0.5,0.0,0.0,0.0,5.0,5.0,1.0,4.0,1.0,5.0,0.0,0.0,2.0,2.0,3.0,9.0,8.3,8.0
2015-01-02,OKC,WAS,30.145205479452056,0.0,27.366666666666667,3.0,6.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,6.0,4.0,9.0
2015-01-05,OKC,GSW,30.153424657534245,0.0,8.066666666666666,2.0,5.0,0.4,0.0,1.0,0.0,2.0,3.0,0.667,3.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,6.6,-6.0
2015-01-07,OKC,SAC,30.15890410958904,0.0,13.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,7.0,2.0,2.0,1.0,2.0,5.0,0.0,1.4,-6.0
2015-01-09,OKC,UTA,30.164383561643834,0.0,25.266666666666666,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,1.0,3.0,2.0,4.0,2.1,-6.0
2015-01-15,OKC,HOU,30.18082191780822,0.0,19.583333333333332,2.0,4.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,3.0,2.0,1.0,0.0,2.0,2.0,6.0,4.5,-1.0
2015-01-16,OKC,GSW,30.183561643835617,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2,3.0
2015-01-18,OKC,ORL,30.18904109589041,0.0,21.5,5.0,7.0,0.714,0.0,0.0,0.0,1.0,3.0,0.333,0.0,9.0,9.0,1.0,1.0,0.0,3.0,3.0,11.0,7.5,24.0
2015-01-20,OKC,MIA,30.194520547945206,0.0,23.433333333333334,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,-2.4,11.0
2015-01-21,OKC,WAS,30.197260273972603,0.0,14.233333333333333,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,5.0,6.0,5.7,8.0
2015-01-23,OKC,ATL,30.202739726027396,0.0,15.033333333333333,1.0,3.0,0.333,0.0,0.0,0.0,2.0,4.0,0.5,1.0,5.0,6.0,1.0,0.0,2.0,0.0,1.0,4.0,5.4,-8.0
2015-01-25,OKC,CLE,30.208219178082192,1.0,26.716666666666665,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,2.0,6.0,4.0,0.9,4.0
2015-01-26,OKC,MIN,30.21095890410959,0.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,2.0,5.0,0.0,-0.7,3.0
2015-01-28,OKC,NYK,30.216438356164385,0.0,15.0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,8.0
2015-01-31,OKC,MEM,30.224657534246575,0.0,20.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,1.0,0.0,2.0,0.0,1.1,-6.0
2015-02-02,OKC,ORL,30.23013698630137,0.0,20.583333333333332,3.0,4.0,0.75,0.0,0.0,0.0,2.0,4.0,0.5,0.0,3.0,3.0,2.0,0.0,0.0,2.0,4.0,8.0,4.3,3.0
2015-02-04,OKC,NOP,30.235616438356164,0.0,22.933333333333334,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,3.0,0.0,2.0,1.0,4.0,6.0,6.5,6.0
2015-02-06,OKC,NOP,30.24109589041096,0.0,17.683333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,-2.2,-12.0
2015-02-09,OKC,DEN,30.24931506849315,1.0,20.316666666666666,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,4.0,3.3,12.0
2015-02-11,OKC,MEM,30.254794520547946,1.0,23.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,3.9,29.0
2015-02-24,CLE,DET,30.29041095890411,0.0,2.1666666666666665,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,-0.1,-4.0
2015-02-26,CLE,GSW,30.295890410958904,0.0,2.216666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.5,-2.0
2015-02-27,CLE,IND,30.2986301369863,0.0,12.416666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,-2.1,-3.0
2015-03-03,CLE,BOS,30.30958904109589,0.0,12.0,2.0,7.0,0.286,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,5.0,1.2,-11.0
2015-03-07,CLE,PHO,30.32054794520548,0.0,7.783333333333333,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-14.0
2015-03-10,CLE,DAL,30.328767123287673,0.0,6.516666666666667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.6,8.0
2015-03-15,CLE,ORL,30.34246575342466,0.0,13.783333333333333,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,2.0,2.0,6.0,4.2,-7.0
2015-03-16,CLE,MIA,30.345205479452055,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,-0.9,1.0
2015-03-18,CLE,BRK,30.350684931506848,0.0,6.983333333333333,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,4.0,3.9,3.0
2015-03-22,CLE,MIL,30.361643835616437,0.0,1.9833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2015-03-25,CLE,MEM,30.36986301369863,0.0,8.133333333333333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,-5.0
2015-03-27,CLE,BRK,30.375342465753423,0.0,5.133333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-2.4,-6.0
2015-04-02,CLE,MIA,30.39178082191781,0.0,4.483333333333333,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.6,3.0
2015-04-10,CLE,BOS,30.413698630136988,0.0,14.916666666666666,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,4.0,0.9,-3.0
2015-04-12,CLE,BOS,30.41917808219178,0.0,18.833333333333332,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0,0.0,-1.0,-25.0
2015-04-13,CLE,DET,30.421917808219177,0.0,14.083333333333334,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,6.0,4.9,-7.0
2015-04-15,CLE,WAS,30.427397260273974,0.0,27.5,3.0,6.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,1.0,1.0,1.0,3.0,2.0,7.0,4.1,7.0
