date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,DET,DEN,26.487671232876714,1.0,29.883333333333333,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,4.0,8.0,2.0,-10.0
2014-10-30,DET,MIN,26.49041095890411,1.0,23.733333333333334,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,5.0,1.5,-12.0
2014-11-01,DET,BRK,26.495890410958904,1.0,32.6,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0
2014-11-05,DET,NYK,26.506849315068493,0.0,13.35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,7.0
2014-11-07,DET,MIL,26.512328767123286,0.0,14.316666666666666,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.6,-5.0
2014-11-09,DET,UTA,26.517808219178082,0.0,20.833333333333332,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,5.0,0.0,0.4,-1.0
2014-11-10,DET,CHI,26.52054794520548,0.0,25.716666666666665,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,7.7,-12.0
2014-11-12,DET,WAS,26.526027397260275,0.0,26.316666666666666,2.0,7.0,0.286,1.0,4.0,0.25,1.0,2.0,0.5,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,2.5,-12.0
2014-11-14,DET,OKC,26.53150684931507,0.0,25.583333333333332,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,2.0,4.0,5.0,0.3,10.0
2014-11-15,DET,MEM,26.534246575342465,0.0,26.883333333333333,5.0,8.0,0.625,5.0,7.0,0.714,6.0,6.0,1.0,1.0,3.0,4.0,0.0,2.0,1.0,0.0,5.0,21.0,19.7,7.0
2014-11-17,DET,ORL,26.53972602739726,0.0,18.933333333333334,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,5.9,-5.0
2014-11-19,DET,PHO,26.545205479452054,0.0,16.866666666666667,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4.7,-6.0
2014-11-21,DET,ATL,26.55068493150685,0.0,22.7,4.0,6.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,9.0,6.8,-3.0
2014-11-25,DET,MIL,26.561643835616437,0.0,30.433333333333334,3.0,10.0,0.3,2.0,7.0,0.286,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,8.0,0.5,-8.0
2014-11-26,DET,LAC,26.564383561643837,0.0,7.183333333333334,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,7.0,5.3,2.0
