date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,PHO,LAL,26.15890410958904,1.0,24.8,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,1.0,0.0,5.0,10.0,9.4,2.0
2014-10-31,PHO,SAS,26.164383561643834,1.0,14.766666666666667,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,-6.0
2014-11-01,PHO,UTA,26.167123287671235,1.0,23.516666666666666,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,6.0,3.7,-13.0
2014-11-04,PHO,LAL,26.175342465753424,1.0,20.65,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,0.0,2.0,2.0,0.0,2.0,2.0,5.5,4.0
2014-11-05,PHO,MEM,26.17808219178082,1.0,18.1,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,2.5,-17.0
2014-11-07,PHO,SAC,26.183561643835617,1.0,40.78333333333333,7.0,12.0,0.583,0.0,0.0,0.0,1.0,2.0,0.5,5.0,11.0,16.0,1.0,0.0,0.0,1.0,3.0,15.0,14.3,8.0
2014-11-09,PHO,GSW,26.18904109589041,1.0,35.05,1.0,3.0,0.333,0.0,0.0,0.0,4.0,4.0,1.0,1.0,7.0,8.0,1.0,2.0,0.0,3.0,2.0,6.0,6.0,19.0
2014-11-12,PHO,BRK,26.197260273972603,1.0,32.4,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,1.0,1.0,1.0,1.0,3.0,8.0,8.7,14.0
2014-11-14,PHO,CHO,26.202739726027396,1.0,32.9,6.0,9.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,2.0,0.0,2.0,1.0,0.0,12.0,12.8,-4.0
2014-11-15,PHO,LAC,26.205479452054796,1.0,18.6,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,8.0,7.4,-11.0
2014-11-17,PHO,BOS,26.21095890410959,1.0,19.266666666666666,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,-2.9,-2.0
2014-11-19,PHO,DET,26.216438356164385,1.0,23.283333333333335,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,10.0,1.0,1.0,0.0,2.0,5.0,2.0,1.4,5.0
2014-11-21,PHO,PHI,26.221917808219178,1.0,11.35,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,1.0,0.0,1.0,3.0,2.0,2.1,-13.0
