date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-11-01,HOU,BOS,21.86027397260274,0.0,3.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8,-9.0
2014-11-06,HOU,SAS,21.873972602739727,0.0,3.15,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9,-1.0
2014-11-12,HOU,MIN,21.89041095890411,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2014-11-26,HOU,SAC,21.92876712328767,0.0,0.5666666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,2.0
2014-11-28,HOU,LAC,21.934246575342467,0.0,5.983333333333333,3.0,5.0,0.6,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,7.3,2.0
2014-11-29,HOU,MIL,21.936986301369863,0.0,13.216666666666667,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,-3.2,-7.0
2014-12-03,HOU,MEM,21.947945205479453,0.0,19.466666666666665,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,3.0,5.0,2.0,-2.5,3.0
2014-12-05,HOU,MIN,21.953424657534246,0.0,22.033333333333335,1.0,5.0,0.2,0.0,2.0,0.0,4.0,4.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,6.0,3.7,10.0
2014-12-06,HOU,PHO,21.956164383561642,0.0,22.1,1.0,4.0,0.25,0.0,0.0,0.0,6.0,8.0,0.75,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,8.0,6.6,-3.0
2014-12-10,HOU,GSW,21.96712328767123,0.0,19.033333333333335,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.4,-6.0
2014-12-11,HOU,SAC,21.96986301369863,0.0,8.133333333333333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,1.3,1.0
2014-12-13,HOU,DEN,21.975342465753425,0.0,14.416666666666666,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.2,2.0
2014-12-17,HOU,DEN,21.986301369863014,0.0,17.5,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,5.0,5.0,-2.8,-13.0
2014-12-20,HOU,ATL,21.994520547945207,0.0,8.533333333333333,2.0,3.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,7.0,4.6,5.0
2014-12-22,HOU,POR,22.0,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
2014-12-31,HOU,CHO,22.024657534246575,0.0,2.4833333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,-1.0
2015-01-02,HOU,NOP,22.03013698630137,0.0,14.3,3.0,5.0,0.6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0,4.9,-2.0
2015-02-11,HOU,LAC,22.13972602739726,0.0,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2015-03-12,HOU,UTA,22.21917808219178,0.0,5.466666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,1.0
2015-03-17,HOU,ORL,22.232876712328768,0.0,0.8333333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
2015-03-21,HOU,PHO,22.243835616438357,0.0,1.0333333333333334,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2015-03-27,HOU,MIN,22.26027397260274,0.0,5.566666666666666,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.6,-8.0
2015-03-29,HOU,WAS,22.265753424657536,0.0,16.45,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,-4.8,5.0
2015-03-30,HOU,TOR,22.268493150684932,0.0,15.75,1.0,3.0,0.333,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0,3.0,1.3,5.0
2015-04-02,HOU,DAL,22.276712328767122,0.0,7.716666666666667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,1.7,-8.0
2015-04-08,HOU,SAS,22.293150684931508,0.0,6.266666666666667,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,5.1,7.0
2015-04-10,HOU,SAS,22.2986301369863,0.0,5.083333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.4,-8.0
2015-04-15,HOU,UTA,22.312328767123287,0.0,13.633333333333333,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,6.0,1.2,-10.0
