date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,CHI,NYK,23.71232876712329,0.0,15.283333333333333,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,7.0,7.0,1.0,1.0,0.0,2.0,2.0,5.0,5.0,9.0
2014-10-31,CHI,CLE,23.71780821917808,0.0,4.183333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-6.0
2014-11-01,CHI,MIN,23.720547945205478,0.0,28.266666666666666,3.0,6.0,0.5,2.0,5.0,0.4,4.0,4.0,1.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,3.0,12.0,10.6,8.0
2014-11-04,CHI,ORL,23.72876712328767,0.0,22.65,2.0,5.0,0.4,2.0,4.0,0.5,2.0,2.0,1.0,0.0,6.0,6.0,4.0,1.0,0.0,1.0,3.0,8.0,8.7,9.0
2014-11-05,CHI,MIL,23.731506849315068,0.0,16.25,1.0,6.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,2.0,3.0,2.0,-2.7,-9.0
2014-11-07,CHI,PHI,23.736986301369864,0.0,7.916666666666667,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,-0.9,-8.0
2014-11-08,CHI,BOS,23.73972602739726,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.8,-4.0
2014-11-10,CHI,DET,23.745205479452054,0.0,5.216666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.3,-1.0
2014-11-13,CHI,TOR,23.753424657534246,0.0,4.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.1,-9.0
2014-11-15,CHI,IND,23.75890410958904,0.0,5.383333333333334,1.0,3.0,0.333,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.2,-4.0
2014-11-17,CHI,LAC,23.764383561643836,0.0,18.416666666666668,5.0,10.0,0.5,1.0,4.0,0.25,1.0,2.0,0.5,1.0,6.0,7.0,2.0,0.0,0.0,0.0,5.0,12.0,8.5,-4.0
2014-11-20,CHI,SAC,23.77260273972603,0.0,18.183333333333334,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,1.0,4.0,7.0,4.3,-4.0
2014-11-21,CHI,POR,23.775342465753425,0.0,35.11666666666667,7.0,14.0,0.5,4.0,7.0,0.571,6.0,8.0,0.75,0.0,11.0,11.0,2.0,0.0,0.0,3.0,3.0,24.0,16.7,0.0
2014-11-24,CHI,UTA,23.783561643835615,0.0,28.266666666666666,4.0,9.0,0.444,2.0,4.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,2.0,10.0,7.1,-13.0
2014-11-25,CHI,DEN,23.786301369863015,0.0,20.816666666666666,1.0,5.0,0.2,0.0,2.0,0.0,2.0,3.0,0.667,2.0,5.0,7.0,2.0,2.0,1.0,0.0,3.0,4.0,6.3,-1.0
2014-11-28,CHI,BOS,23.794520547945204,0.0,26.7,4.0,6.0,0.667,1.0,1.0,1.0,4.0,4.0,1.0,3.0,5.0,8.0,2.0,2.0,5.0,1.0,2.0,13.0,19.1,1.0
2014-11-30,CHI,BRK,23.8,0.0,27.4,3.0,5.0,0.6,1.0,3.0,0.333,5.0,5.0,1.0,2.0,10.0,12.0,1.0,1.0,1.0,3.0,5.0,12.0,11.5,16.0
2014-12-02,CHI,DAL,23.805479452054794,0.0,25.533333333333335,4.0,8.0,0.5,0.0,2.0,0.0,7.0,8.0,0.875,1.0,3.0,4.0,3.0,0.0,2.0,1.0,2.0,15.0,13.9,-3.0
2014-12-03,CHI,CHO,23.80821917808219,0.0,28.05,4.0,8.0,0.5,2.0,4.0,0.5,1.0,1.0,1.0,0.0,12.0,12.0,1.0,0.0,1.0,1.0,2.0,11.0,10.2,9.0
2014-12-06,CHI,GSW,23.816438356164383,0.0,7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,-0.9,0.0
2014-12-10,CHI,BRK,23.827397260273973,0.0,20.616666666666667,3.0,9.0,0.333,1.0,4.0,0.25,3.0,6.0,0.5,1.0,5.0,6.0,1.0,0.0,1.0,2.0,4.0,10.0,3.7,8.0
2014-12-12,CHI,POR,23.832876712328765,0.0,18.566666666666666,4.0,9.0,0.444,1.0,3.0,0.333,6.0,6.0,1.0,4.0,5.0,9.0,1.0,1.0,1.0,1.0,1.0,15.0,15.6,20.0
2014-12-14,CHI,MIA,23.838356164383562,0.0,20.233333333333334,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,1.0,0.0,2.0,5.0,3.6,3.0
