date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,WAS,MIA,21.405479452054795,0.0,23.5,4.0,7.0,0.571,1.0,3.0,0.333,4.0,6.0,0.667,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,13.0,11.1,-11.0
2014-10-30,WAS,ORL,21.40821917808219,0.0,17.966666666666665,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,5.0,4.0,3.7,5.0
2014-11-01,WAS,MIL,21.413698630136988,0.0,36.833333333333336,7.0,11.0,0.636,1.0,2.0,0.5,6.0,7.0,0.857,0.0,5.0,5.0,1.0,2.0,0.0,1.0,2.0,21.0,18.1,2.0
2014-11-04,WAS,NYK,21.421917808219177,0.0,28.2,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,4.0,0.0,0.0,0.0,1.0,4.0,7.0,4.0
2014-11-05,WAS,IND,21.424657534246574,0.0,22.05,1.0,5.0,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.8,-11.0
2014-11-07,WAS,TOR,21.43013698630137,0.0,25.05,6.0,9.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,1.0,2.0,2.0,13.0,9.3,-1.0
2014-11-08,WAS,IND,21.432876712328767,0.0,19.7,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,-1.0
2014-11-12,WAS,DET,21.443835616438356,0.0,18.766666666666666,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,3.2,-7.0
2014-11-15,WAS,ORL,21.45205479452055,0.0,26.183333333333334,6.0,8.0,0.75,0.0,0.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,13.0,14.4,3.0
2014-11-19,WAS,DAL,21.463013698630135,0.0,24.95,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,2.0,3.0,5.0,1.0,1.0,1.0,0.0,1.0,6.0,7.6,-3.0
2014-11-21,WAS,CLE,21.46849315068493,0.0,25.183333333333334,3.0,8.0,0.375,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,2.1,7.0
2014-11-25,WAS,ATL,21.47945205479452,0.0,20.033333333333335,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,3.6,-1.0
2014-11-26,WAS,CLE,21.482191780821918,0.0,19.666666666666668,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.6,-13.0
2014-11-29,WAS,NOP,21.49041095890411,0.0,15.6,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,4.3,-3.0
2014-12-01,WAS,MIA,21.495890410958904,0.0,23.966666666666665,2.0,4.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,0.0,1.0,0.0,7.0,8.7,14.0
2014-12-03,WAS,LAL,21.5013698630137,0.0,11.833333333333334,1.0,5.0,0.2,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.8,-11.0
