date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,TOR,ATL,25.627397260273973,0.0,23.783333333333335,4.0,9.0,0.444,2.0,7.0,0.286,0.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,1.0,10.0,8.8,11.0
2014-11-01,TOR,ORL,25.635616438356166,0.0,24.983333333333334,1.0,7.0,0.143,0.0,4.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,-5.0
2014-11-02,TOR,MIA,25.638356164383563,1.0,14.85,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,-0.9,-11.0
2014-11-04,TOR,OKC,25.643835616438356,1.0,35.833333333333336,5.0,9.0,0.556,2.0,2.0,1.0,2.0,2.0,1.0,2.0,6.0,8.0,2.0,2.0,1.0,1.0,2.0,14.0,15.2,9.0
2014-11-05,TOR,BOS,25.646575342465752,1.0,26.7,5.0,8.0,0.625,4.0,6.0,0.667,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,14.0,13.4,-7.0
2014-11-07,TOR,WAS,25.65205479452055,0.0,27.45,2.0,6.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,2.0,7.0,6.8,9.0
2014-11-09,TOR,PHI,25.65753424657534,0.0,20.516666666666666,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,5.3,25.0
2014-11-11,TOR,ORL,25.663013698630138,0.0,29.383333333333333,4.0,5.0,0.8,3.0,3.0,1.0,1.0,2.0,0.5,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,12.0,10.1,9.0
2014-11-13,TOR,CHI,25.66849315068493,0.0,24.2,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,3.0,3.0,-1.0,-7.0
2014-11-15,TOR,UTA,25.673972602739727,0.0,25.083333333333332,7.0,11.0,0.636,2.0,5.0,0.4,0.0,0.0,0.0,3.0,2.0,5.0,1.0,1.0,0.0,2.0,3.0,16.0,12.3,9.0
2014-11-19,TOR,MEM,25.684931506849313,0.0,20.733333333333334,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,7.0,7.6,10.0
2014-11-21,TOR,MIL,25.69041095890411,0.0,22.066666666666666,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,3.0,1.0,0.0,0.0,2.0,2.0,3.7,25.0
2014-11-22,TOR,CLE,25.693150684931506,0.0,24.333333333333332,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,1.0,1.0,5.0,6.0,3.0,1.0,1.0,2.0,0.0,5.0,6.6,20.0
2014-11-24,TOR,PHO,25.698630136986303,0.0,24.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,4.0,0.0,0.0,0.0,1.0,2.0,6.3,14.0
2014-11-26,TOR,ATL,25.704109589041096,0.0,20.966666666666665,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,1.0,2.0,1.0,4.0,3.0,5.4,2.0
2014-11-28,TOR,DAL,25.70958904109589,0.0,29.683333333333334,4.0,9.0,0.444,2.0,5.0,0.4,0.0,2.0,0.0,4.0,8.0,12.0,2.0,0.0,0.0,2.0,2.0,10.0,8.3,1.0
2014-11-30,TOR,LAL,25.715068493150685,0.0,33.56666666666667,3.0,8.0,0.375,0.0,4.0,0.0,4.0,4.0,1.0,5.0,8.0,13.0,3.0,0.0,1.0,0.0,1.0,10.0,13.9,-2.0
2014-12-02,TOR,SAC,25.720547945205478,0.0,22.383333333333333,5.0,10.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,12.0,7.9,-9.0
2014-12-03,TOR,UTA,25.723287671232878,0.0,31.066666666666666,5.0,6.0,0.833,3.0,4.0,0.75,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,13.0,10.5,29.0
2014-12-05,TOR,CLE,25.72876712328767,0.0,26.55,2.0,8.0,0.25,1.0,6.0,0.167,1.0,2.0,0.5,3.0,5.0,8.0,1.0,0.0,0.0,1.0,1.0,6.0,3.7,-11.0
2014-12-08,TOR,DEN,25.736986301369864,0.0,38.516666666666666,7.0,11.0,0.636,5.0,7.0,0.714,0.0,0.0,0.0,2.0,6.0,8.0,2.0,0.0,1.0,0.0,1.0,19.0,19.0,1.0
2014-12-09,TOR,CLE,25.73972602739726,0.0,26.366666666666667,5.0,7.0,0.714,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,2.0,1.0,0.0,12.0,11.8,-4.0
2014-12-12,TOR,IND,25.747945205479454,0.0,22.516666666666666,3.0,7.0,0.429,1.0,3.0,0.333,4.0,4.0,1.0,3.0,5.0,8.0,2.0,0.0,0.0,0.0,3.0,11.0,11.1,8.0
2014-12-14,TOR,NYK,25.753424657534246,0.0,33.85,5.0,6.0,0.833,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,0.0,2.0,2.0,13.0,13.8,8.0
2014-12-15,TOR,ORL,25.756164383561643,0.0,28.166666666666668,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,6.0,2.0,0.0,0.0,0.0,10.0,14.9,2.0
2014-12-17,TOR,BRK,25.76164383561644,0.0,25.2,5.0,10.0,0.5,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,13.0,8.8,12.0
2014-12-19,TOR,DET,25.767123287671232,0.0,30.45,4.0,8.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,4.0,0.0,0.0,0.0,2.0,11.0,10.9,2.0
2014-12-21,TOR,NYK,25.77260273972603,0.0,21.2,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,4.0,3.0,1.0,1.0,0.0,5.0,5.0,5.4,-1.0
2014-12-22,TOR,CHI,25.775342465753425,0.0,29.733333333333334,5.0,10.0,0.5,0.0,3.0,0.0,2.0,4.0,0.5,7.0,2.0,9.0,0.0,1.0,0.0,0.0,3.0,12.0,11.5,-7.0
2014-12-27,TOR,LAC,25.78904109589041,0.0,23.7,4.0,5.0,0.8,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,3.0,10.0,8.9,5.0
2014-12-28,TOR,DEN,25.791780821917808,0.0,26.6,2.0,5.0,0.4,2.0,4.0,0.5,2.0,4.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,8.0,5.4,20.0
2014-12-30,TOR,POR,25.797260273972604,0.0,28.5,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,1.0,0.0,0.0,1.0,4.0,6.5,-11.0
2015-01-02,TOR,GSW,25.805479452054794,0.0,26.4,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.6,-15.0
