date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-01-17,SAC,LAC,22.164383561643834,0.0,5.7,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9,4.0
2015-01-23,SAC,GSW,22.18082191780822,0.0,33.8,3.0,8.0,0.375,1.0,3.0,0.333,6.0,7.0,0.857,1.0,5.0,6.0,0.0,2.0,2.0,3.0,2.0,13.0,10.0,4.0
2015-01-30,SAC,CLE,22.2,0.0,7.516666666666667,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.8,6.0
2015-02-03,SAC,GSW,22.21095890410959,0.0,5.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.1,-13.0
2015-02-05,SAC,DAL,22.216438356164385,0.0,6.283333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.9,2.0
2015-02-07,SAC,UTA,22.221917808219178,0.0,2.2,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.3,5.0
2015-04-01,DET,CHO,22.367123287671234,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0
2015-04-12,DET,CHO,22.397260273972602,0.0,26.966666666666665,2.0,7.0,0.286,2.0,5.0,0.4,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,1.0,1.0,4.0,6.0,3.7,29.0
2015-04-13,DET,CLE,22.4,0.0,15.466666666666667,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.3,6.0
2015-04-15,DET,NYK,22.405479452054795,0.0,13.516666666666667,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0
