date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,SAC,GSW,34.44931506849315,0.0,6.9,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.1,3.0
2014-10-31,SAC,POR,34.45479452054794,0.0,23.5,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,0.0,0.0,2.0,4.0,4.0,-0.4,-14.0
2014-11-02,SAC,LAC,34.46027397260274,0.0,6.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.4,-7.0
2014-11-03,SAC,DEN,34.463013698630135,0.0,22.516666666666666,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,14.0,0.0,2.0,1.0,0.0,4.0,2.0,7.5,-1.0
2014-11-05,SAC,DEN,34.46849315068493,0.0,18.733333333333334,2.0,4.0,0.5,0.0,0.0,0.0,2.0,5.0,0.4,1.0,4.0,5.0,1.0,0.0,0.0,0.0,2.0,6.0,4.6,15.0
2014-11-07,SAC,PHO,34.47397260273973,0.0,11.2,0.0,3.0,0.0,0.0,0.0,0.0,5.0,6.0,0.833,2.0,3.0,5.0,2.0,0.0,1.0,2.0,3.0,5.0,3.7,2.0
2014-11-09,SAC,OKC,34.47945205479452,0.0,13.85,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,0.0,1.0,0.0,5.0,6.0,-4.0
2014-11-11,SAC,DAL,34.484931506849314,0.0,13.516666666666667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.7,-6.0
2014-11-13,SAC,MEM,34.49041095890411,0.0,12.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,3.0,2.0,1.8,-7.0
2014-11-30,SAC,MEM,34.536986301369865,0.0,34.96666666666667,7.0,10.0,0.7,0.0,0.0,0.0,3.0,6.0,0.5,9.0,11.0,20.0,1.0,1.0,1.0,2.0,4.0,17.0,20.0,-7.0
