date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,UTA,HOU,22.024657534246575,0.0,21.183333333333334,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,5.0,3.6,-8.0
2014-10-30,UTA,DAL,22.027397260273972,0.0,16.633333333333333,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,-4.5,-8.0
2014-11-01,UTA,PHO,22.03287671232877,0.0,15.566666666666666,2.0,6.0,0.333,0.0,3.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,4.2,9.0
2014-11-03,UTA,LAC,22.03835616438356,0.0,18.133333333333333,2.0,5.0,0.4,2.0,3.0,0.667,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,1.0,2.0,6.0,5.4,-1.0
2014-11-05,UTA,CLE,22.043835616438358,0.0,13.8,2.0,6.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,6.0,6.2,-3.0
2014-11-07,UTA,DAL,22.04931506849315,0.0,5.933333333333334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2,-3.0
2014-11-29,UTA,LAC,22.10958904109589,0.0,13.766666666666667,0.0,6.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,-0.9,-7.0
2014-12-01,UTA,DEN,22.115068493150684,0.0,10.65,1.0,3.0,0.333,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,-0.9,-13.0
2014-12-03,UTA,TOR,22.12054794520548,1.0,26.566666666666666,3.0,8.0,0.375,2.0,7.0,0.286,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,10.0,7.1,-9.0
2014-12-05,UTA,ORL,22.126027397260273,1.0,25.6,4.0,6.0,0.667,3.0,3.0,1.0,4.0,5.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,15.0,10.3,6.0
2014-12-08,UTA,SAC,22.134246575342466,0.0,21.55,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-2.2,-5.0
2014-12-09,UTA,SAS,22.136986301369863,0.0,15.516666666666667,2.0,5.0,0.4,0.0,2.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,3.8,0.0
2014-12-12,UTA,MIA,22.145205479452056,0.0,18.533333333333335,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,-1.1,10.0
2014-12-14,UTA,WAS,22.15068493150685,0.0,17.983333333333334,1.0,5.0,0.2,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.8,-7.0
2014-12-16,UTA,NOP,22.156164383561645,0.0,11.616666666666667,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,5.0,3.1,-4.0
2014-12-17,UTA,MIA,22.15890410958904,0.0,8.166666666666666,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,6.0,2.4,15.0
2014-12-19,UTA,ORL,22.164383561643834,0.0,22.65,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,9.0,7.3,-5.0
2014-12-20,UTA,CHO,22.167123287671235,0.0,17.333333333333332,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,-0.3,-16.0
2014-12-22,UTA,MEM,22.172602739726027,0.0,21.416666666666668,2.0,8.0,0.25,1.0,5.0,0.2,2.0,4.0,0.5,1.0,3.0,4.0,4.0,0.0,0.0,1.0,3.0,7.0,3.6,0.0
2014-12-27,UTA,PHI,22.186301369863013,1.0,28.733333333333334,1.0,8.0,0.125,1.0,5.0,0.2,1.0,2.0,0.5,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,1.3,18.0
2014-12-29,UTA,LAC,22.19178082191781,1.0,29.716666666666665,2.0,6.0,0.333,1.0,3.0,0.333,4.0,5.0,0.8,0.0,7.0,7.0,5.0,2.0,1.0,3.0,5.0,9.0,8.5,-1.0
2014-12-30,UTA,MIN,22.194520547945206,1.0,18.716666666666665,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,5.0,4.0,-0.3,12.0
2015-01-16,UTA,LAL,22.24109589041096,0.0,21.1,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,2.0,3.0,5.0,3.0,9.0
