date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,LAL,HOU,31.353424657534248,0.0,26.933333333333334,1.0,7.0,0.143,1.0,3.0,0.333,4.0,4.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,3.0,7.0,3.7,-11.0
2014-10-29,LAL,PHO,31.356164383561644,0.0,29.616666666666667,2.0,7.0,0.286,1.0,3.0,0.333,1.0,2.0,0.5,0.0,3.0,3.0,5.0,2.0,0.0,0.0,2.0,6.0,7.1,2.0
2014-10-31,LAL,LAC,31.361643835616437,0.0,13.3,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,6.0,8.0,-2.0
2014-11-01,LAL,GSW,31.364383561643837,0.0,22.35,0.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,2.0,0.0,2.0,6.0,2.0,0.0,2.0,4.0,1.0,1.8,-6.0
2014-11-04,LAL,PHO,31.372602739726027,0.0,20.8,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,4.0,3.0,2.4,2.0
2014-11-09,LAL,CHO,31.386301369863013,0.0,17.616666666666667,2.0,6.0,0.333,0.0,2.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,8.0,3.0,0.0,1.0,4.0,7.0,10.2,4.0
2014-11-11,LAL,MEM,31.39178082191781,0.0,20.9,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,4.0,1.0,-5.0
2014-11-12,LAL,NOP,31.394520547945206,0.0,16.566666666666666,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,0.0,0.5,-3.0
2014-11-16,LAL,GSW,31.405479452054795,0.0,30.9,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,6.0,5.0,3.0,0.0,2.0,5.0,2.0,5.4,14.0
2014-11-18,LAL,ATL,31.410958904109588,0.0,17.516666666666666,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,0.0,3.0,3.0,5.0,1.0,0.0,4.0,3.0,2.0,0.7,2.0
2014-11-19,LAL,HOU,31.413698630136988,0.0,15.516666666666667,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,5.0,3.3,2.0
2014-11-21,LAL,DAL,31.41917808219178,0.0,24.033333333333335,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,-1.5,-19.0
2014-11-23,LAL,DEN,31.424657534246574,0.0,17.066666666666666,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,-3.7,0.0
2014-11-26,LAL,MEM,31.432876712328767,0.0,18.0,5.0,8.0,0.625,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,0.0,2.0,11.0,12.8,-2.0
2014-11-28,LAL,MIN,31.438356164383563,0.0,14.75,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,2.0,2.0,0.0,-0.5,4.0
2014-11-30,LAL,TOR,31.443835616438356,0.0,18.283333333333335,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,3.0,3.6,7.0
2014-12-02,LAL,DET,31.44931506849315,0.0,18.383333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.9,-2.0
2014-12-03,LAL,WAS,31.45205479452055,0.0,26.616666666666667,4.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,3.0,11.0,12.0,2.0
2014-12-05,LAL,BOS,31.457534246575342,0.0,23.833333333333332,3.0,10.0,0.3,1.0,4.0,0.25,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,7.0,4.2,0.0
2014-12-07,LAL,NOP,31.463013698630135,1.0,25.8,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,3.0,5.3,-8.0
2014-12-09,LAL,SAC,31.46849315068493,1.0,20.1,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,0.0,0.0,3.0,2.0,4.5,-13.0
2014-12-12,LAL,SAS,31.476712328767125,1.0,16.533333333333335,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,-2.2,-3.0
2014-12-14,LAL,MIN,31.482191780821918,1.0,25.333333333333332,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,2.0,6.2,2.0
2014-12-15,LAL,IND,31.484931506849314,1.0,18.65,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,1.4,-15.0
2014-12-19,LAL,OKC,31.495890410958904,1.0,25.766666666666666,5.0,8.0,0.625,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,14.0,12.4,-5.0
2014-12-21,LAL,SAC,31.5013698630137,1.0,27.266666666666666,2.0,6.0,0.333,1.0,5.0,0.2,3.0,4.0,0.75,4.0,0.0,4.0,1.0,2.0,0.0,1.0,5.0,8.0,6.7,-6.0
