date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,IND,PHI,27.882191780821916,1.0,32.28333333333333,6.0,8.0,0.75,0.0,0.0,0.0,10.0,13.0,0.769,3.0,5.0,8.0,0.0,0.0,7.0,3.0,2.0,22.0,22.3,18.0
2014-10-31,IND,MEM,27.887671232876713,1.0,26.966666666666665,4.0,9.0,0.444,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,8.0,1.0,0.0,1.0,2.0,3.0,8.0,3.5,-12.0
2014-11-01,IND,ATL,27.89041095890411,1.0,35.03333333333333,4.0,8.0,0.5,0.0,0.0,0.0,6.0,6.0,1.0,1.0,11.0,12.0,2.0,0.0,3.0,1.0,2.0,14.0,15.7,-3.0
2014-11-04,IND,MIL,27.898630136986302,1.0,35.233333333333334,7.0,10.0,0.7,0.0,0.0,0.0,2.0,4.0,0.5,1.0,6.0,7.0,1.0,0.0,5.0,2.0,2.0,16.0,14.9,0.0
2014-11-05,IND,WAS,27.9013698630137,1.0,31.466666666666665,0.0,7.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,7.0,9.0,4.0,0.0,5.0,1.0,2.0,2.0,5.1,-4.0
2014-11-07,IND,BOS,27.90684931506849,1.0,32.18333333333333,8.0,16.0,0.5,0.0,0.0,0.0,6.0,6.0,1.0,4.0,7.0,11.0,2.0,0.0,4.0,2.0,4.0,22.0,19.5,11.0
2014-11-08,IND,WAS,27.90958904109589,1.0,11.05,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,2.6,-17.0
2014-11-10,IND,UTA,27.915068493150685,1.0,33.25,11.0,21.0,0.524,0.0,0.0,0.0,7.0,7.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,0.0,2.0,29.0,23.0,-4.0
2014-11-12,IND,MIA,27.92054794520548,1.0,33.75,7.0,14.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,4.0,11.0,15.0,2.0,0.0,3.0,5.0,3.0,16.0,12.4,11.0
2014-11-14,IND,DEN,27.926027397260274,1.0,25.316666666666666,3.0,9.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,0.0,4.0,4.0,1.0,0.0,2.0,1.0,3.0,9.0,4.6,-27.0
2014-11-15,IND,CHI,27.92876712328767,1.0,35.016666666666666,4.0,11.0,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,1.0,3.0,3.0,4.0,8.0,6.0,-5.0
2014-11-19,IND,CHO,27.93972602739726,1.0,30.133333333333333,7.0,14.0,0.5,0.0,0.0,0.0,4.0,6.0,0.667,0.0,11.0,11.0,2.0,0.0,1.0,2.0,3.0,18.0,12.4,3.0
2014-11-22,IND,PHO,27.947945205479453,1.0,6.9,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,-3.0
2014-12-02,IND,PHO,27.975342465753425,1.0,30.7,6.0,14.0,0.429,0.0,0.0,0.0,3.0,3.0,1.0,4.0,6.0,10.0,1.0,2.0,1.0,2.0,3.0,15.0,12.4,-19.0
