date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,OKC,POR,25.112328767123287,1.0,28.533333333333335,4.0,11.0,0.364,1.0,3.0,0.333,1.0,2.0,0.5,2.0,6.0,8.0,2.0,0.0,4.0,5.0,5.0,10.0,3.9,-3.0
2014-10-30,OKC,LAC,25.115068493150684,1.0,32.733333333333334,7.0,13.0,0.538,2.0,5.0,0.4,1.0,1.0,1.0,2.0,7.0,9.0,2.0,0.0,0.0,0.0,4.0,17.0,14.0,2.0
2014-11-01,OKC,DEN,25.12054794520548,1.0,29.683333333333334,10.0,19.0,0.526,3.0,7.0,0.429,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,23.0,14.3,6.0
2014-11-03,OKC,BRK,25.126027397260273,1.0,29.0,7.0,11.0,0.636,1.0,2.0,0.5,0.0,0.0,0.0,2.0,7.0,9.0,1.0,1.0,2.0,1.0,1.0,15.0,15.3,-19.0
2014-11-04,OKC,TOR,25.12876712328767,1.0,45.96666666666667,11.0,14.0,0.786,3.0,6.0,0.5,0.0,0.0,0.0,0.0,11.0,11.0,2.0,0.0,1.0,3.0,5.0,25.0,20.0,-11.0
2014-11-07,OKC,MEM,25.136986301369863,1.0,33.016666666666666,6.0,15.0,0.4,4.0,7.0,0.571,0.0,1.0,0.0,1.0,6.0,7.0,1.0,0.0,0.0,5.0,3.0,16.0,4.5,10.0
2014-11-09,OKC,SAC,25.14246575342466,1.0,35.13333333333333,6.0,14.0,0.429,0.0,3.0,0.0,2.0,2.0,1.0,4.0,5.0,9.0,1.0,0.0,4.0,1.0,3.0,14.0,12.2,1.0
2014-11-11,OKC,MIL,25.147945205479452,1.0,35.233333333333334,4.0,13.0,0.308,2.0,5.0,0.4,4.0,4.0,1.0,1.0,6.0,7.0,2.0,0.0,1.0,3.0,4.0,14.0,6.5,-4.0
2014-11-12,OKC,BOS,25.15068493150685,1.0,29.75,5.0,10.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,11.0,7.5,-7.0
2014-11-14,OKC,DET,25.156164383561645,1.0,41.95,8.0,20.0,0.4,3.0,9.0,0.333,0.0,0.0,0.0,3.0,7.0,10.0,1.0,0.0,2.0,2.0,3.0,19.0,11.3,-2.0
2014-11-16,OKC,HOU,25.161643835616438,1.0,34.916666666666664,5.0,13.0,0.385,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,0.0,5.0,3.0,4.0,10.0,5.8,3.0
2014-11-18,OKC,UTA,25.167123287671235,1.0,22.15,2.0,13.0,0.154,1.0,3.0,0.333,1.0,2.0,0.5,1.0,5.0,6.0,0.0,1.0,1.0,0.0,2.0,6.0,0.4,-10.0
2014-11-19,OKC,DEN,25.16986301369863,1.0,36.833333333333336,9.0,15.0,0.6,2.0,2.0,1.0,2.0,3.0,0.667,3.0,10.0,13.0,0.0,0.0,0.0,2.0,4.0,22.0,16.2,-6.0
2014-11-21,OKC,BRK,25.175342465753424,1.0,36.86666666666667,8.0,17.0,0.471,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,0.0,0.0,2.0,0.0,2.0,16.0,12.9,12.0
2014-11-23,OKC,GSW,25.18082191780822,1.0,34.333333333333336,5.0,17.0,0.294,0.0,2.0,0.0,6.0,6.0,1.0,4.0,4.0,8.0,0.0,0.0,5.0,4.0,3.0,16.0,8.4,-3.0
2014-11-26,OKC,UTA,25.18904109589041,1.0,34.583333333333336,9.0,19.0,0.474,2.0,4.0,0.5,0.0,1.0,0.0,1.0,7.0,8.0,3.0,1.0,4.0,0.0,3.0,20.0,17.4,2.0
2014-11-28,OKC,NYK,25.194520547945206,1.0,20.433333333333334,5.0,11.0,0.455,1.0,3.0,0.333,3.0,4.0,0.75,2.0,4.0,6.0,1.0,0.0,0.0,1.0,4.0,14.0,8.6,19.0
2014-12-02,OKC,NOP,25.205479452054796,1.0,35.93333333333333,3.0,11.0,0.273,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,4.0,1.0,2.0,6.0,1.8,-11.0
2014-12-05,OKC,PHI,25.213698630136985,1.0,31.583333333333332,5.0,8.0,0.625,2.0,2.0,1.0,7.0,8.0,0.875,3.0,1.0,4.0,1.0,0.0,3.0,2.0,4.0,19.0,16.6,10.0
2014-12-07,OKC,DET,25.21917808219178,1.0,32.85,6.0,13.0,0.462,0.0,2.0,0.0,1.0,1.0,1.0,6.0,7.0,13.0,0.0,0.0,4.0,1.0,3.0,13.0,13.2,-3.0
2014-12-09,OKC,MIL,25.224657534246575,1.0,24.083333333333332,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,2.0,3.0,5.0,0.0,2.0,3.0,2.0,0.0,15.0,17.9,25.0
2014-12-11,OKC,CLE,25.23013698630137,1.0,25.766666666666666,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,6.0,7.0,1.7,7.0
2014-12-12,OKC,MIN,25.232876712328768,1.0,32.733333333333334,6.0,10.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,13.0,11.7,16.0
2014-12-14,OKC,PHO,25.23835616438356,1.0,18.683333333333334,5.0,7.0,0.714,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,12.0,9.9,11.0
2014-12-16,OKC,SAC,25.243835616438357,1.0,34.18333333333333,3.0,10.0,0.3,1.0,3.0,0.333,2.0,2.0,1.0,0.0,6.0,6.0,2.0,0.0,7.0,0.0,2.0,9.0,10.5,22.0
2014-12-18,OKC,GSW,25.24931506849315,1.0,34.38333333333333,5.0,8.0,0.625,2.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,1.0,3.0,4.0,3.0,12.0,10.7,0.0
2014-12-19,OKC,LAL,25.252054794520546,1.0,39.38333333333333,6.0,17.0,0.353,2.0,5.0,0.4,2.0,3.0,0.667,2.0,5.0,7.0,1.0,1.0,5.0,0.0,1.0,16.0,13.8,-1.0
2014-12-21,OKC,NOP,25.257534246575343,1.0,37.8,2.0,8.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,2.0,6.0,8.0,0.0,0.0,0.0,1.0,4.0,6.0,1.8,6.0
