date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,MIA,WAS,23.293150684931508,0.0,15.35,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,3.7,9.0
2014-11-01,MIA,PHI,23.301369863013697,0.0,20.016666666666666,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,0.0,1.0,4.0,5.0,6.8,11.0
2014-11-02,MIA,TOR,23.304109589041097,0.0,17.066666666666666,2.0,3.0,0.667,1.0,2.0,0.5,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,8.0,8.3,-2.0
2014-11-04,MIA,HOU,23.30958904109589,0.0,27.2,2.0,6.0,0.333,1.0,2.0,0.5,0.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,5.0,3.9,-4.0
2014-11-05,MIA,CHO,23.312328767123287,0.0,25.983333333333334,2.0,7.0,0.286,0.0,2.0,0.0,3.0,4.0,0.75,0.0,2.0,2.0,3.0,1.0,0.0,0.0,5.0,7.0,4.2,6.0
2014-11-08,MIA,MIN,23.32054794520548,0.0,16.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,3.0,2.0,2.0,0.5,-3.0
2014-11-09,MIA,DAL,23.323287671232876,0.0,25.983333333333334,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,-0.9,4.0
2014-11-12,MIA,IND,23.33150684931507,0.0,13.683333333333334,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,1.0,3.0,4.0,6.0
2014-11-14,MIA,ATL,23.336986301369862,0.0,21.083333333333332,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,4.0,-0.5,-8.0
2014-11-16,MIA,MIL,23.34246575342466,0.0,25.85,4.0,5.0,0.8,1.0,2.0,0.5,1.0,2.0,0.5,0.0,5.0,5.0,1.0,0.0,0.0,3.0,0.0,10.0,6.9,2.0
