date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,POR,OKC,34.67123287671233,0.0,20.316666666666666,0.0,4.0,0.0,0.0,3.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,2.8,13.0
2014-10-31,POR,SAC,34.676712328767124,0.0,21.6,2.0,7.0,0.286,2.0,5.0,0.4,0.0,0.0,0.0,0.0,3.0,3.0,5.0,1.0,0.0,2.0,4.0,6.0,3.7,8.0
2014-11-02,POR,GSW,34.68219178082192,0.0,23.1,3.0,5.0,0.6,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,8.0,8.2,-4.0
2014-11-04,POR,CLE,34.68767123287671,0.0,20.816666666666666,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,-1.8,-3.0
2014-11-06,POR,DAL,34.69315068493151,0.0,19.65,3.0,5.0,0.6,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,8.0,8.0,12.0
2014-11-08,POR,LAC,34.6986301369863,0.0,19.033333333333335,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,-5.7,-15.0
2014-11-09,POR,DEN,34.701369863013696,0.0,22.416666666666668,3.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,3.0,2.0,9.0,8.4,9.0
2014-11-11,POR,CHO,34.706849315068496,0.0,25.3,1.0,5.0,0.2,1.0,4.0,0.25,2.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,5.0,5.0,4.6,-1.0
2014-11-12,POR,DEN,34.70958904109589,0.0,27.8,2.0,8.0,0.25,2.0,7.0,0.286,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,2.0,1.0,6.0,3.8,9.0
2014-11-15,POR,BRK,34.71780821917808,0.0,16.116666666666667,2.0,3.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,7.0,3.0,0.0,0.0,0.0,7.0,13.9,17.0
2014-11-17,POR,NOP,34.723287671232875,0.0,29.183333333333334,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,1.0,0.0,3.0,2.0,5.0,7.1,27.0
2014-11-21,POR,CHI,34.73424657534247,0.0,21.133333333333333,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,-0.6,-16.0
2014-11-23,POR,BOS,34.73972602739726,0.0,21.433333333333334,5.0,8.0,0.625,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,0.0,11.0,10.5,5.0
