date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,POR,OKC,23.61917808219178,0.0,2.3333333333333335,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3,1.0
2014-11-02,POR,GSW,23.63013698630137,0.0,14.133333333333333,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,6.0,0.0,1.0,1.0,2.0,1.0,4.0,3.8,6.0
2014-11-04,POR,CLE,23.635616438356166,0.0,10.583333333333334,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,1.0,0.0,0.0,3.0,2.0,3.3,6.0
2014-11-06,POR,DAL,23.64109589041096,0.0,13.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,16.0
2014-11-08,POR,LAC,23.646575342465752,0.0,5.516666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.2,-2.0
2014-11-09,POR,DEN,23.649315068493152,0.0,5.183333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,-0.3,-4.0
2014-11-12,POR,DEN,23.65753424657534,0.0,5.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-9.0
2014-11-21,POR,CHI,23.682191780821917,0.0,7.85,1.0,3.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.5,-6.0
2014-12-10,POR,MIN,23.734246575342464,0.0,2.7666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.3,4.0
2014-12-15,POR,SAS,23.747945205479454,0.0,8.983333333333333,2.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,7.0,4.1,4.0
2014-12-17,POR,MIL,23.753424657534246,1.0,28.516666666666666,5.0,8.0,0.625,0.0,0.0,0.0,5.0,15.0,0.333,4.0,12.0,16.0,1.0,1.0,1.0,4.0,2.0,15.0,11.4,15.0
2014-12-19,POR,SAS,23.75890410958904,0.0,27.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,16.0
2014-12-20,POR,NOP,23.76164383561644,0.0,18.983333333333334,6.0,8.0,0.75,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,5.0,12.0,6.0,-8.0
2014-12-22,POR,HOU,23.767123287671232,0.0,12.533333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,-3.0,-10.0
2014-12-23,POR,OKC,23.76986301369863,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.6,-2.0
