date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,NYK,CHI,24.104109589041094,0.0,5.866666666666667,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-1.7,-6.0
2014-10-30,NYK,CLE,24.106849315068494,0.0,13.083333333333334,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.9,1.0
2014-11-04,NYK,WAS,24.12054794520548,0.0,2.6666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
2014-11-05,NYK,DET,24.123287671232877,0.0,5.3,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.1,-3.0
2014-11-07,NYK,BRK,24.12876712328767,0.0,13.483333333333333,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-3.2,2.0
2014-11-12,NYK,ORL,24.14246575342466,0.0,5.266666666666667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.5,-5.0
2014-11-14,NYK,UTA,24.147945205479452,0.0,15.45,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,6.0,4.6,10.0
2014-11-16,NYK,DEN,24.153424657534245,0.0,11.65,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,2.3,-3.0
2014-11-18,NYK,MIL,24.15890410958904,0.0,11.983333333333333,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,2.2,-9.0
2014-11-19,NYK,MIN,24.161643835616438,0.0,22.3,2.0,6.0,0.333,0.0,0.0,0.0,4.0,5.0,0.8,2.0,6.0,8.0,3.0,0.0,0.0,2.0,1.0,8.0,7.1,8.0
2014-11-22,NYK,PHI,24.16986301369863,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2014-11-24,NYK,HOU,24.175342465753424,0.0,17.266666666666666,4.0,7.0,0.571,0.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,9.0,7.3,-1.0
2014-11-26,NYK,DAL,24.18082191780822,0.0,2.9166666666666665,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0
2014-11-28,NYK,OKC,24.186301369863013,0.0,15.333333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,3.4,11.0
2014-11-30,NYK,MIA,24.19178082191781,0.0,8.85,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0
2014-12-02,NYK,BRK,24.197260273972603,0.0,6.016666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.3,2.0
2014-12-05,NYK,CHO,24.205479452054796,0.0,3.9833333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-2.0
2014-12-10,NYK,SAS,24.21917808219178,0.0,19.7,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,6.0,4.2,5.0
2014-12-14,NYK,TOR,24.23013698630137,0.0,6.066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,-2.1,-1.0
