date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,NOP,ORL,25.106849315068494,1.0,34.666666666666664,5.0,15.0,0.333,0.0,1.0,0.0,2.0,5.0,0.4,2.0,7.0,9.0,6.0,0.0,0.0,0.0,0.0,12.0,10.0,10.0
2014-11-01,NOP,DAL,25.117808219178084,1.0,37.0,8.0,19.0,0.421,3.0,6.0,0.5,3.0,3.0,1.0,1.0,9.0,10.0,9.0,2.0,1.0,4.0,5.0,22.0,18.3,9.0
2014-11-03,NOP,MEM,25.123287671232877,1.0,38.86666666666667,7.0,17.0,0.412,2.0,4.0,0.5,5.0,8.0,0.625,3.0,4.0,7.0,4.0,1.0,0.0,4.0,4.0,21.0,12.2,0.0
2014-11-04,NOP,CHO,25.126027397260273,1.0,30.65,7.0,18.0,0.389,2.0,4.0,0.5,0.0,0.0,0.0,1.0,9.0,10.0,5.0,0.0,0.0,4.0,3.0,16.0,7.9,13.0
2014-11-08,NOP,SAS,25.136986301369863,1.0,38.016666666666666,7.0,16.0,0.438,2.0,4.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,5.0,1.0,0.0,3.0,2.0,18.0,11.2,-5.0
2014-11-10,NOP,CLE,25.14246575342466,1.0,30.483333333333334,2.0,14.0,0.143,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,10.0,0.0,1.0,1.0,6.0,6.0,2.9,-10.0
2014-11-12,NOP,LAL,25.147945205479452,1.0,36.75,8.0,16.0,0.5,2.0,2.0,1.0,1.0,2.0,0.5,1.0,4.0,5.0,11.0,0.0,0.0,2.0,2.0,19.0,17.4,16.0
2014-11-14,NOP,MIN,25.153424657534245,1.0,26.45,6.0,11.0,0.545,1.0,1.0,1.0,3.0,6.0,0.5,2.0,4.0,6.0,7.0,4.0,0.0,2.0,2.0,16.0,18.2,33.0
2014-11-17,NOP,POR,25.161643835616438,1.0,38.78333333333333,5.0,18.0,0.278,1.0,5.0,0.2,2.0,5.0,0.4,2.0,3.0,5.0,8.0,2.0,0.0,4.0,3.0,13.0,5.9,-5.0
2014-11-18,NOP,SAC,25.164383561643834,1.0,31.2,5.0,11.0,0.455,1.0,2.0,0.5,7.0,8.0,0.875,2.0,4.0,6.0,5.0,0.0,0.0,2.0,4.0,18.0,14.4,0.0
2014-11-21,NOP,DEN,25.172602739726027,1.0,31.6,5.0,10.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,2.0,10.0,4.2,-7.0
2014-11-22,NOP,UTA,25.175342465753424,1.0,38.86666666666667,4.0,13.0,0.308,0.0,1.0,0.0,1.0,2.0,0.5,2.0,5.0,7.0,3.0,3.0,0.0,2.0,1.0,9.0,6.7,16.0
2014-11-25,NOP,SAC,25.183561643835617,1.0,37.95,10.0,17.0,0.588,0.0,3.0,0.0,2.0,4.0,0.5,1.0,6.0,7.0,5.0,0.0,0.0,5.0,3.0,22.0,13.1,-14.0
