date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,POR,OKC,23.81095890410959,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-11-02,POR,GSW,23.82191780821918,0.0,15.65,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,4.0,3.5,0.0
2014-11-04,POR,CLE,23.827397260273973,0.0,11.816666666666666,1.0,5.0,0.2,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,-0.2,4.0
2014-11-06,POR,DAL,23.832876712328765,0.0,11.45,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,-2.0,0.0
2014-11-08,POR,LAC,23.838356164383562,0.0,9.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.2,1.0
2014-11-09,POR,DEN,23.84109589041096,0.0,4.833333333333333,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.5,-1.0
2014-11-12,POR,DEN,23.84931506849315,0.0,15.866666666666667,2.0,5.0,0.4,0.0,1.0,0.0,2.0,3.0,0.667,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,6.0,1.3,-12.0
2014-11-15,POR,BRK,23.85753424657534,0.0,15.25,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,8.0,4.6,8.0
2014-11-17,POR,NOP,23.863013698630137,0.0,5.916666666666667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8,2.0
2014-11-21,POR,CHI,23.873972602739727,0.0,14.916666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,-21.0
2014-11-24,POR,PHI,23.882191780821916,0.0,6.233333333333333,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,-4.0
2014-11-28,POR,MEM,23.893150684931506,0.0,4.9,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,-5.0
2014-12-15,POR,SAS,23.93972602739726,0.0,8.1,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,1.9,6.0
2014-12-20,POR,NOP,23.953424657534246,0.0,12.0,2.0,6.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.9,-6.0
2014-12-22,POR,HOU,23.958904109589042,0.0,12.0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,4.0,5.6,5.0
2014-12-26,POR,PHI,23.96986301369863,0.0,4.633333333333333,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,4.3,1.0
2014-12-28,POR,NYK,23.975342465753425,0.0,13.95,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,4.0,4.4,-4.0
2015-01-08,POR,MIA,24.005479452054793,0.0,4.666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-5.0
2015-01-10,POR,ORL,24.01095890410959,0.0,9.166666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0
2015-01-16,POR,SAS,24.027397260273972,0.0,5.466666666666667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,9.0
2015-01-19,POR,SAC,24.035616438356165,0.0,15.466666666666667,3.0,7.0,0.429,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,6.0,4.9,13.0
2015-01-21,POR,PHO,24.041095890410958,0.0,13.85,1.0,3.0,0.333,0.0,1.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.9,-9.0
2015-01-22,POR,BOS,24.043835616438358,0.0,8.133333333333333,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,-0.1,-1.0
2015-01-24,POR,WAS,24.04931506849315,0.0,22.483333333333334,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,1.0,0.0,4.0,2.9,15.0
2015-01-28,POR,CLE,24.06027397260274,0.0,15.466666666666667,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,4.0,1.8,-1.0
2015-01-30,POR,ATL,24.065753424657533,0.0,12.566666666666666,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,-2.0
2015-01-31,POR,MIL,24.068493150684933,0.0,10.166666666666666,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,-0.1,-7.0
2015-02-05,POR,PHO,24.08219178082192,0.0,1.9166666666666665,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.4,2.0
2015-02-08,POR,HOU,24.09041095890411,0.0,8.166666666666666,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.9,10.0
2015-02-11,POR,LAL,24.0986301369863,0.0,3.533333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,-3.0
2015-02-22,DEN,OKC,24.12876712328767,0.0,25.066666666666666,3.0,10.0,0.3,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,8.0,6.5,0.0
2015-02-23,DEN,BRK,24.13150684931507,0.0,21.466666666666665,5.0,11.0,0.455,1.0,3.0,0.333,4.0,4.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,15.0,11.0,-5.0
2015-02-25,DEN,PHO,24.136986301369863,0.0,34.36666666666667,6.0,9.0,0.667,3.0,5.0,0.6,7.0,8.0,0.875,2.0,6.0,8.0,3.0,0.0,1.0,2.0,2.0,22.0,20.9,-6.0
2015-02-27,DEN,UTA,24.14246575342466,0.0,30.7,8.0,15.0,0.533,1.0,3.0,0.333,5.0,6.0,0.833,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,22.0,13.9,9.0
