date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-30,MIN,DET,19.64109589041096,0.0,4.566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2014-11-07,MIN,ORL,19.663013698630138,0.0,8.366666666666667,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,5.3,-5.0
2014-11-08,MIN,MIA,19.665753424657535,1.0,25.75,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,0.0,2.0,1.0,5.0,5.5,-10.0
2014-11-12,MIN,HOU,19.676712328767124,1.0,34.43333333333333,2.0,9.0,0.222,0.0,2.0,0.0,4.0,4.0,1.0,0.0,3.0,3.0,9.0,0.0,0.0,3.0,4.0,8.0,5.1,-5.0
2014-11-14,MIN,NOP,19.682191780821917,1.0,31.05,5.0,12.0,0.417,0.0,1.0,0.0,3.0,3.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,3.0,3.0,13.0,4.0,-29.0
2014-11-15,MIN,DAL,19.684931506849313,1.0,18.6,2.0,6.0,0.333,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,5.0,5.0,4.0,-4.8,-6.0
2014-11-19,MIN,NYK,19.695890410958903,0.0,16.6,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.2,-13.0
2014-11-21,MIN,SAS,19.7013698630137,0.0,19.766666666666666,3.0,8.0,0.375,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,3.0,0.0,7.0,4.3,-16.0
2014-11-22,MIN,SAC,19.704109589041096,0.0,13.016666666666667,1.0,4.0,0.25,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,5.0,3.0,-4.0
2014-11-26,MIN,MIL,19.715068493150685,1.0,36.55,5.0,12.0,0.417,0.0,2.0,0.0,2.0,3.0,0.667,1.0,2.0,3.0,4.0,2.0,0.0,3.0,5.0,12.0,6.3,-12.0
2014-11-28,MIN,LAL,19.720547945205478,0.0,25.5,11.0,14.0,0.786,2.0,2.0,1.0,4.0,4.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,3.0,0.0,28.0,23.4,14.0
2014-11-30,MIN,POR,19.726027397260275,0.0,10.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,-3.9,-15.0
2014-12-01,MIN,LAC,19.72876712328767,0.0,24.016666666666666,4.0,11.0,0.364,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,10.0,3.4,-10.0
2014-12-03,MIN,PHI,19.734246575342464,0.0,14.783333333333333,3.0,6.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,1.1,-10.0
2014-12-05,MIN,HOU,19.73972602739726,1.0,34.916666666666664,6.0,12.0,0.5,1.0,2.0,0.5,4.0,5.0,0.8,0.0,6.0,6.0,4.0,0.0,0.0,2.0,4.0,17.0,11.6,3.0
2014-12-06,MIN,SAS,19.742465753424657,1.0,42.46666666666667,8.0,15.0,0.533,2.0,4.0,0.5,4.0,5.0,0.8,0.0,3.0,3.0,10.0,2.0,0.0,2.0,4.0,22.0,20.6,-20.0
2014-12-08,MIN,GSW,19.747945205479454,1.0,41.13333333333333,4.0,16.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,8.0,3.0,0.0,6.0,1.0,9.0,2.8,-11.0
2014-12-10,MIN,POR,19.753424657534246,1.0,35.55,4.0,9.0,0.444,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,5.0,0.0,0.0,5.0,2.0,10.0,4.2,4.0
2014-12-12,MIN,OKC,19.75890410958904,1.0,32.21666666666667,3.0,11.0,0.273,1.0,4.0,0.25,4.0,6.0,0.667,0.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,11.0,4.2,-27.0
2014-12-14,MIN,LAL,19.764383561643836,1.0,38.96666666666667,4.0,15.0,0.267,0.0,3.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,6.0,0.0,0.0,4.0,2.0,10.0,2.0,-3.0
2014-12-16,MIN,WAS,19.76986301369863,1.0,33.75,3.0,9.0,0.333,1.0,1.0,1.0,1.0,2.0,0.5,0.0,3.0,3.0,8.0,0.0,0.0,4.0,2.0,8.0,4.2,-6.0
2014-12-19,MIN,BOS,19.778082191780822,1.0,23.433333333333334,3.0,7.0,0.429,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,0.0,3.0,1.0,7.0,6.0,-3.0
2014-12-21,MIN,IND,19.783561643835615,1.0,16.1,2.0,6.0,0.333,1.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,9.0,7.5,0.0
2014-12-23,MIN,CLE,19.78904109589041,1.0,26.033333333333335,3.0,6.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,4.0,0.0,3.0,4.0,6.0,6.5,-8.0
2014-12-26,MIN,DEN,19.797260273972604,1.0,19.3,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,8.0,7.0,-16.0
2014-12-27,MIN,GSW,19.8,1.0,31.366666666666667,4.0,12.0,0.333,0.0,2.0,0.0,4.0,5.0,0.8,0.0,4.0,4.0,14.0,1.0,0.0,5.0,3.0,12.0,10.6,-3.0
2014-12-30,MIN,UTA,19.80821917808219,1.0,25.35,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,3.0,1.0,8.0,5.0,0.0
2015-01-01,MIN,SAC,19.813698630136987,1.0,20.716666666666665,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,3.0,1.0,6.0,7.0,-16.0
2015-01-03,MIN,UTA,19.81917808219178,1.0,23.616666666666667,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,8.0,5.7,-8.0
2015-01-05,MIN,DEN,19.824657534246576,0.0,25.95,2.0,9.0,0.222,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,-0.7,-26.0
2015-01-07,MIN,PHO,19.83013698630137,0.0,12.633333333333333,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,6.0,1.3,-9.0
2015-01-09,MIN,MIL,19.835616438356166,1.0,27.0,2.0,8.0,0.25,1.0,3.0,0.333,1.0,1.0,1.0,0.0,6.0,6.0,4.0,1.0,0.0,4.0,1.0,6.0,2.4,-7.0
2015-01-10,MIN,SAS,19.838356164383562,0.0,26.216666666666665,7.0,14.0,0.5,1.0,3.0,0.333,4.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,3.0,19.0,11.6,-11.0
2015-01-13,MIN,IND,19.846575342465755,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.8,-5.0
2015-01-16,MIN,PHO,19.854794520547944,0.0,11.433333333333334,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,-2.0
2015-01-17,MIN,DEN,19.85753424657534,0.0,11.716666666666667,3.0,4.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,3.0,3.0,7.0,5.0,-1.0
2015-01-19,MIN,CHO,19.863013698630137,0.0,22.666666666666668,4.0,9.0,0.444,0.0,2.0,0.0,1.0,3.0,0.333,0.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,9.0,5.2,-10.0
2015-01-21,MIN,DAL,19.86849315068493,0.0,21.45,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,3.0,2.0,1.9,-7.0
2015-01-23,MIN,NOP,19.873972602739727,0.0,13.6,1.0,5.0,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2.7,0.0
2015-01-25,MIN,ATL,19.87945205479452,0.0,7.133333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.2,-10.0
2015-01-26,MIN,OKC,19.882191780821916,0.0,22.5,3.0,9.0,0.333,1.0,2.0,0.5,4.0,5.0,0.8,1.0,4.0,5.0,1.0,0.0,0.0,1.0,4.0,11.0,5.5,-14.0
2015-01-28,MIN,BOS,19.887671232876713,1.0,23.916666666666668,7.0,9.0,0.778,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,6.0,3.0,0.0,4.0,2.0,17.0,17.5,3.0
2015-01-30,MIN,PHI,19.893150684931506,1.0,24.516666666666666,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,3.0,5.0,3.8,6.0
2015-02-04,MIN,MIA,19.90684931506849,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8,0.0
2015-02-06,MIN,MEM,19.912328767123288,0.0,8.116666666666667,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2,3.0
2015-02-08,MIN,DET,19.91780821917808,0.0,18.366666666666667,5.0,6.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,10.0,8.8,-5.0
2015-02-09,MIN,ATL,19.92054794520548,0.0,6.083333333333333,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,3.1,5.0
2015-02-11,MIN,GSW,19.926027397260274,0.0,16.3,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,-1.2,-9.0
2015-02-20,MIN,PHO,19.95068493150685,0.0,10.933333333333334,2.0,4.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,1.0,0.0,1.0,3.0,2.0,0.0,2.0,4.0,6.0,4.8,-12.0
2015-02-23,MIN,HOU,19.958904109589042,0.0,14.066666666666666,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.8,-15.0
2015-02-25,MIN,WAS,19.964383561643835,0.0,17.816666666666666,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,7.0,4.1,6.0
2015-02-27,MIN,CHI,19.96986301369863,0.0,9.75,3.0,5.0,0.6,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,6.0,2.0,1.0,1.0,1.0,1.0,9.0,10.6,4.0
2015-02-28,MIN,MEM,19.972602739726028,0.0,10.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,2.9,-7.0
2015-03-02,MIN,LAC,19.97808219178082,0.0,22.433333333333334,5.0,9.0,0.556,1.0,3.0,0.333,3.0,4.0,0.75,0.0,3.0,3.0,4.0,0.0,0.0,3.0,3.0,14.0,8.8,3.0
2015-03-04,MIN,DEN,19.983561643835618,0.0,9.95,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,-0.5,-8.0
