date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,MIL,CHO,30.715068493150685,0.0,14.466666666666667,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,4.0,0.9,-8.0
2014-11-01,MIL,WAS,30.723287671232878,0.0,14.133333333333333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,-1.4,-2.0
2014-11-04,MIL,IND,30.731506849315068,0.0,20.35,4.0,7.0,0.571,0.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,9.0,7.4,-5.0
2014-11-05,MIL,CHI,30.734246575342464,0.0,18.433333333333334,1.0,5.0,0.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,2.0,2.0,3.0,1.5,3.0
2014-11-07,MIL,DET,30.73972602739726,0.0,16.95,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,6.0,7.9,2.0
2014-11-08,MIL,MEM,30.742465753424657,0.0,14.816666666666666,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,2.1,-2.0
2014-11-11,MIL,OKC,30.75068493150685,0.0,22.483333333333334,3.0,7.0,0.429,0.0,0.0,0.0,2.0,2.0,1.0,4.0,6.0,10.0,4.0,2.0,1.0,2.0,4.0,8.0,10.8,13.0
2014-11-14,MIL,ORL,30.75890410958904,0.0,14.9,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,2.0,4.0,2.0,-0.7,-11.0
2014-11-16,MIL,MIA,30.764383561643836,0.0,25.283333333333335,5.0,9.0,0.556,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,0.0,2.0,3.0,11.0,8.2,2.0
2014-11-18,MIL,NYK,30.76986301369863,1.0,34.55,6.0,11.0,0.545,0.0,0.0,0.0,2.0,2.0,1.0,7.0,6.0,13.0,4.0,2.0,0.0,4.0,2.0,14.0,15.4,15.0
2014-11-19,MIL,BRK,30.77260273972603,0.0,28.966666666666665,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,1.0,1.0,2.0,5.0,4.0,0.6,3.0
2014-11-21,MIL,TOR,30.778082191780822,0.0,8.633333333333333,1.0,3.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,5.0,4.8,-2.0
2014-11-22,MIL,WAS,30.78082191780822,0.0,25.95,3.0,8.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,0.0,1.0,1.0,2.0,6.0,4.4,0.0
2014-11-25,MIL,DET,30.78904109589041,0.0,17.65,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,1.0,0.0,0.0,2.0,3.0,8.0,4.6,5.0
2014-11-26,MIL,MIN,30.791780821917808,0.0,19.566666666666666,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,0.0,1.0,1.0,6.0,8.3,3.0
2014-12-02,MIL,CLE,30.80821917808219,0.0,25.35,2.0,6.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,4.2,2.0
2014-12-03,MIL,DAL,30.81095890410959,0.0,26.016666666666666,3.0,6.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,1.0,8.0,9.0,2.0,0.0,0.0,1.0,2.0,8.0,7.7,9.0
2014-12-05,MIL,MIA,30.816438356164383,1.0,23.566666666666666,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,2.0,2.0,1.0,5.0,4.0,4.0,4.1,-1.0
2014-12-07,MIL,DAL,30.82191780821918,0.0,20.5,5.0,10.0,0.5,0.0,1.0,0.0,4.0,4.0,1.0,3.0,5.0,8.0,1.0,1.0,0.0,1.0,3.0,14.0,12.1,-3.0
2014-12-09,MIL,OKC,30.827397260273973,0.0,29.616666666666667,3.0,5.0,0.6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,4.0,7.0,4.9,-3.0
2014-12-13,MIL,LAC,30.838356164383562,0.0,19.616666666666667,1.0,6.0,0.167,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,3.0,3.0,0.0,1.0,2.0,0.0,4.0,1.5,-3.0
2014-12-15,MIL,PHO,30.843835616438355,0.0,28.9,6.0,9.0,0.667,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,3.0,5.0,2.0,0.0,1.0,1.0,13.0,13.7,9.0
2014-12-17,MIL,POR,30.84931506849315,0.0,26.15,1.0,3.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,3.0,5.0,8.0,3.0,0.0,0.0,1.0,1.0,5.0,7.2,-9.0
2014-12-18,MIL,SAC,30.852054794520548,1.0,26.25,2.0,7.0,0.286,0.0,0.0,0.0,3.0,6.0,0.5,2.0,3.0,5.0,2.0,0.0,0.0,2.0,5.0,7.0,1.4,-7.0
2014-12-20,MIL,LAC,30.85753424657534,0.0,20.15,1.0,3.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,2.0,5.0,7.0,2.0,0.0,0.0,2.0,1.0,5.0,4.8,-4.0
2014-12-23,MIL,CHO,30.865753424657534,0.0,16.916666666666668,1.0,6.0,0.167,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,3.0,-0.2,-7.0
2014-12-26,MIL,ATL,30.873972602739727,1.0,26.05,6.0,9.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,1.0,7.0,8.0,2.0,3.0,0.0,2.0,3.0,14.0,14.1,19.0
2014-12-27,MIL,ATL,30.876712328767123,1.0,28.883333333333333,4.0,8.0,0.5,0.0,0.0,0.0,3.0,3.0,1.0,4.0,11.0,15.0,3.0,0.0,1.0,2.0,1.0,11.0,13.5,-4.0
2014-12-29,MIL,CHO,30.882191780821916,1.0,28.233333333333334,6.0,7.0,0.857,0.0,0.0,0.0,3.0,4.0,0.75,0.0,4.0,4.0,1.0,0.0,1.0,3.0,3.0,15.0,10.5,-5.0
2014-12-31,MIL,CLE,30.887671232876713,1.0,22.65,4.0,9.0,0.444,0.0,0.0,0.0,1.0,2.0,0.5,3.0,5.0,8.0,1.0,1.0,0.0,1.0,2.0,9.0,7.4,8.0
2015-01-02,MIL,IND,30.893150684931506,1.0,24.8,4.0,10.0,0.4,0.0,0.0,0.0,4.0,4.0,1.0,4.0,10.0,14.0,1.0,1.0,1.0,0.0,0.0,12.0,14.8,10.0
2015-01-04,MIL,NYK,30.898630136986302,1.0,30.866666666666667,6.0,12.0,0.5,0.0,0.0,0.0,4.0,4.0,1.0,4.0,10.0,14.0,3.0,2.0,0.0,2.0,4.0,16.0,16.3,8.0
2015-01-06,MIL,PHO,30.904109589041095,1.0,23.95,2.0,7.0,0.286,0.0,0.0,0.0,3.0,4.0,0.75,4.0,4.0,8.0,2.0,1.0,0.0,6.0,2.0,7.0,2.1,5.0
2015-01-07,MIL,PHI,30.90684931506849,1.0,32.2,5.0,10.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,3.0,9.0,12.0,7.0,1.0,0.0,4.0,5.0,11.0,10.7,17.0
2015-01-09,MIL,MIN,30.912328767123288,1.0,24.266666666666666,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,9.0,3.0,2.0,0.0,2.0,1.0,8.0,10.4,7.0
2015-01-10,MIL,CHI,30.915068493150685,1.0,24.65,3.0,12.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,2.0,2.0,4.0,2.0,0.0,1.0,2.0,3.0,7.0,0.3,0.0
2015-01-15,MIL,NYK,30.92876712328767,1.0,28.15,2.0,8.0,0.25,0.0,0.0,0.0,7.0,8.0,0.875,7.0,7.0,14.0,5.0,0.0,0.0,3.0,1.0,11.0,12.9,25.0
2015-01-19,MIL,TOR,30.93972602739726,1.0,19.616666666666667,3.0,3.0,1.0,0.0,0.0,0.0,3.0,6.0,0.5,3.0,3.0,6.0,2.0,3.0,0.0,1.0,2.0,9.0,12.5,2.0
2015-01-22,MIL,UTA,30.947945205479453,1.0,30.683333333333334,4.0,14.0,0.286,0.0,0.0,0.0,2.0,2.0,1.0,8.0,2.0,10.0,3.0,0.0,0.0,2.0,2.0,10.0,7.3,19.0
2015-01-24,MIL,DET,30.953424657534246,1.0,23.4,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,6.0,0.0,0.0,0.0,1.0,8.0,9.0,24.0
2015-01-25,MIL,SAS,30.956164383561642,1.0,24.15,5.0,11.0,0.455,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,6.0,3.0,1.0,1.0,0.0,3.0,12.0,11.9,5.0
2015-01-27,MIL,MIA,30.96164383561644,1.0,21.0,1.0,5.0,0.2,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,1.0,0.0,1.0,2.0,4.0,3.5,-9.0
2015-02-09,MIL,BRK,30.997260273972604,0.0,16.116666666666667,1.0,6.0,0.167,0.0,0.0,0.0,3.0,4.0,0.75,3.0,2.0,5.0,1.0,3.0,0.0,0.0,2.0,5.0,6.4,4.0
2015-02-11,MIL,SAC,31.002739726027396,0.0,26.183333333333334,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,2.0,0.0,0.0,4.0,8.0,5.5,10.0
2015-02-20,MIL,DEN,31.027397260273972,0.0,30.116666666666667,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0,0.0,0.0,2.0,1.0,8.0,3.9,12.0
2015-02-22,MIL,ATL,31.03287671232877,0.0,14.566666666666666,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,4.0,2.0,-0.7,-16.0
2015-02-23,MIL,CHI,31.035616438356165,0.0,5.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.5,-5.0
2015-02-25,MIL,PHI,31.041095890410958,1.0,19.116666666666667,5.0,11.0,0.455,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,0.0,3.0,2.0,12.0,7.9,13.0
2015-02-27,MIL,LAL,31.046575342465754,1.0,24.616666666666667,2.0,6.0,0.333,0.0,0.0,0.0,4.0,4.0,1.0,1.0,6.0,7.0,0.0,1.0,1.0,0.0,2.0,8.0,8.0,-10.0
2015-02-28,MIL,UTA,31.04931506849315,1.0,24.233333333333334,1.0,8.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,1.0,0.0,3.0,2.0,2.0,-1.3,6.0
2015-03-03,MIL,DEN,31.057534246575344,1.0,13.483333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,-4.5,-8.0
2015-03-04,MIL,GSW,31.06027397260274,1.0,24.833333333333332,5.0,9.0,0.556,0.0,0.0,0.0,3.0,4.0,0.75,6.0,5.0,11.0,4.0,2.0,0.0,1.0,1.0,13.0,17.4,1.0
2015-03-07,MIL,WAS,31.068493150684933,1.0,25.25,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,5.0,0.0,0.0,1.0,3.0,4.0,5.5,16.0
2015-03-09,MIL,NOP,31.073972602739726,1.0,19.283333333333335,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,3.2,1.0
2015-03-11,MIL,ORL,31.07945205479452,1.0,23.783333333333335,4.0,8.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,5.0,7.0,12.0,5.0,0.0,0.0,3.0,1.0,10.0,11.7,5.0
2015-03-12,MIL,IND,31.08219178082192,1.0,33.85,5.0,11.0,0.455,0.0,0.0,0.0,6.0,6.0,1.0,8.0,4.0,12.0,3.0,2.0,0.0,2.0,5.0,16.0,17.2,4.0
2015-03-14,MIL,MEM,31.087671232876712,1.0,26.633333333333333,5.0,8.0,0.625,0.0,0.0,0.0,4.0,4.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,2.0,2.0,14.0,10.6,2.0
2015-03-17,MIL,NOP,31.095890410958905,1.0,24.333333333333332,3.0,9.0,0.333,0.0,0.0,0.0,5.0,6.0,0.833,3.0,8.0,11.0,1.0,2.0,1.0,2.0,4.0,11.0,9.8,-11.0
2015-03-18,MIL,SAS,31.0986301369863,1.0,17.3,4.0,7.0,0.571,0.0,0.0,0.0,2.0,4.0,0.5,3.0,4.0,7.0,2.0,0.0,0.0,2.0,0.0,10.0,8.6,-5.0
2015-03-20,MIL,BRK,31.104109589041094,1.0,40.1,9.0,16.0,0.563,0.0,0.0,0.0,4.0,4.0,1.0,18.0,3.0,21.0,7.0,1.0,0.0,3.0,4.0,22.0,29.2,6.0
2015-03-22,MIL,CLE,31.10958904109589,1.0,30.6,5.0,7.0,0.714,0.0,0.0,0.0,1.0,1.0,1.0,2.0,7.0,9.0,3.0,2.0,0.0,4.0,2.0,11.0,10.9,10.0
2015-03-24,MIL,MIA,31.115068493150684,1.0,33.2,6.0,11.0,0.545,0.0,0.0,0.0,2.0,3.0,0.667,5.0,6.0,11.0,7.0,5.0,1.0,3.0,3.0,14.0,20.0,18.0
2015-03-26,MIL,IND,31.12054794520548,1.0,32.38333333333333,4.0,7.0,0.571,0.0,0.0,0.0,4.0,4.0,1.0,1.0,5.0,6.0,3.0,2.0,0.0,3.0,5.0,12.0,10.0,9.0
2015-03-28,MIL,GSW,31.126027397260273,1.0,22.833333333333332,5.0,11.0,0.455,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,12.0,7.6,-7.0
2015-03-30,MIL,ATL,31.13150684931507,1.0,35.68333333333333,8.0,10.0,0.8,0.0,0.0,0.0,1.0,3.0,0.333,5.0,8.0,13.0,3.0,1.0,0.0,0.0,2.0,17.0,20.6,-5.0
2015-04-01,MIL,CHI,31.136986301369863,1.0,29.1,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,4.0
2015-04-03,MIL,BOS,31.14246575342466,1.0,29.733333333333334,4.0,10.0,0.4,0.0,0.0,0.0,3.0,6.0,0.5,3.0,5.0,8.0,5.0,0.0,1.0,3.0,1.0,11.0,8.8,13.0
2015-04-04,MIL,ORL,31.145205479452056,1.0,23.35,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,6.0,2.0,0.0,1.0,1.0,4.0,9.1,9.0
2015-04-08,MIL,CLE,31.156164383561645,1.0,31.0,8.0,13.0,0.615,0.0,0.0,0.0,3.0,5.0,0.6,4.0,6.0,10.0,2.0,5.0,1.0,2.0,3.0,19.0,20.8,8.0
2015-04-10,MIL,NYK,31.161643835616438,1.0,20.433333333333334,4.0,5.0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,0.0,0.0,1.0,9.0,11.4,26.0
2015-04-12,MIL,BRK,31.167123287671235,1.0,23.833333333333332,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,1.0,0.0,2.0,4.0,4.0,2.6,13.0
2015-04-13,MIL,PHI,31.16986301369863,1.0,19.133333333333333,3.0,9.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,4.0,2.0,6.0,1.0,2.0,0.0,3.0,1.0,9.0,6.2,2.0
2015-04-15,MIL,BOS,31.175342465753424,1.0,15.166666666666666,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,3.0,2.0,0.0,1.0,1.0,2.0,4.9,6.0
