date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,MIN,MEM,19.67945205479452,1.0,18.55,2.0,5.0,0.4,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,3.0,1.0,2.0,0.0,2.0,4.0,6.0,3.3,-4.0
2014-10-30,MIN,DET,19.682191780821917,1.0,23.8,4.0,9.0,0.444,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,3.0,1.0,8.0,1.6,13.0
2014-11-01,MIN,CHI,19.687671232876713,1.0,30.933333333333334,3.0,10.0,0.3,0.0,2.0,0.0,2.0,2.0,1.0,3.0,3.0,6.0,0.0,2.0,2.0,3.0,5.0,8.0,3.6,3.0
2014-11-05,MIN,BRK,19.698630136986303,1.0,37.15,7.0,12.0,0.583,1.0,1.0,1.0,2.0,4.0,0.5,0.0,4.0,4.0,1.0,1.0,0.0,1.0,2.0,17.0,11.7,23.0
2014-11-07,MIN,ORL,19.704109589041096,1.0,25.466666666666665,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,6.0,5.9,-7.0
2014-11-08,MIN,MIA,19.706849315068492,1.0,27.75,3.0,9.0,0.333,0.0,1.0,0.0,4.0,5.0,0.8,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,10.0,4.4,-18.0
2014-11-12,MIN,HOU,19.71780821917808,1.0,31.5,6.0,13.0,0.462,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,15.0,3.7,-5.0
2014-11-14,MIN,NOP,19.723287671232878,1.0,23.433333333333334,7.0,10.0,0.7,2.0,2.0,1.0,4.0,6.0,0.667,2.0,3.0,5.0,1.0,0.0,0.0,3.0,2.0,20.0,14.2,-27.0
2014-11-15,MIN,DAL,19.726027397260275,1.0,23.433333333333334,2.0,6.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,2.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,5.0,2.5,-12.0
2014-11-19,MIN,NYK,19.736986301369864,1.0,28.516666666666666,4.0,13.0,0.308,1.0,1.0,1.0,3.0,4.0,0.75,2.0,2.0,4.0,0.0,1.0,0.0,5.0,0.0,12.0,2.1,10.0
2014-11-21,MIN,SAS,19.742465753424657,1.0,32.86666666666667,5.0,14.0,0.357,0.0,2.0,0.0,4.0,5.0,0.8,0.0,3.0,3.0,1.0,2.0,0.0,1.0,2.0,14.0,7.6,-14.0
2014-11-22,MIN,SAC,19.745205479452054,1.0,41.18333333333333,9.0,22.0,0.409,2.0,4.0,0.5,9.0,10.0,0.9,1.0,4.0,5.0,2.0,4.0,1.0,1.0,1.0,29.0,23.4,-5.0
2014-11-26,MIN,MIL,19.756164383561643,1.0,38.68333333333333,4.0,14.0,0.286,2.0,4.0,0.5,4.0,8.0,0.5,3.0,5.0,8.0,4.0,1.0,2.0,6.0,2.0,14.0,6.2,-9.0
2014-11-28,MIN,LAL,19.76164383561644,1.0,29.516666666666666,1.0,6.0,0.167,0.0,2.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,3.0,2.0,3.0,-1.4,6.0
2014-11-30,MIN,POR,19.767123287671232,1.0,18.2,3.0,8.0,0.375,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.9,-4.0
2014-12-01,MIN,LAC,19.76986301369863,1.0,26.25,4.0,11.0,0.364,0.0,0.0,0.0,6.0,9.0,0.667,0.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,14.0,6.2,-17.0
