date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,PHO,LAL,20.2,0.0,9.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.8,-13.0
2014-11-01,PHO,UTA,20.208219178082192,0.0,10.05,1.0,2.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,4.6,-8.0
2014-11-09,PHO,GSW,20.23013698630137,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-4.0
2014-11-15,PHO,LAC,20.246575342465754,0.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,3.0
2014-11-21,PHO,PHI,20.263013698630136,0.0,15.8,3.0,7.0,0.429,1.0,3.0,0.333,4.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,11.0,6.7,-5.0
2014-11-22,PHO,IND,20.265753424657536,0.0,5.183333333333334,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-2.0
2014-11-28,PHO,DEN,20.28219178082192,0.0,15.416666666666666,4.0,9.0,0.444,0.0,0.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,11.0,6.8,4.0
2014-11-30,PHO,ORL,20.28767123287671,0.0,1.1666666666666667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4.0
2014-12-02,PHO,IND,20.293150684931508,0.0,2.2333333333333334,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9,1.0
2014-12-14,PHO,OKC,20.326027397260273,0.0,18.983333333333334,2.0,9.0,0.222,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,5.0,4.2,-5.0
2015-01-02,PHO,PHI,20.378082191780823,0.0,2.1666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,0.0
2015-01-04,PHO,TOR,20.383561643835616,0.0,8.916666666666666,3.0,4.0,0.75,0.0,1.0,0.0,6.0,7.0,0.857,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,12.0,9.9,-10.0
2015-01-25,PHO,LAC,20.44109589041096,0.0,2.5166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-4.0
2015-02-05,PHO,POR,20.471232876712328,0.0,1.9166666666666665,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,3.3,-2.0
2015-02-20,PHO,MIN,20.512328767123286,0.0,21.15,3.0,6.0,0.5,1.0,1.0,1.0,5.0,6.0,0.833,0.0,3.0,3.0,4.0,1.0,0.0,2.0,4.0,12.0,9.7,5.0
2015-02-21,PHO,CHI,20.515068493150686,0.0,17.4,6.0,8.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,12.0,9.2,-11.0
2015-02-23,PHO,BOS,20.52054794520548,0.0,13.933333333333334,4.0,10.0,0.4,1.0,2.0,0.5,1.0,2.0,0.5,4.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,10.0,5.5,3.0
2015-02-25,PHO,DEN,20.526027397260275,0.0,6.133333333333334,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2,9.0
2015-02-28,PHO,SAS,20.534246575342465,0.0,17.65,2.0,7.0,0.286,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,5.0,3.0,5.0,-1.2,-2.0
2015-03-02,PHO,MIA,20.53972602739726,0.0,5.15,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.2,-4.0
2015-03-04,PHO,ORL,20.545205479452054,0.0,9.733333333333333,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,-0.7,0.0
2015-03-06,PHO,BRK,20.55068493150685,0.0,4.983333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.3,-13.0
2015-03-07,PHO,CLE,20.553424657534247,0.0,8.016666666666667,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,-12.0
2015-03-09,PHO,GSW,20.55890410958904,0.0,8.45,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.9,9.0
2015-03-11,PHO,MIN,20.564383561643837,0.0,12.866666666666667,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,2.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0,-0.9,-9.0
2015-03-13,PHO,ATL,20.56986301369863,0.0,20.6,2.0,8.0,0.25,2.0,4.0,0.5,3.0,4.0,0.75,2.0,4.0,6.0,2.0,0.0,2.0,1.0,2.0,9.0,7.4,-2.0
2015-03-15,PHO,NYK,20.575342465753426,0.0,22.666666666666668,3.0,10.0,0.3,0.0,2.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,5.0,3.0,0.0,2.0,3.0,7.0,5.7,5.0
2015-03-19,PHO,NOP,20.586301369863016,0.0,15.0,4.0,8.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,5.7,-7.0
