date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-31,SAS,PHO,26.405479452054795,1.0,19.15,2.0,7.0,0.286,2.0,6.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,4.0,6.0,3.3,6.0
2014-11-05,SAS,ATL,26.41917808219178,0.0,3.15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,-9.0
2014-11-06,SAS,HOU,26.421917808219177,0.0,15.983333333333333,3.0,13.0,0.231,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,6.0,1.0,6.0
2014-11-08,SAS,NOP,26.427397260273974,0.0,14.116666666666667,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,-4.0,-8.0
2014-11-11,SAS,GSW,26.435616438356163,0.0,0.8833333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
2014-11-14,SAS,LAL,26.443835616438356,0.0,4.383333333333334,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.4,-11.0
2014-11-17,SAS,PHI,26.45205479452055,0.0,19.816666666666666,4.0,10.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,9.0,4.2,-6.0
2014-11-19,SAS,CLE,26.457534246575342,0.0,8.783333333333333,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.1,-6.0
2014-11-21,SAS,MIN,26.463013698630135,0.0,26.2,4.0,11.0,0.364,3.0,6.0,0.5,2.0,2.0,1.0,0.0,11.0,11.0,3.0,0.0,0.0,1.0,4.0,13.0,9.7,7.0
2014-11-22,SAS,BRK,26.465753424657535,0.0,12.933333333333334,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,-0.2,-8.0
