date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,MEM,MIN,32.31780821917808,0.0,14.016666666666667,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,-0.5,-11.0
2014-10-31,MEM,IND,32.323287671232876,0.0,16.833333333333332,4.0,6.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,9.0,7.7,2.0
2014-11-01,MEM,CHO,32.326027397260276,0.0,21.2,3.0,8.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,2.0,2.0,6.0,3.9,5.0
2014-11-03,MEM,NOP,32.33150684931507,0.0,17.383333333333333,4.0,8.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,9.0,8.0,-5.0
2014-11-05,MEM,PHO,32.33698630136986,0.0,18.783333333333335,3.0,6.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,3.0,6.0,2.5,-1.0
2014-11-07,MEM,OKC,32.342465753424655,0.0,13.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,4.3,2.0
2014-11-08,MEM,MIL,32.345205479452055,0.0,18.966666666666665,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,-0.1,-4.0
2014-11-11,MEM,LAL,32.35342465753425,0.0,18.05,8.0,11.0,0.727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,16.0,12.5,2.0
2014-11-13,MEM,SAC,32.35890410958904,0.0,9.266666666666667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.8,-12.0
2014-11-15,MEM,DET,32.364383561643834,0.0,18.633333333333333,3.0,5.0,0.6,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,8.0,3.9,10.0
2014-11-17,MEM,HOU,32.36986301369863,0.0,24.783333333333335,5.0,8.0,0.625,0.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,3.0,3.0,13.0,9.7,5.0
2014-11-21,MEM,BOS,32.38082191780822,0.0,25.716666666666665,4.0,9.0,0.444,0.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,9.0,7.3,0.0
2014-11-23,MEM,LAC,32.38630136986301,0.0,20.3,4.0,8.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,2.0,11.0,11.0,3.0
2014-11-26,MEM,LAL,32.394520547945206,0.0,17.966666666666665,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,4.1,-5.0
2014-11-28,MEM,POR,32.4,0.0,10.366666666666667,3.0,7.0,0.429,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,3.5,-10.0
2014-11-30,MEM,SAC,32.40547945205479,0.0,16.983333333333334,3.0,6.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,7.0,5.6,7.0
2014-12-03,MEM,HOU,32.413698630136984,0.0,20.666666666666668,3.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,4.0,1.0,0.0,3.0,0.0,9.0,9.4,11.0
2014-12-05,MEM,SAS,32.41917808219178,0.0,19.033333333333335,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,7.1,-5.0
2014-12-07,MEM,MIA,32.42465753424658,0.0,18.866666666666667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,3.0,0.0,4.0,4.5,12.0
2014-12-09,MEM,DAL,32.43013698630137,0.0,16.25,4.0,7.0,0.571,1.0,1.0,1.0,1.0,2.0,0.5,0.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,10.0,9.3,-6.0
2014-12-12,MEM,CHO,32.43835616438356,0.0,16.333333333333332,2.0,4.0,0.5,0.0,1.0,0.0,5.0,5.0,1.0,0.0,3.0,3.0,6.0,1.0,0.0,2.0,1.0,9.0,10.7,-4.0
2014-12-13,MEM,PHI,32.441095890410956,0.0,19.883333333333333,2.0,5.0,0.4,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,5.0,3.7,21.0
2014-12-16,MEM,GSW,32.44931506849315,0.0,15.783333333333333,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,6.0,11.3,15.0
2014-12-17,MEM,SAS,32.45205479452055,0.0,16.4,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,1.4,-9.0
2014-12-19,MEM,CHI,32.45753424657534,0.0,19.683333333333334,5.0,8.0,0.625,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,15.0,13.1,-3.0
2014-12-21,MEM,CLE,32.463013698630135,0.0,19.066666666666666,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,2.0,2.0,1.6,-8.0
2014-12-22,MEM,UTA,32.465753424657535,0.0,19.416666666666668,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.9,3.0
2014-12-26,MEM,HOU,32.47671232876712,0.0,20.85,7.0,12.0,0.583,1.0,4.0,0.25,2.0,3.0,0.667,0.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,17.0,12.1,-1.0
2014-12-27,MEM,MIA,32.47945205479452,0.0,18.95,4.0,8.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,11.0,11.7,0.0
2014-12-30,MEM,SAS,32.487671232876714,0.0,15.05,1.0,6.0,0.167,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,1.1,1.0
2015-01-02,MEM,LAL,32.49589041095891,0.0,15.65,6.0,8.0,0.75,0.0,1.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,16.0,14.2,-1.0
2015-01-05,MEM,NYK,32.50410958904109,0.0,15.466666666666667,2.0,7.0,0.286,1.0,3.0,0.333,2.0,3.0,0.667,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,7.0,4.9,-3.0
2015-01-07,MEM,ATL,32.50958904109589,0.0,18.45,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,4.0,3.1,4.0
2015-01-09,MEM,NOP,32.515068493150686,0.0,15.283333333333333,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,6.3,-3.0
2015-01-11,MEM,PHO,32.52054794520548,0.0,16.383333333333333,4.0,6.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,2.0,2.0,9.0,7.7,-10.0
2015-01-14,MEM,BRK,32.52876712328767,0.0,17.916666666666668,2.0,6.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,6.0,5.5,-4.0
2015-01-16,MEM,ORL,32.534246575342465,1.0,28.833333333333332,6.0,12.0,0.5,1.0,3.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,5.0,0.0,1.0,1.0,4.0,15.0,10.9,5.0
2015-01-17,MEM,POR,32.536986301369865,1.0,29.433333333333334,7.0,7.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,7.0,7.0,3.0,0.0,1.0,3.0,1.0,17.0,16.0,14.0
2015-01-19,MEM,DAL,32.54246575342466,0.0,16.666666666666668,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,-0.2,-4.0
