date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-30,LAC,OKC,25.624657534246577,1.0,38.45,8.0,18.0,0.444,0.0,0.0,0.0,7.0,10.0,0.7,5.0,2.0,7.0,3.0,1.0,0.0,3.0,6.0,23.0,14.2,-5.0
2014-10-31,LAC,LAL,25.627397260273973,1.0,38.9,13.0,23.0,0.565,2.0,2.0,1.0,11.0,12.0,0.917,1.0,6.0,7.0,4.0,0.0,0.0,5.0,4.0,39.0,26.4,5.0
2014-11-02,LAC,SAC,25.632876712328766,1.0,38.13333333333333,6.0,20.0,0.3,0.0,1.0,0.0,5.0,8.0,0.625,5.0,3.0,8.0,4.0,0.0,1.0,2.0,4.0,17.0,8.5,-15.0
2014-11-03,LAC,UTA,25.635616438356166,1.0,38.45,14.0,21.0,0.667,0.0,0.0,0.0,3.0,4.0,0.75,1.0,8.0,9.0,4.0,0.0,2.0,1.0,3.0,31.0,26.6,7.0
2014-11-05,LAC,GSW,25.64109589041096,1.0,31.3,7.0,15.0,0.467,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,14.0,4.1,-23.0
2014-11-08,LAC,POR,25.649315068493152,1.0,35.233333333333334,8.0,24.0,0.333,0.0,0.0,0.0,7.0,8.0,0.875,2.0,4.0,6.0,3.0,0.0,0.0,1.0,3.0,23.0,11.5,-6.0
2014-11-10,LAC,SAS,25.654794520547945,1.0,37.15,9.0,17.0,0.529,0.0,0.0,0.0,5.0,7.0,0.714,3.0,7.0,10.0,6.0,1.0,0.0,3.0,3.0,23.0,19.1,-15.0
2014-11-15,LAC,PHO,25.66849315068493,1.0,31.9,7.0,12.0,0.583,0.0,0.0,0.0,5.0,8.0,0.625,0.0,8.0,8.0,4.0,1.0,1.0,4.0,5.0,19.0,13.1,25.0
2014-11-17,LAC,CHI,25.673972602739727,1.0,36.65,7.0,15.0,0.467,0.0,1.0,0.0,5.0,10.0,0.5,4.0,6.0,10.0,4.0,0.0,0.0,5.0,3.0,19.0,10.5,-24.0
2014-11-19,LAC,ORL,25.67945205479452,1.0,30.2,8.0,18.0,0.444,0.0,0.0,0.0,4.0,6.0,0.667,0.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0,20.0,11.0,12.0
2014-11-20,LAC,MIA,25.682191780821917,1.0,29.983333333333334,12.0,18.0,0.667,1.0,2.0,0.5,1.0,3.0,0.333,2.0,5.0,7.0,4.0,3.0,0.0,0.0,3.0,26.0,24.9,31.0
2014-11-23,LAC,MEM,25.69041095890411,1.0,33.43333333333333,5.0,17.0,0.294,0.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,4.0,3.0,1.0,0.0,4.0,3.0,12.0,0.8,-18.0
2014-11-24,LAC,CHO,25.693150684931506,1.0,38.4,10.0,23.0,0.435,0.0,0.0,0.0,2.0,3.0,0.667,5.0,11.0,16.0,9.0,0.0,0.0,2.0,3.0,22.0,19.4,31.0
2014-11-26,LAC,DET,25.698630136986303,1.0,33.11666666666667,6.0,17.0,0.353,0.0,0.0,0.0,3.0,3.0,1.0,3.0,4.0,7.0,7.0,1.0,0.0,2.0,2.0,15.0,11.9,4.0
2014-11-28,LAC,HOU,25.704109589041096,1.0,30.633333333333333,11.0,20.0,0.55,0.0,0.0,0.0,8.0,8.0,1.0,2.0,8.0,10.0,1.0,0.0,0.0,2.0,3.0,30.0,21.7,13.0
2014-11-29,LAC,UTA,25.706849315068492,1.0,33.75,13.0,18.0,0.722,1.0,1.0,1.0,1.0,2.0,0.5,2.0,4.0,6.0,3.0,0.0,0.0,1.0,3.0,28.0,22.7,28.0
2014-12-01,LAC,MIN,25.71232876712329,1.0,25.333333333333332,8.0,14.0,0.571,0.0,0.0,0.0,7.0,8.0,0.875,1.0,7.0,8.0,3.0,0.0,1.0,1.0,2.0,23.0,19.8,21.0
2014-12-03,LAC,ORL,25.71780821917808,1.0,28.9,9.0,16.0,0.563,0.0,0.0,0.0,3.0,4.0,0.75,1.0,7.0,8.0,6.0,2.0,1.0,4.0,1.0,21.0,18.3,27.0
2014-12-06,LAC,NOP,25.726027397260275,1.0,30.416666666666668,10.0,15.0,0.667,0.0,1.0,0.0,10.0,15.0,0.667,1.0,6.0,7.0,5.0,1.0,0.0,1.0,3.0,30.0,26.3,24.0
2014-12-08,LAC,PHO,25.731506849315068,1.0,42.53333333333333,14.0,24.0,0.583,2.0,2.0,1.0,15.0,17.0,0.882,0.0,8.0,8.0,2.0,1.0,0.0,3.0,4.0,45.0,33.2,13.0
