date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,PHI,IND,23.263013698630136,0.0,17.966666666666665,5.0,11.0,0.455,0.0,2.0,0.0,2.0,2.0,1.0,4.0,1.0,5.0,1.0,1.0,0.0,1.0,3.0,12.0,8.9,1.0
2014-10-31,PHI,MIL,23.268493150684932,0.0,5.15,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.1,-6.0
2014-11-01,PHI,MIA,23.27123287671233,0.0,23.883333333333333,7.0,9.0,0.778,1.0,2.0,0.5,3.0,4.0,0.75,0.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,18.0,13.8,-1.0
2014-11-03,PHI,HOU,23.276712328767122,1.0,24.4,5.0,10.0,0.5,1.0,3.0,0.333,2.0,3.0,0.667,2.0,2.0,4.0,3.0,0.0,1.0,0.0,2.0,13.0,11.6,-15.0
2014-11-05,PHI,ORL,23.28219178082192,1.0,29.283333333333335,9.0,11.0,0.818,1.0,1.0,1.0,1.0,4.0,0.25,1.0,3.0,4.0,1.0,1.0,0.0,1.0,3.0,20.0,15.8,-1.0
2014-11-07,PHI,CHI,23.28767123287671,0.0,24.466666666666665,3.0,7.0,0.429,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,3.0,7.0,4.2,-18.0
2014-11-09,PHI,TOR,23.293150684931508,0.0,28.55,1.0,6.0,0.167,1.0,3.0,0.333,0.0,0.0,0.0,1.0,6.0,7.0,3.0,1.0,0.0,5.0,2.0,3.0,-1.0,-16.0
2014-11-13,PHI,DAL,23.304109589041097,0.0,18.4,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,3.0,3.0,5.0,1.6,-14.0
2014-11-14,PHI,HOU,23.306849315068494,1.0,28.5,3.0,12.0,0.25,1.0,4.0,0.25,0.0,2.0,0.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,7.0,2.2,-2.0
2014-11-17,PHI,SAS,23.315068493150687,1.0,17.766666666666666,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,2.2,-19.0
2014-11-19,PHI,BOS,23.32054794520548,0.0,16.766666666666666,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,2.0,-1.4,-3.0
2014-11-21,PHI,PHO,23.326027397260273,0.0,27.533333333333335,2.0,5.0,0.4,0.0,1.0,0.0,4.0,6.0,0.667,2.0,3.0,5.0,3.0,1.0,1.0,3.0,3.0,8.0,6.4,-16.0
2014-11-22,PHI,NYK,23.328767123287673,0.0,21.7,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,4.3,-12.0
2014-11-24,PHI,POR,23.334246575342465,1.0,13.616666666666667,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,6.0,2.0,0.9,11.0
2014-11-26,PHI,BRK,23.339726027397262,0.0,21.466666666666665,3.0,8.0,0.375,0.0,2.0,0.0,3.0,3.0,1.0,5.0,0.0,5.0,2.0,3.0,1.0,1.0,2.0,9.0,11.4,-4.0
2014-11-29,PHI,DAL,23.34794520547945,0.0,13.4,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,-3.2,-11.0
2014-12-01,PHI,SAS,23.353424657534248,1.0,18.583333333333332,3.0,7.0,0.429,0.0,1.0,0.0,2.0,3.0,0.667,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,8.0,6.2,3.0
2014-12-03,PHI,MIN,23.35890410958904,0.0,9.866666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,-1.1,0.0
2014-12-05,PHI,OKC,23.364383561643837,0.0,4.983333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,-1.2,-3.0
2014-12-06,PHI,DET,23.367123287671234,0.0,12.6,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,2.0,0.0,0.0,3.0,6.0,5.7,-10.0
2014-12-12,BRK,PHI,23.383561643835616,0.0,1.2833333333333332,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,6.1,3.0
2014-12-13,BRK,CHO,23.386301369863013,0.0,15.666666666666666,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,1.0,4.0,0.8,-7.0
2014-12-17,BRK,TOR,23.397260273972602,0.0,9.383333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.5,-8.0
2014-12-19,BRK,CLE,23.4027397260274,0.0,9.583333333333334,2.0,5.0,0.4,1.0,2.0,0.5,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,6.0,1.5,-4.0
2014-12-23,BRK,DEN,23.413698630136988,0.0,2.3666666666666667,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.6,4.0
2014-12-27,BRK,IND,23.424657534246574,0.0,3.066666666666667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-8.0
2014-12-30,BRK,CHI,23.432876712328767,0.0,2.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
