date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,LAL,HOU,32.93698630136986,1.0,27.583333333333332,7.0,13.0,0.538,0.0,0.0,0.0,3.0,3.0,1.0,3.0,4.0,7.0,2.0,1.0,0.0,0.0,1.0,17.0,16.0,-7.0
2014-10-29,LAL,PHO,32.93972602739726,1.0,23.016666666666666,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,8.0,2.0,4.0,-5.3,-25.0
2014-10-31,LAL,LAC,32.945205479452056,1.0,28.516666666666666,3.0,9.0,0.333,0.0,0.0,0.0,3.0,5.0,0.6,2.0,5.0,7.0,3.0,0.0,1.0,2.0,5.0,9.0,4.8,-4.0
2014-11-01,LAL,GSW,32.94794520547945,1.0,23.683333333333334,4.0,9.0,0.444,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,4.0,9.0,5.8,-26.0
2014-11-04,LAL,PHO,32.95616438356164,1.0,28.7,6.0,13.0,0.462,0.0,0.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,4.0,0.0,0.0,1.0,4.0,13.0,8.3,-7.0
2014-11-09,LAL,CHO,32.96986301369863,1.0,30.233333333333334,7.0,11.0,0.636,0.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,2.0,5.0,16.0,10.3,5.0
2014-11-11,LAL,MEM,32.97534246575343,1.0,28.783333333333335,8.0,13.0,0.615,0.0,0.0,0.0,4.0,5.0,0.8,4.0,4.0,8.0,3.0,0.0,0.0,0.0,6.0,20.0,17.4,-1.0
2014-11-12,LAL,NOP,32.97808219178082,1.0,33.9,6.0,13.0,0.462,0.0,0.0,0.0,4.0,6.0,0.667,2.0,4.0,6.0,0.0,2.0,0.0,2.0,2.0,16.0,10.3,-15.0
2014-11-14,LAL,SAS,32.983561643835614,1.0,32.083333333333336,8.0,13.0,0.615,0.0,0.0,0.0,3.0,4.0,0.75,2.0,6.0,8.0,1.0,2.0,0.0,2.0,2.0,19.0,15.8,-10.0
2014-11-16,LAL,GSW,32.989041095890414,1.0,20.95,3.0,13.0,0.231,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,4.0,6.0,-0.9,-28.0
2014-11-18,LAL,ATL,32.99452054794521,1.0,29.466666666666665,10.0,14.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,2.0,0.0,0.0,0.0,3.0,20.0,19.0,-4.0
2014-11-19,LAL,HOU,32.9972602739726,1.0,30.0,5.0,15.0,0.333,0.0,0.0,0.0,2.0,3.0,0.667,3.0,10.0,13.0,1.0,0.0,0.0,2.0,3.0,12.0,5.7,-2.0
2014-11-21,LAL,DAL,33.0027397260274,1.0,19.783333333333335,6.0,11.0,0.545,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,12.0,6.4,-3.0
2014-11-26,LAL,MEM,33.016438356164386,1.0,20.616666666666667,2.0,6.0,0.333,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,1.0,2.0,4.0,0.9,-7.0
2014-11-28,LAL,MIN,33.02191780821918,1.0,22.233333333333334,6.0,9.0,0.667,0.0,0.0,0.0,3.0,4.0,0.75,2.0,3.0,5.0,0.0,1.0,0.0,0.0,2.0,15.0,13.2,-1.0
2014-11-30,LAL,TOR,33.02739726027397,1.0,29.633333333333333,9.0,15.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,2.0,0.0,0.0,2.0,2.0,18.0,13.2,11.0
2014-12-02,LAL,DET,33.032876712328765,1.0,25.833333333333332,7.0,13.0,0.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,2.0,0.0,0.0,4.0,14.0,11.6,16.0
2014-12-03,LAL,WAS,33.035616438356165,1.0,25.566666666666666,5.0,9.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,1.0,0.0,2.0,3.0,10.0,6.7,-20.0
2014-12-05,LAL,BOS,33.04109589041096,1.0,18.266666666666666,1.0,6.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,2.0,3.0,2.0,-2.2,-10.0
2014-12-07,LAL,NOP,33.04657534246575,0.0,23.0,6.0,12.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,3.0,12.0,8.1,-15.0
2014-12-09,LAL,SAC,33.05205479452055,0.0,27.983333333333334,6.0,13.0,0.462,0.0,0.0,0.0,3.0,6.0,0.5,0.0,9.0,9.0,1.0,1.0,0.0,0.0,1.0,15.0,11.1,13.0
2014-12-12,LAL,SAS,33.06027397260274,0.0,31.366666666666667,7.0,12.0,0.583,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,13.0,1.0,0.0,2.0,1.0,3.0,14.0,13.4,2.0
2014-12-14,LAL,MIN,33.06575342465754,0.0,26.733333333333334,10.0,14.0,0.714,0.0,0.0,0.0,2.0,3.0,0.667,6.0,7.0,13.0,2.0,0.0,0.0,1.0,4.0,22.0,20.9,4.0
2014-12-15,LAL,IND,33.06849315068493,0.0,25.366666666666667,3.0,8.0,0.375,0.0,0.0,0.0,7.0,10.0,0.7,2.0,8.0,10.0,2.0,1.0,0.0,1.0,0.0,13.0,12.6,-8.0
2014-12-19,LAL,OKC,33.07945205479452,0.0,28.466666666666665,6.0,12.0,0.5,0.0,0.0,0.0,2.0,5.0,0.4,1.0,5.0,6.0,2.0,0.0,0.0,1.0,4.0,14.0,7.8,-2.0
2014-12-21,LAL,SAC,33.084931506849315,0.0,22.35,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,6.0,4.4,-7.0
2014-12-23,LAL,GSW,33.09041095890411,0.0,26.283333333333335,8.0,11.0,0.727,0.0,0.0,0.0,2.0,6.0,0.333,4.0,5.0,9.0,3.0,0.0,1.0,5.0,2.0,18.0,13.2,4.0
2014-12-25,LAL,CHI,33.0958904109589,0.0,17.316666666666666,7.0,11.0,0.636,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,14.0,10.2,-16.0
2014-12-26,LAL,DAL,33.0986301369863,0.0,21.35,9.0,16.0,0.563,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,8.0,0.0,1.0,0.0,0.0,2.0,18.0,13.8,7.0
2014-12-28,LAL,PHO,33.104109589041094,0.0,22.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,2.0,8.0,7.4,1.0
2014-12-30,LAL,DEN,33.10958904109589,0.0,28.716666666666665,8.0,14.0,0.571,0.0,0.0,0.0,3.0,6.0,0.5,1.0,8.0,9.0,1.0,1.0,0.0,2.0,3.0,19.0,12.8,-9.0
2015-01-02,LAL,MEM,33.11780821917808,0.0,21.516666666666666,6.0,8.0,0.75,0.0,0.0,0.0,2.0,3.0,0.667,0.0,4.0,4.0,0.0,0.0,0.0,3.0,6.0,14.0,6.2,-7.0
2015-01-04,LAL,IND,33.12328767123287,0.0,26.25,5.0,9.0,0.556,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,2.0,12.0,7.2,3.0
2015-01-05,LAL,POR,33.12602739726027,0.0,22.866666666666667,3.0,9.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0,8.0,5.0,3.0
2015-01-07,LAL,LAC,33.131506849315066,0.0,15.066666666666666,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,10.0,6.8,-5.0
2015-01-09,LAL,ORL,33.136986301369866,0.0,26.2,6.0,12.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,14.0,0.0,0.0,1.0,0.0,3.0,12.0,10.5,8.0
2015-01-11,LAL,POR,33.14246575342466,0.0,20.633333333333333,6.0,8.0,0.75,0.0,0.0,0.0,1.0,3.0,0.333,2.0,7.0,9.0,3.0,1.0,0.0,0.0,4.0,13.0,14.0,-1.0
