date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,NYK,CHI,25.994520547945207,0.0,16.983333333333334,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,2.0,0.0,0.0,1.0,2.0,2.0,4.3,-8.0
2014-10-30,NYK,CLE,25.997260273972604,0.0,14.15,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,1.0,0.0,1.0,4.0,2.0,2.7,10.0
2014-11-02,NYK,CHO,26.005479452054793,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,-7.0
2014-11-04,NYK,WAS,26.01095890410959,0.0,14.516666666666667,1.0,6.0,0.167,0.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,0.0,1.0,4.0,4.0,1.6,-5.0
2014-11-05,NYK,DET,26.013698630136986,0.0,11.45,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,3.0,0.0,3.0,4.0,6.2,1.0
2014-11-07,NYK,BRK,26.019178082191782,0.0,5.75,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,3.6,-5.0
2014-11-14,NYK,UTA,26.03835616438356,0.0,12.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,-0.9,1.0
2014-11-19,NYK,MIN,26.052054794520547,0.0,8.466666666666667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.9,7.0
2014-11-22,NYK,PHI,26.06027397260274,0.0,2.6666666666666665,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,-1.0
2014-11-26,NYK,DAL,26.07123287671233,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-28,NYK,OKC,26.076712328767123,0.0,12.466666666666667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,4.0,4.6,-6.0
2014-12-02,NYK,BRK,26.087671232876712,0.0,17.816666666666666,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,3.6,-2.0
2014-12-05,NYK,CHO,26.095890410958905,0.0,3.65,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.2,-5.0
2014-12-09,NYK,NOP,26.106849315068494,0.0,4.183333333333334,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.6,6.0
2014-12-10,NYK,SAS,26.10958904109589,0.0,16.3,4.0,7.0,0.571,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,3.0,1.0,10.0,6.9,5.0
2014-12-18,NYK,CHI,26.13150684931507,1.0,25.566666666666666,5.0,8.0,0.625,0.0,0.0,0.0,3.0,4.0,0.75,4.0,6.0,10.0,3.0,1.0,1.0,3.0,3.0,13.0,13.2,0.0
2014-12-20,NYK,PHO,26.136986301369863,1.0,16.55,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,2.9,-10.0
2014-12-21,NYK,TOR,26.13972602739726,1.0,22.0,4.0,4.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,6.0,7.0,0.0,0.0,2.0,1.0,2.0,11.0,11.9,2.0
