date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,SAC,GSW,27.183561643835617,1.0,36.2,4.0,12.0,0.333,1.0,4.0,0.25,4.0,6.0,0.667,0.0,4.0,4.0,8.0,5.0,1.0,1.0,2.0,13.0,16.1,-5.0
2014-10-31,SAC,POR,27.18904109589041,1.0,37.68333333333333,6.0,14.0,0.429,0.0,3.0,0.0,5.0,6.0,0.833,2.0,6.0,8.0,8.0,3.0,0.0,3.0,4.0,17.0,16.4,14.0
2014-11-02,SAC,LAC,27.194520547945206,1.0,39.31666666666667,4.0,12.0,0.333,0.0,1.0,0.0,6.0,6.0,1.0,1.0,4.0,5.0,4.0,0.0,1.0,3.0,1.0,14.0,9.2,11.0
2014-11-03,SAC,DEN,27.197260273972603,1.0,29.716666666666665,5.0,9.0,0.556,0.0,0.0,0.0,11.0,13.0,0.846,1.0,3.0,4.0,6.0,1.0,0.0,1.0,1.0,21.0,21.3,4.0
2014-11-05,SAC,DEN,27.202739726027396,1.0,31.566666666666666,4.0,9.0,0.444,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,8.0,1.0,1.0,0.0,1.0,10.0,11.4,39.0
2014-11-07,SAC,PHO,27.208219178082192,1.0,33.166666666666664,6.0,13.0,0.462,0.0,2.0,0.0,4.0,6.0,0.667,0.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,16.0,10.4,3.0
2014-11-09,SAC,OKC,27.213698630136985,1.0,34.9,5.0,15.0,0.333,1.0,6.0,0.167,1.0,1.0,1.0,1.0,4.0,5.0,7.0,2.0,0.0,2.0,2.0,12.0,9.5,2.0
2014-11-13,SAC,MEM,27.224657534246575,1.0,37.333333333333336,6.0,11.0,0.545,2.0,3.0,0.667,6.0,7.0,0.857,0.0,2.0,2.0,5.0,1.0,1.0,3.0,2.0,20.0,16.3,8.0
2014-11-15,SAC,SAS,27.23013698630137,1.0,39.38333333333333,7.0,13.0,0.538,0.0,2.0,0.0,5.0,6.0,0.833,0.0,2.0,2.0,5.0,2.0,0.0,3.0,2.0,19.0,14.6,8.0
2014-11-18,SAC,NOP,27.23835616438356,1.0,30.933333333333334,3.0,10.0,0.3,2.0,3.0,0.667,5.0,6.0,0.833,0.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,13.0,15.1,7.0
2014-11-20,SAC,CHI,27.243835616438357,1.0,40.483333333333334,5.0,10.0,0.5,0.0,1.0,0.0,7.0,7.0,1.0,2.0,4.0,6.0,12.0,1.0,1.0,1.0,2.0,17.0,22.9,17.0
2014-11-22,SAC,MIN,27.24931506849315,1.0,33.25,6.0,10.0,0.6,2.0,4.0,0.5,5.0,6.0,0.833,0.0,2.0,2.0,7.0,1.0,0.0,4.0,3.0,19.0,15.3,16.0
