date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,GSW,SAC,24.654794520547945,1.0,34.36666666666667,4.0,7.0,0.571,2.0,2.0,1.0,2.0,4.0,0.5,2.0,8.0,10.0,3.0,1.0,0.0,5.0,2.0,12.0,9.0,22.0
2014-11-01,GSW,LAL,24.663013698630138,1.0,30.483333333333334,3.0,9.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,1.0,4.0,9.0,4.9,11.0
2014-11-02,GSW,POR,24.665753424657535,1.0,29.233333333333334,2.0,7.0,0.286,0.0,2.0,0.0,1.0,3.0,0.333,0.0,6.0,6.0,2.0,2.0,1.0,1.0,4.0,5.0,3.4,11.0
2014-11-05,GSW,LAC,24.673972602739727,1.0,35.666666666666664,8.0,13.0,0.615,4.0,8.0,0.5,4.0,4.0,1.0,0.0,8.0,8.0,5.0,1.0,1.0,4.0,3.0,24.0,20.5,13.0
2014-11-08,GSW,HOU,24.682191780821917,1.0,34.15,6.0,13.0,0.462,1.0,5.0,0.2,1.0,2.0,0.5,2.0,6.0,8.0,2.0,1.0,2.0,4.0,5.0,14.0,7.9,5.0
2014-11-09,GSW,PHO,24.684931506849313,1.0,35.93333333333333,7.0,14.0,0.5,3.0,7.0,0.429,5.0,5.0,1.0,1.0,8.0,9.0,0.0,1.0,4.0,5.0,5.0,22.0,14.9,-11.0
2014-11-11,GSW,SAS,24.69041095890411,1.0,31.7,2.0,7.0,0.286,1.0,2.0,0.5,4.0,4.0,1.0,0.0,4.0,4.0,5.0,0.0,1.0,1.0,4.0,9.0,7.7,-16.0
2014-11-13,GSW,BRK,24.695890410958903,1.0,32.63333333333333,7.0,14.0,0.5,3.0,8.0,0.375,0.0,0.0,0.0,0.0,8.0,8.0,7.0,1.0,2.0,1.0,1.0,17.0,18.3,17.0
2014-11-15,GSW,CHO,24.7013698630137,1.0,29.283333333333335,3.0,8.0,0.375,1.0,5.0,0.2,0.0,0.0,0.0,1.0,5.0,6.0,2.0,0.0,0.0,2.0,2.0,7.0,3.4,24.0
2014-11-16,GSW,LAL,24.704109589041096,1.0,24.0,4.0,5.0,0.8,2.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,0.0,0.0,0.0,3.0,10.0,10.0,35.0
2014-11-21,GSW,UTA,24.71780821917808,1.0,25.0,4.0,8.0,0.5,1.0,5.0,0.2,2.0,3.0,0.667,0.0,9.0,9.0,5.0,3.0,0.0,1.0,2.0,11.0,14.0,25.0
2014-11-23,GSW,OKC,24.723287671232878,1.0,40.46666666666667,3.0,11.0,0.273,1.0,5.0,0.2,3.0,4.0,0.75,3.0,6.0,9.0,6.0,1.0,2.0,1.0,3.0,10.0,11.4,3.0
2014-11-25,GSW,MIA,24.72876712328767,1.0,36.56666666666667,3.0,8.0,0.375,0.0,3.0,0.0,5.0,8.0,0.625,0.0,6.0,6.0,3.0,1.0,2.0,2.0,4.0,11.0,8.1,29.0
