date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-03-27,BRK,CLE,27.18904109589041,0.0,11.233333333333333,3.0,5.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,7.0,5.9,7.0
2015-03-29,BRK,LAL,27.194520547945206,0.0,19.766666666666666,2.0,10.0,0.2,0.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,0.0,0.0,2.0,1.0,2.0,4.0,0.2,-6.0
2015-03-31,BRK,IND,27.2,0.0,2.066666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.1,0.0
2015-04-03,BRK,TOR,27.208219178082192,0.0,6.683333333333334,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-4.0
2015-04-04,BRK,ATL,27.21095890410959,0.0,21.5,4.0,8.0,0.5,2.0,3.0,0.667,1.0,2.0,0.5,0.0,7.0,7.0,1.0,1.0,0.0,2.0,0.0,11.0,8.4,1.0
2015-04-06,BRK,POR,27.216438356164385,0.0,6.116666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.2,5.0
2015-04-08,BRK,ATL,27.221917808219178,0.0,5.583333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,-4.0
2015-04-10,BRK,WAS,27.22739726027397,0.0,3.4333333333333336,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.7,5.0
2015-04-12,BRK,MIL,27.232876712328768,0.0,9.966666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,-3.8,-11.0
2015-04-13,BRK,CHI,27.235616438356164,0.0,6.766666666666667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-13.0
