date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-01-05,UTA,IND,27.4,0.0,18.316666666666666,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,1.0,0.0,0.0,4.0,2.0,2.3,1.0
2015-01-07,UTA,CHI,27.405479452054795,0.0,21.35,1.0,3.0,0.333,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,-3.1,15.0
2015-01-09,UTA,OKC,27.410958904109588,0.0,29.666666666666668,3.0,6.0,0.5,3.0,4.0,0.75,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,1.0,3.0,4.0,9.0,5.3,2.0
2015-01-10,UTA,HOU,27.413698630136988,0.0,27.85,3.0,11.0,0.273,2.0,5.0,0.4,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,8.0,3.2,-7.0
2015-01-13,UTA,GSW,27.421917808219177,0.0,22.316666666666666,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,3.4,-5.0
2015-01-16,UTA,LAL,27.43013698630137,0.0,10.716666666666667,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,-2.9,-9.0
2015-01-18,UTA,SAS,27.435616438356163,0.0,17.333333333333332,2.0,7.0,0.286,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,7.0,2.1,-4.0
2015-01-21,UTA,CLE,27.443835616438356,0.0,20.533333333333335,4.0,9.0,0.444,2.0,5.0,0.4,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,5.0,12.0,5.7,5.0
2015-01-22,UTA,MIL,27.446575342465753,0.0,17.616666666666667,1.0,4.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,3.2,-1.0
2015-01-24,UTA,BRK,27.45205479452055,0.0,18.716666666666665,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,5.0,3.5,14.0
2015-01-26,UTA,BOS,27.457534246575342,0.0,20.1,1.0,4.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,2.1,-22.0
2015-01-28,UTA,LAC,27.463013698630135,0.0,14.966666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.9,-10.0
2015-01-30,UTA,GSW,27.46849315068493,0.0,21.65,3.0,7.0,0.429,1.0,4.0,0.25,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,9.0,5.4,10.0
2015-02-03,UTA,POR,27.47945205479452,0.0,17.816666666666666,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,0.3,0.0
2015-02-04,UTA,MEM,27.482191780821918,0.0,17.383333333333333,2.0,5.0,0.4,0.0,2.0,0.0,3.0,5.0,0.6,0.0,4.0,4.0,0.0,1.0,0.0,1.0,3.0,7.0,3.5,10.0
2015-02-06,UTA,PHO,27.487671232876714,0.0,5.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.4,-12.0
2015-02-07,UTA,SAC,27.49041095890411,1.0,36.266666666666666,1.0,3.0,0.333,0.0,0.0,0.0,5.0,6.0,0.833,2.0,5.0,7.0,3.0,1.0,0.0,0.0,3.0,7.0,9.7,11.0
2015-02-09,UTA,NOP,27.495890410958904,1.0,36.7,1.0,8.0,0.125,0.0,1.0,0.0,0.0,2.0,0.0,4.0,3.0,7.0,2.0,4.0,2.0,0.0,4.0,2.0,4.9,-14.0
2015-02-11,UTA,DAL,27.5013698630137,1.0,36.96666666666667,3.0,8.0,0.375,1.0,5.0,0.2,3.0,4.0,0.75,0.0,8.0,8.0,2.0,2.0,0.0,3.0,4.0,10.0,6.4,2.0
2015-02-20,UTA,POR,27.526027397260275,0.0,25.7,3.0,7.0,0.429,3.0,6.0,0.5,0.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,0.0,1.0,2.0,9.0,6.7,17.0
2015-02-23,UTA,SAS,27.534246575342465,0.0,26.916666666666668,2.0,8.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,2.0,3.0,0.0,2.0,5.0,4.0,2.5,-2.0
2015-02-25,UTA,LAL,27.53972602739726,0.0,30.0,5.0,8.0,0.625,1.0,1.0,1.0,6.0,7.0,0.857,0.0,7.0,7.0,1.0,0.0,0.0,2.0,0.0,17.0,13.8,3.0
2015-02-27,UTA,DEN,27.545205479452054,0.0,24.95,2.0,5.0,0.4,0.0,2.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,7.0,6.4,6.0
2015-02-28,UTA,MIL,27.54794520547945,0.0,25.683333333333334,0.0,6.0,0.0,0.0,3.0,0.0,3.0,4.0,0.75,0.0,7.0,7.0,1.0,5.0,0.0,1.0,4.0,3.0,3.6,9.0
2015-03-03,UTA,MEM,27.556164383561644,0.0,11.166666666666666,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-4.0
2015-03-04,UTA,BOS,27.55890410958904,0.0,11.183333333333334,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.5,1.0
2015-03-06,UTA,PHI,27.564383561643837,0.0,16.266666666666666,2.0,3.0,0.667,0.0,0.0,0.0,2.0,3.0,0.667,0.0,2.0,2.0,1.0,2.0,0.0,4.0,2.0,6.0,2.8,13.0
2015-03-08,UTA,BRK,27.56986301369863,0.0,19.966666666666665,2.0,4.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,6.0,5.0,14.0
2015-03-10,UTA,NYK,27.575342465753426,1.0,14.15,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,2.0,-3.0,-7.0
2015-03-12,UTA,HOU,27.58082191780822,0.0,11.583333333333334,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,5.0,2.0,-0.7,-3.0
2015-03-14,UTA,DET,27.586301369863016,0.0,13.8,2.0,6.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,5.0,0.8,-8.0
2015-03-16,UTA,CHO,27.59178082191781,0.0,24.333333333333332,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,5.0,1.1,9.0
2015-03-18,UTA,WAS,27.5972602739726,0.0,10.883333333333333,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,-0.3,-7.0
2015-03-19,UTA,LAL,27.6,0.0,22.816666666666666,1.0,2.0,0.5,1.0,2.0,0.5,0.0,2.0,0.0,0.0,5.0,5.0,2.0,1.0,2.0,1.0,3.0,3.0,4.3,17.0
2015-03-21,UTA,GSW,27.605479452054794,0.0,20.083333333333332,1.0,3.0,0.333,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,-0.2,-5.0
2015-03-23,UTA,MIN,27.610958904109587,0.0,30.083333333333332,4.0,9.0,0.444,0.0,2.0,0.0,5.0,6.0,0.833,2.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,13.0,10.1,3.0
2015-03-25,UTA,POR,27.616438356164384,1.0,33.25,4.0,10.0,0.4,1.0,3.0,0.333,0.0,4.0,0.0,1.0,7.0,8.0,2.0,3.0,0.0,4.0,2.0,9.0,4.4,-8.0
2015-03-27,UTA,DEN,27.621917808219177,0.0,17.133333333333333,6.0,8.0,0.75,2.0,2.0,1.0,2.0,6.0,0.333,1.0,2.0,3.0,0.0,3.0,1.0,3.0,3.0,16.0,12.0,-3.0
2015-03-28,UTA,OKC,27.624657534246577,0.0,5.933333333333334,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.1,-4.0
2015-03-30,UTA,MIN,27.63013698630137,0.0,9.716666666666667,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,1.8,-6.0
2015-04-01,UTA,DEN,27.635616438356166,0.0,21.066666666666666,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,1.0,2.0,0.0,2.0,1.0,2.0,3.1,20.0
2015-04-04,UTA,PHO,27.643835616438356,0.0,8.8,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0,3.0,4.0,4.1,-6.0
2015-04-05,UTA,SAC,27.646575342465752,0.0,10.4,2.0,5.0,0.4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0,-1.0,-1.0
2015-04-10,UTA,MEM,27.660273972602738,0.0,4.233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,-2.2,-3.0
2015-04-11,UTA,POR,27.663013698630138,0.0,23.116666666666667,3.0,8.0,0.375,0.0,2.0,0.0,5.0,5.0,1.0,0.0,7.0,7.0,0.0,1.0,0.0,0.0,2.0,11.0,8.9,12.0
2015-04-13,UTA,DAL,27.66849315068493,0.0,12.966666666666667,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,1.0,4.0,4.0,4.1,10.0
2015-04-15,UTA,HOU,27.673972602739727,0.0,25.266666666666666,3.0,8.0,0.375,1.0,4.0,0.25,2.0,4.0,0.5,0.0,4.0,4.0,7.0,2.0,0.0,0.0,2.0,9.0,11.1,4.0
