date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,UTA,HOU,24.602739726027398,1.0,38.13333333333333,3.0,11.0,0.273,0.0,3.0,0.0,2.0,2.0,1.0,2.0,6.0,8.0,7.0,1.0,0.0,1.0,1.0,8.0,9.2,-8.0
2014-10-30,UTA,DAL,24.605479452054794,1.0,35.5,4.0,9.0,0.444,2.0,7.0,0.286,6.0,6.0,1.0,1.0,3.0,4.0,6.0,1.0,0.0,2.0,3.0,16.0,14.9,-15.0
2014-11-01,UTA,PHO,24.610958904109587,1.0,34.483333333333334,9.0,15.0,0.6,3.0,5.0,0.6,3.0,3.0,1.0,1.0,9.0,10.0,3.0,1.0,0.0,1.0,1.0,24.0,22.2,18.0
2014-11-03,UTA,LAC,24.616438356164384,1.0,36.016666666666666,10.0,19.0,0.526,5.0,12.0,0.417,2.0,2.0,1.0,1.0,6.0,7.0,5.0,1.0,0.0,3.0,1.0,27.0,21.3,-3.0
2014-11-05,UTA,CLE,24.621917808219177,1.0,36.55,7.0,12.0,0.583,0.0,1.0,0.0,7.0,7.0,1.0,1.0,3.0,4.0,7.0,0.0,1.0,4.0,2.0,21.0,17.8,6.0
2014-11-07,UTA,DAL,24.627397260273973,1.0,28.516666666666666,3.0,9.0,0.333,2.0,7.0,0.286,4.0,4.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,0.0,12.0,11.9,-7.0
2014-11-09,UTA,DET,24.632876712328766,1.0,39.483333333333334,5.0,13.0,0.385,2.0,6.0,0.333,5.0,6.0,0.833,0.0,4.0,4.0,4.0,3.0,0.0,4.0,1.0,17.0,12.1,-4.0
2014-11-10,UTA,IND,24.635616438356166,1.0,36.11666666666667,11.0,15.0,0.733,2.0,3.0,0.667,6.0,6.0,1.0,0.0,8.0,8.0,5.0,0.0,1.0,2.0,1.0,30.0,28.1,-3.0
2014-11-12,UTA,ATL,24.64109589041096,1.0,31.933333333333334,5.0,16.0,0.313,1.0,2.0,0.5,0.0,3.0,0.0,0.0,7.0,7.0,1.0,2.0,0.0,1.0,3.0,11.0,3.2,9.0
2014-11-14,UTA,NYK,24.646575342465752,1.0,37.86666666666667,11.0,18.0,0.611,2.0,6.0,0.333,9.0,10.0,0.9,1.0,2.0,3.0,6.0,4.0,0.0,3.0,4.0,33.0,29.3,8.0
2014-11-15,UTA,TOR,24.649315068493152,1.0,30.066666666666666,3.0,10.0,0.3,0.0,2.0,0.0,6.0,7.0,0.857,0.0,1.0,1.0,5.0,1.0,1.0,0.0,4.0,12.0,9.7,-8.0
2014-11-18,UTA,OKC,24.65753424657534,1.0,29.983333333333334,4.0,12.0,0.333,1.0,7.0,0.143,4.0,5.0,0.8,0.0,4.0,4.0,2.0,2.0,0.0,4.0,3.0,13.0,5.2,1.0
2014-11-21,UTA,GSW,24.665753424657535,1.0,26.133333333333333,5.0,11.0,0.455,1.0,2.0,0.5,1.0,2.0,0.5,0.0,5.0,5.0,2.0,1.0,0.0,3.0,1.0,12.0,6.4,-18.0
2014-11-22,UTA,NOP,24.66849315068493,1.0,38.833333333333336,9.0,16.0,0.563,2.0,3.0,0.667,11.0,14.0,0.786,2.0,6.0,8.0,3.0,2.0,1.0,3.0,2.0,31.0,26.4,-3.0
2014-11-24,UTA,CHI,24.673972602739727,1.0,35.516666666666666,2.0,11.0,0.182,1.0,3.0,0.333,1.0,1.0,1.0,0.0,4.0,4.0,1.0,3.0,1.0,3.0,3.0,6.0,0.5,5.0
2014-11-26,UTA,OKC,24.67945205479452,1.0,36.333333333333336,8.0,15.0,0.533,1.0,4.0,0.25,7.0,14.0,0.5,1.0,7.0,8.0,3.0,4.0,0.0,8.0,2.0,24.0,14.0,2.0
2014-11-29,UTA,LAC,24.687671232876713,1.0,36.083333333333336,11.0,18.0,0.611,4.0,5.0,0.8,4.0,8.0,0.5,1.0,4.0,5.0,3.0,1.0,0.0,1.0,0.0,30.0,24.2,-10.0
2014-12-01,UTA,DEN,24.693150684931506,1.0,38.68333333333333,7.0,18.0,0.389,3.0,6.0,0.5,8.0,8.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,4.0,2.0,25.0,13.6,-10.0
2014-12-03,UTA,TOR,24.698630136986303,1.0,41.18333333333333,5.0,15.0,0.333,2.0,5.0,0.4,4.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,16.0,11.2,-13.0
2014-12-05,UTA,ORL,24.704109589041096,1.0,36.46666666666667,4.0,11.0,0.364,1.0,3.0,0.333,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,3.0,4.0,9.0,5.3,-1.0
2014-12-08,UTA,SAC,24.71232876712329,1.0,36.85,6.0,16.0,0.375,1.0,7.0,0.143,6.0,10.0,0.6,0.0,4.0,4.0,7.0,4.0,0.0,2.0,3.0,19.0,15.5,9.0
2014-12-09,UTA,SAS,24.715068493150685,1.0,36.266666666666666,7.0,13.0,0.538,0.0,2.0,0.0,6.0,9.0,0.667,0.0,7.0,7.0,4.0,1.0,0.0,5.0,3.0,20.0,12.2,-3.0
2014-12-12,UTA,MIA,24.723287671232878,1.0,34.55,6.0,13.0,0.462,2.0,7.0,0.286,4.0,4.0,1.0,0.0,8.0,8.0,1.0,0.0,0.0,3.0,1.0,18.0,11.0,3.0
2014-12-14,UTA,WAS,24.72876712328767,1.0,33.5,4.0,14.0,0.286,0.0,3.0,0.0,8.0,9.0,0.889,1.0,6.0,7.0,3.0,1.0,1.0,2.0,3.0,16.0,10.5,0.0
2014-12-16,UTA,NOP,24.734246575342464,1.0,35.13333333333333,7.0,16.0,0.438,0.0,3.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,5.0,0.0,1.0,2.0,3.0,17.0,10.1,3.0
2014-12-17,UTA,MIA,24.736986301369864,1.0,38.18333333333333,9.0,13.0,0.692,4.0,5.0,0.8,7.0,7.0,1.0,0.0,6.0,6.0,7.0,0.0,1.0,3.0,3.0,29.0,26.7,25.0
2014-12-19,UTA,ORL,24.742465753424657,1.0,36.3,5.0,10.0,0.5,1.0,1.0,1.0,9.0,10.0,0.9,0.0,3.0,3.0,6.0,0.0,1.0,4.0,0.0,20.0,16.4,22.0
2014-12-20,UTA,CHO,24.745205479452054,1.0,32.05,6.0,14.0,0.429,2.0,6.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,14.0,11.0,-21.0
2014-12-22,UTA,MEM,24.75068493150685,1.0,36.3,7.0,12.0,0.583,2.0,2.0,1.0,5.0,8.0,0.625,1.0,3.0,4.0,4.0,0.0,1.0,2.0,2.0,21.0,16.5,5.0
2014-12-27,UTA,PHI,24.764383561643836,1.0,35.88333333333333,4.0,14.0,0.286,2.0,5.0,0.4,5.0,6.0,0.833,0.0,6.0,6.0,3.0,1.0,0.0,2.0,4.0,15.0,7.7,22.0
2014-12-29,UTA,LAC,24.76986301369863,1.0,35.7,8.0,20.0,0.4,4.0,7.0,0.571,2.0,3.0,0.667,0.0,4.0,4.0,7.0,0.0,0.0,3.0,1.0,22.0,13.5,-2.0
2014-12-30,UTA,MIN,24.77260273972603,1.0,36.416666666666664,9.0,16.0,0.563,3.0,4.0,0.75,5.0,5.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,3.0,1.0,26.0,19.7,6.0
