date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,GSW,SAC,22.416438356164385,1.0,28.833333333333332,3.0,10.0,0.3,0.0,3.0,0.0,3.0,5.0,0.6,2.0,4.0,6.0,1.0,0.0,0.0,1.0,2.0,9.0,3.9,12.0
2014-11-01,GSW,LAL,22.424657534246574,1.0,30.15,5.0,6.0,0.833,1.0,2.0,0.5,4.0,5.0,0.8,0.0,4.0,4.0,3.0,1.0,0.0,1.0,2.0,15.0,14.9,23.0
2014-11-02,GSW,POR,22.427397260273974,1.0,26.183333333333334,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,2.2,10.0
2014-11-05,GSW,LAC,22.435616438356163,1.0,27.383333333333333,2.0,4.0,0.5,2.0,2.0,1.0,4.0,4.0,1.0,1.0,6.0,7.0,3.0,0.0,0.0,1.0,0.0,10.0,11.6,24.0
2014-11-08,GSW,HOU,22.443835616438356,1.0,23.266666666666666,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,2.0,1.0,4.0,3.3,12.0
2014-11-09,GSW,PHO,22.446575342465753,1.0,31.766666666666666,4.0,7.0,0.571,2.0,3.0,0.667,2.0,4.0,0.5,1.0,8.0,9.0,0.0,1.0,0.0,1.0,2.0,12.0,10.2,-13.0
2014-11-11,GSW,SAS,22.45205479452055,1.0,38.95,9.0,12.0,0.75,1.0,3.0,0.333,3.0,4.0,0.75,0.0,8.0,8.0,0.0,0.0,1.0,2.0,0.0,22.0,17.9,-5.0
2014-11-13,GSW,BRK,22.457534246575342,1.0,32.31666666666667,4.0,10.0,0.4,1.0,3.0,0.333,3.0,3.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,12.0,9.6,-1.0
2014-11-15,GSW,CHO,22.463013698630135,1.0,23.083333333333332,7.0,11.0,0.636,3.0,5.0,0.6,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,5.0,17.0,11.0,23.0
2014-11-16,GSW,LAL,22.465753424657535,1.0,24.216666666666665,4.0,8.0,0.5,2.0,3.0,0.667,4.0,5.0,0.8,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,14.0,10.4,15.0
2014-11-21,GSW,UTA,22.47945205479452,1.0,39.68333333333333,4.0,11.0,0.364,0.0,2.0,0.0,6.0,6.0,1.0,3.0,8.0,11.0,1.0,1.0,2.0,2.0,1.0,14.0,13.1,4.0
2014-11-23,GSW,OKC,22.484931506849314,1.0,23.383333333333333,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,2.0,1.0,0.0,1.0,4.0,0.0,-0.1,5.0
2014-11-25,GSW,MIA,22.49041095890411,1.0,36.21666666666667,5.0,9.0,0.556,1.0,3.0,0.333,1.0,2.0,0.5,2.0,6.0,8.0,2.0,0.0,0.0,0.0,2.0,12.0,11.1,14.0
2014-11-26,GSW,ORL,22.493150684931507,1.0,35.96666666666667,7.0,9.0,0.778,1.0,2.0,0.5,1.0,2.0,0.5,2.0,3.0,5.0,1.0,0.0,0.0,1.0,4.0,16.0,12.5,11.0
2014-11-28,GSW,CHO,22.4986301369863,1.0,28.566666666666666,3.0,8.0,0.375,1.0,2.0,0.5,2.0,2.0,1.0,4.0,5.0,9.0,1.0,0.0,0.0,1.0,0.0,9.0,8.6,5.0
2014-11-30,GSW,DET,22.504109589041096,1.0,32.9,3.0,8.0,0.375,0.0,3.0,0.0,3.0,4.0,0.75,1.0,8.0,9.0,2.0,1.0,0.0,1.0,1.0,9.0,8.3,14.0
2014-12-02,GSW,ORL,22.50958904109589,1.0,32.8,5.0,9.0,0.556,1.0,1.0,1.0,3.0,5.0,0.6,4.0,8.0,12.0,1.0,1.0,0.0,0.0,0.0,14.0,15.8,5.0
2014-12-04,GSW,NOP,22.515068493150686,1.0,40.38333333333333,7.0,12.0,0.583,0.0,1.0,0.0,3.0,4.0,0.75,5.0,5.0,10.0,1.0,0.0,0.0,1.0,0.0,17.0,15.7,36.0
2014-12-06,GSW,CHI,22.52054794520548,1.0,25.166666666666668,3.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,11.0,10.5,7.0
2014-12-08,GSW,MIN,22.526027397260275,1.0,29.4,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,1.0,0.0,0.0,2.0,4.0,4.4,6.0
2014-12-10,GSW,HOU,22.53150684931507,1.0,39.4,7.0,9.0,0.778,3.0,4.0,0.75,3.0,3.0,1.0,1.0,5.0,6.0,2.0,2.0,0.0,2.0,0.0,20.0,20.1,13.0
2014-12-13,GSW,DAL,22.53972602739726,1.0,33.583333333333336,6.0,11.0,0.545,0.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,3.0,2.0,1.0,3.0,3.0,12.0,11.2,-2.0
2014-12-14,GSW,NOP,22.542465753424658,1.0,28.583333333333332,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,2.1,7.0
2014-12-16,GSW,MEM,22.54794520547945,1.0,30.75,4.0,7.0,0.571,1.0,3.0,0.333,2.0,2.0,1.0,2.0,6.0,8.0,0.0,0.0,1.0,2.0,1.0,11.0,9.2,-11.0
2014-12-18,GSW,OKC,22.553424657534247,1.0,34.266666666666666,5.0,11.0,0.455,2.0,4.0,0.5,0.0,0.0,0.0,2.0,5.0,7.0,1.0,2.0,0.0,0.0,3.0,12.0,10.7,0.0
2014-12-22,GSW,SAC,22.564383561643837,1.0,26.583333333333332,3.0,8.0,0.375,1.0,4.0,0.25,1.0,2.0,0.5,4.0,4.0,8.0,1.0,1.0,0.0,3.0,2.0,8.0,5.1,8.0
2014-12-23,GSW,LAL,22.567123287671233,1.0,27.516666666666666,2.0,6.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,5.0,3.9,-13.0
2014-12-25,GSW,LAC,22.572602739726026,1.0,38.05,5.0,13.0,0.385,0.0,4.0,0.0,2.0,5.0,0.4,1.0,12.0,13.0,3.0,2.0,0.0,1.0,4.0,12.0,9.5,-3.0
2014-12-27,GSW,MIN,22.578082191780823,1.0,29.8,4.0,10.0,0.4,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,2.0,10.0,7.7,2.0
2014-12-30,GSW,PHI,22.586301369863016,1.0,28.483333333333334,3.0,6.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,1.0,6.0,7.0,3.0,1.0,0.0,0.0,0.0,8.0,10.2,20.0
2015-01-02,GSW,TOR,22.594520547945205,1.0,24.133333333333333,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,1.0,2.0,2.8,26.0
2015-01-05,GSW,OKC,22.602739726027398,1.0,35.53333333333333,8.0,14.0,0.571,5.0,5.0,1.0,2.0,4.0,0.5,2.0,5.0,7.0,0.0,0.0,0.0,0.0,3.0,23.0,17.3,23.0
2015-01-07,GSW,IND,22.60821917808219,1.0,24.466666666666665,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,3.9,13.0
2015-01-09,GSW,CLE,22.613698630136987,1.0,23.466666666666665,5.0,7.0,0.714,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,11.0,10.1,7.0
2015-01-13,GSW,UTA,22.624657534246577,1.0,22.85,5.0,8.0,0.625,2.0,4.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,9.7,15.0
2015-01-14,GSW,MIA,22.627397260273973,1.0,21.05,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,2.0,0.0,1.0,1.0,1.0,2.0,1.6,8.0
2015-01-16,GSW,OKC,22.632876712328766,1.0,40.15,6.0,13.0,0.462,4.0,7.0,0.571,2.0,2.0,1.0,3.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,18.0,16.7,-5.0
2015-01-17,GSW,HOU,22.635616438356166,1.0,23.933333333333334,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,0.0,1.0,3.0,10.0,8.5,11.0
2015-01-19,GSW,DEN,22.64109589041096,1.0,20.066666666666666,2.0,7.0,0.286,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,0.0,0.0,1.0,4.0,5.5,18.0
2015-01-21,GSW,HOU,22.646575342465752,1.0,27.7,4.0,8.0,0.5,2.0,4.0,0.5,1.0,1.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,5.0,11.0,7.0,3.0
2015-01-23,GSW,SAC,22.65205479452055,1.0,22.666666666666668,2.0,7.0,0.286,0.0,4.0,0.0,1.0,2.0,0.5,2.0,3.0,5.0,1.0,1.0,0.0,1.0,1.0,5.0,3.1,10.0
2015-01-25,GSW,BOS,22.65753424657534,1.0,25.133333333333333,4.0,6.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,9.0,8.1,1.0
2015-01-27,GSW,CHI,22.663013698630138,1.0,39.733333333333334,5.0,9.0,0.556,2.0,4.0,0.5,0.0,2.0,0.0,1.0,4.0,5.0,2.0,1.0,0.0,1.0,1.0,12.0,9.8,-1.0
2015-01-30,GSW,UTA,22.671232876712327,1.0,20.283333333333335,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,0.1,-14.0
2015-01-31,GSW,PHO,22.673972602739727,1.0,35.983333333333334,5.0,7.0,0.714,2.0,2.0,1.0,1.0,2.0,0.5,1.0,7.0,8.0,3.0,1.0,2.0,1.0,1.0,13.0,15.6,13.0
2015-02-03,GSW,SAC,22.682191780821917,1.0,23.916666666666668,4.0,8.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,9.0,5.4,-3.0
