date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,PHI,IND,24.59178082191781,1.0,23.483333333333334,4.0,9.0,0.444,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,4.0,10.0,4.3,-16.0
2014-10-31,PHI,MIL,24.5972602739726,1.0,25.5,3.0,8.0,0.375,0.0,0.0,0.0,1.0,2.0,0.5,3.0,5.0,8.0,1.0,0.0,0.0,1.0,2.0,7.0,4.7,7.0
2014-11-01,PHI,MIA,24.6,1.0,27.65,4.0,9.0,0.444,0.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,2.0,0.0,1.0,0.0,1.0,9.0,7.2,-10.0
2014-11-03,PHI,HOU,24.605479452054794,0.0,13.316666666666666,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,1.2,2.0
2014-11-05,PHI,ORL,24.610958904109587,0.0,23.983333333333334,1.0,5.0,0.2,0.0,0.0,0.0,1.0,2.0,0.5,2.0,6.0,8.0,2.0,3.0,0.0,3.0,2.0,3.0,3.3,-2.0
2014-11-07,PHI,CHI,24.616438356164384,1.0,26.083333333333332,7.0,10.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,8.0,5.0,0.0,0.0,2.0,3.0,16.0,16.5,17.0
2014-11-09,PHI,TOR,24.621917808219177,1.0,28.916666666666668,5.0,11.0,0.455,0.0,0.0,0.0,2.0,2.0,1.0,5.0,3.0,8.0,3.0,1.0,0.0,1.0,2.0,12.0,12.0,-22.0
2014-11-13,PHI,DAL,24.632876712328766,1.0,16.15,1.0,3.0,0.333,0.0,0.0,0.0,2.0,4.0,0.5,2.0,3.0,5.0,0.0,1.0,1.0,0.0,1.0,4.0,5.1,-17.0
2014-11-14,PHI,HOU,24.635616438356166,1.0,30.133333333333333,6.0,8.0,0.75,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,1.0,2.0,14.0,12.7,-8.0
2014-11-17,PHI,SAS,24.643835616438356,1.0,28.35,3.0,6.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,0.0,8.0,8.0,1.0,1.0,0.0,2.0,3.0,9.0,6.5,-15.0
2014-11-19,PHI,BOS,24.649315068493152,1.0,31.65,6.0,12.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,7.0,1.0,0.0,0.0,0.0,2.0,14.0,11.2,-3.0
2014-11-21,PHI,PHO,24.654794520547945,1.0,21.166666666666668,2.0,5.0,0.4,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,7.0,0.0,2.0,0.0,0.0,0.0,5.0,7.6,-11.0
2014-11-22,PHI,NYK,24.65753424657534,1.0,18.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,4.0,6.0,3.6,-4.0
2014-11-24,PHI,POR,24.663013698630138,1.0,34.083333333333336,8.0,14.0,0.571,0.0,1.0,0.0,6.0,6.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,3.0,3.0,22.0,14.5,-1.0
2014-11-26,PHI,BRK,24.66849315068493,1.0,26.6,6.0,13.0,0.462,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,0.0,2.0,0.0,2.0,2.0,12.0,8.0,-6.0
2014-11-29,PHI,DAL,24.676712328767124,1.0,24.333333333333332,5.0,8.0,0.625,0.0,0.0,0.0,3.0,4.0,0.75,3.0,2.0,5.0,1.0,1.0,0.0,2.0,2.0,13.0,10.6,-4.0
2014-12-01,PHI,SAS,24.682191780821917,1.0,24.75,5.0,9.0,0.556,2.0,3.0,0.667,0.0,2.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,12.0,7.2,-10.0
2014-12-03,PHI,MIN,24.687671232876713,1.0,25.3,4.0,8.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,2.0,4.0,6.0,1.0,1.0,0.0,2.0,2.0,10.0,7.1,5.0
2014-12-05,PHI,OKC,24.693150684931506,1.0,23.216666666666665,4.0,10.0,0.4,0.0,3.0,0.0,2.0,4.0,0.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,10.0,3.5,-12.0
2014-12-06,PHI,DET,24.695890410958903,1.0,27.633333333333333,4.0,10.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,9.0,4.0,6.0
2014-12-10,PHI,ATL,24.706849315068492,1.0,13.25,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.3,-9.0
2014-12-12,PHI,BRK,24.71232876712329,0.0,23.75,6.0,8.0,0.75,0.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,2.0,2.0,14.0,11.8,-11.0
2014-12-13,PHI,MEM,24.715068493150685,0.0,22.133333333333333,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,1.0,2.0,12.0,13.3,11.0
2014-12-15,PHI,BOS,24.720547945205478,0.0,16.233333333333334,1.0,8.0,0.125,0.0,1.0,0.0,3.0,4.0,0.75,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,5.0,0.9,-21.0
2014-12-19,PHI,CHO,24.731506849315068,0.0,13.5,3.0,4.0,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,7.0,2.3,-14.0
2014-12-21,PHI,ORL,24.736986301369864,0.0,21.033333333333335,5.0,11.0,0.455,0.0,2.0,0.0,2.0,2.0,1.0,3.0,9.0,12.0,2.0,0.0,0.0,0.0,2.0,12.0,11.7,13.0
2014-12-23,PHI,MIA,24.742465753424657,0.0,15.866666666666667,3.0,6.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,3.0,4.0,7.0,1.0,1.0,0.0,3.0,3.0,8.0,5.8,4.0
2014-12-26,PHI,POR,24.75068493150685,0.0,15.066666666666666,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,8.0,10.8,-6.0
2014-12-27,PHI,UTA,24.753424657534246,1.0,31.7,4.0,9.0,0.444,0.0,2.0,0.0,2.0,2.0,1.0,1.0,7.0,8.0,0.0,1.0,2.0,1.0,3.0,10.0,8.3,-8.0
2014-12-30,PHI,GSW,24.76164383561644,1.0,23.433333333333334,9.0,13.0,0.692,0.0,0.0,0.0,1.0,2.0,0.5,4.0,3.0,7.0,0.0,0.0,0.0,3.0,2.0,19.0,13.0,-10.0
2015-01-02,PHI,PHO,24.76986301369863,0.0,18.05,6.0,7.0,0.857,0.0,0.0,0.0,4.0,4.0,1.0,3.0,2.0,5.0,2.0,0.0,2.0,1.0,0.0,16.0,18.0,1.0
2015-01-03,PHI,LAC,24.77260273972603,0.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,4.0,2.0,2.0,-0.1,-6.0
2015-01-05,PHI,CLE,24.778082191780822,1.0,23.966666666666665,6.0,9.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,0.0,0.0,4.0,3.0,12.0,6.4,4.0
2015-01-07,PHI,MIL,24.783561643835615,1.0,18.116666666666667,1.0,8.0,0.125,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,2.0,0.0,3.0,-2.0,-11.0
2015-01-09,PHI,BRK,24.78904109589041,1.0,17.716666666666665,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,8.0,5.3,-9.0
2015-01-10,PHI,IND,24.791780821917808,0.0,18.833333333333332,3.0,7.0,0.429,0.0,0.0,0.0,5.0,6.0,0.833,4.0,5.0,9.0,1.0,0.0,0.0,1.0,3.0,11.0,9.7,7.0
2015-01-13,PHI,ATL,24.8,0.0,7.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.2,1.0
2015-01-14,PHI,TOR,24.802739726027397,1.0,23.983333333333334,4.0,9.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,2.0,0.0,1.0,1.0,2.0,8.0,6.5,-6.0
2015-01-16,PHI,NOP,24.80821917808219,0.0,10.65,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,1.5,-7.0
2015-01-17,PHI,DET,24.81095890410959,0.0,17.483333333333334,5.0,6.0,0.833,0.0,0.0,0.0,2.0,2.0,1.0,3.0,7.0,10.0,1.0,1.0,0.0,3.0,2.0,12.0,11.9,-1.0
2015-01-19,PHI,WAS,24.816438356164383,1.0,20.633333333333333,5.0,10.0,0.5,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,13.0,10.0,-7.0
2015-01-21,PHI,NYK,24.82191780821918,1.0,31.733333333333334,4.0,12.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,5.0,7.0,12.0,2.0,0.0,0.0,1.0,2.0,11.0,9.0,0.0
2015-01-23,PHI,TOR,24.827397260273973,0.0,19.05,4.0,11.0,0.364,0.0,1.0,0.0,3.0,3.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,2.0,11.0,3.7,-19.0
2015-01-24,PHI,MEM,24.83013698630137,0.0,8.233333333333333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,2.9,-15.0
2015-01-26,PHI,NOP,24.835616438356166,1.0,19.333333333333332,4.0,9.0,0.444,0.0,0.0,0.0,6.0,8.0,0.75,3.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,14.0,10.5,-14.0
2015-01-28,PHI,DET,24.84109589041096,0.0,17.95,5.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,0.0,2.0,4.0,3.0,10.0,6.6,-14.0
2015-01-30,PHI,MIN,24.846575342465755,0.0,17.1,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,6.0,8.4,3.0
2015-01-31,PHI,ATL,24.84931506849315,0.0,10.55,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,-1.9,-8.0
2015-02-02,PHI,CLE,24.854794520547944,0.0,10.85,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,0.7,3.0
