date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,IND,PHI,27.980821917808218,0.0,15.8,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,1.0,0.0,1.0,2.0,1.0,4.0,4.9,-6.0
2014-10-31,IND,MEM,27.986301369863014,0.0,21.033333333333335,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,0.0,1.0,2.0,4.0,2.8,4.0
2014-11-01,IND,ATL,27.98904109589041,0.0,12.966666666666667,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.7,-7.0
2014-11-04,IND,MIL,27.997260273972604,0.0,7.716666666666667,2.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,3.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,6.0,6.0,-2.0
2014-11-05,IND,WAS,28.0,0.0,21.483333333333334,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,1.0,2.0,6.0,5.2,3.0
2014-11-07,IND,BOS,28.005479452054793,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,0.6,-12.0
2014-11-08,IND,WAS,28.008219178082193,0.0,26.333333333333332,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,2.0,4.0,2.0,1.3,7.0
2014-11-10,IND,UTA,28.013698630136986,0.0,9.983333333333333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,3.0,2.0,0.1,7.0
2014-11-12,IND,MIA,28.019178082191782,0.0,14.25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.9,-5.0
2014-11-14,IND,DEN,28.024657534246575,0.0,22.683333333333334,4.0,4.0,1.0,0.0,0.0,0.0,1.0,5.0,0.2,5.0,6.0,11.0,2.0,0.0,1.0,2.0,2.0,9.0,10.8,6.0
2014-11-15,IND,CHI,28.027397260273972,0.0,12.766666666666667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,1.3,14.0
