date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-28,HOU,LAL,23.438356164383563,0.0,7.116666666666666,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.6,-8.0
2014-10-29,HOU,UTA,23.44109589041096,0.0,8.166666666666666,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-12.0
2014-11-01,HOU,BOS,23.44931506849315,1.0,34.75,3.0,11.0,0.273,3.0,9.0,0.333,0.0,2.0,0.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,1.0,9.0,4.7,4.0
2014-11-03,HOU,PHI,23.454794520547946,1.0,29.6,5.0,11.0,0.455,3.0,6.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,6.0,2.0,0.0,3.0,5.0,13.0,9.5,14.0
2014-11-04,HOU,MIA,23.457534246575342,0.0,14.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,7.7,-6.0
2014-11-06,HOU,SAS,23.463013698630135,1.0,26.366666666666667,5.0,10.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,12.0,8.5,16.0
2014-11-08,HOU,GSW,23.46849315068493,1.0,38.833333333333336,7.0,12.0,0.583,3.0,7.0,0.429,4.0,4.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,5.0,2.0,21.0,12.5,-16.0
2014-11-12,HOU,MIN,23.47945205479452,1.0,26.2,2.0,7.0,0.286,0.0,3.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,5.0,-2.0,-7.0
2014-11-14,HOU,PHI,23.484931506849314,1.0,26.2,3.0,8.0,0.375,3.0,6.0,0.5,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,9.0,5.9,16.0
2014-11-17,HOU,MEM,23.493150684931507,0.0,20.866666666666667,3.0,9.0,0.333,1.0,5.0,0.2,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,8.0,4.2,1.0
2014-11-22,HOU,DAL,23.506849315068493,0.0,2.783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,-1.0,-3.0
2014-11-24,HOU,NYK,23.512328767123286,1.0,26.316666666666666,2.0,8.0,0.25,1.0,5.0,0.2,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,4.0,7.0,2.7,11.0
2014-11-26,HOU,SAC,23.517808219178082,1.0,31.983333333333334,9.0,16.0,0.563,6.0,10.0,0.6,0.0,0.0,0.0,3.0,3.0,6.0,4.0,4.0,0.0,1.0,1.0,24.0,24.8,13.0
2014-11-28,HOU,LAC,23.523287671232875,1.0,14.916666666666666,4.0,8.0,0.5,3.0,6.0,0.5,2.0,3.0,0.667,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,8.8,3.0
2014-12-17,HOU,DEN,23.575342465753426,0.0,6.533333333333333,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8,-7.0
2014-12-18,HOU,NOP,23.578082191780823,0.0,10.65,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.4,-9.0
2014-12-22,HOU,POR,23.589041095890412,0.0,3.95,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-6.0
2014-12-31,HOU,CHO,23.613698630136987,0.0,2.4833333333333334,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-1.0
2015-01-02,HOU,NOP,23.61917808219178,0.0,12.0,1.0,3.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,5.0,4.0,1.0
2015-01-03,HOU,MIA,23.621917808219177,0.0,7.433333333333334,2.0,4.0,0.5,2.0,3.0,0.667,2.0,3.0,0.667,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,7.6,4.0
2015-01-07,HOU,CLE,23.632876712328766,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,HOU,NYK,23.635616438356166,0.0,6.583333333333333,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.6,1.0
2015-01-10,HOU,UTA,23.64109589041096,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2015-01-31,HOU,DET,23.698630136986303,0.0,7.5,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-5.0,7.0
