date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,PHO,LAL,25.723287671232878,0.0,20.283333333333335,9.0,11.0,0.818,5.0,7.0,0.714,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,23.0,18.1,-7.0
2014-10-31,PHO,SAS,25.72876712328767,0.0,29.15,10.0,17.0,0.588,0.0,3.0,0.0,3.0,4.0,0.75,1.0,1.0,2.0,4.0,0.0,0.0,2.0,4.0,23.0,14.9,10.0
2014-11-01,PHO,UTA,25.731506849315068,0.0,21.166666666666668,3.0,11.0,0.273,2.0,5.0,0.4,2.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,10.0,6.2,-20.0
2014-11-04,PHO,LAL,25.73972602739726,0.0,30.85,8.0,16.0,0.5,1.0,3.0,0.333,5.0,8.0,0.625,0.0,3.0,3.0,9.0,3.0,0.0,0.0,3.0,22.0,21.8,11.0
2014-11-05,PHO,MEM,25.742465753424657,0.0,25.6,4.0,10.0,0.4,1.0,4.0,0.25,6.0,6.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,15.0,9.1,8.0
2014-11-07,PHO,SAC,25.747945205479454,0.0,17.316666666666666,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,3.0,2.3,-4.0
2014-11-09,PHO,GSW,25.753424657534246,0.0,26.85,4.0,13.0,0.308,1.0,5.0,0.2,13.0,14.0,0.929,1.0,2.0,3.0,7.0,1.0,0.0,3.0,1.0,22.0,17.9,16.0
2014-11-12,PHO,BRK,25.76164383561644,0.0,22.683333333333334,6.0,13.0,0.462,0.0,3.0,0.0,9.0,9.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,3.0,3.0,21.0,14.1,10.0
2014-11-14,PHO,CHO,25.767123287671232,0.0,19.683333333333334,2.0,7.0,0.286,0.0,1.0,0.0,5.0,5.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,9.0,5.1,-11.0
2014-11-15,PHO,LAC,25.76986301369863,0.0,27.483333333333334,4.0,12.0,0.333,2.0,5.0,0.4,9.0,9.0,1.0,2.0,0.0,2.0,7.0,1.0,0.0,3.0,3.0,19.0,15.3,10.0
