date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-29,NYK,CHI,29.136986301369863,0.0,21.6,2.0,8.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,3.6,-22.0
2014-10-30,NYK,CLE,29.13972602739726,0.0,25.133333333333333,5.0,10.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,7.0,2.0,0.0,2.0,2.0,11.0,10.4,6.0
2014-11-02,NYK,CHO,29.147945205479452,0.0,26.783333333333335,3.0,7.0,0.429,1.0,3.0,0.333,0.0,3.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,4.0,4.0,7.0,-1.2,-3.0
2014-11-04,NYK,WAS,29.153424657534245,0.0,24.45,2.0,6.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,2.0,6.0,4.9,-8.0
2014-11-07,NYK,BRK,29.161643835616438,0.0,24.416666666666668,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,2.0,0.0,4.0,2.0,8.0,7.3,-9.0
2014-11-08,NYK,ATL,29.164383561643834,0.0,33.266666666666666,4.0,8.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,0.0,2.0,2.0,8.0,7.2,-9.0
2014-11-10,NYK,ATL,29.16986301369863,0.0,27.233333333333334,4.0,11.0,0.364,2.0,8.0,0.25,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,12.0,5.4,-1.0
2014-11-12,NYK,ORL,29.175342465753424,0.0,30.133333333333333,6.0,16.0,0.375,3.0,8.0,0.375,4.0,4.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,1.0,2.0,19.0,12.1,-1.0
2014-11-14,NYK,UTA,29.18082191780822,0.0,20.95,4.0,7.0,0.571,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,4.0,9.0,7.1,11.0
2014-11-16,NYK,DEN,29.186301369863013,1.0,36.53333333333333,10.0,16.0,0.625,2.0,6.0,0.333,6.0,8.0,0.75,0.0,4.0,4.0,4.0,2.0,1.0,5.0,2.0,28.0,20.9,19.0
2014-11-18,NYK,MIL,29.19178082191781,1.0,34.333333333333336,3.0,12.0,0.25,1.0,4.0,0.25,2.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,9.0,6.1,-16.0
2014-11-19,NYK,MIN,29.194520547945206,0.0,13.216666666666667,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,3.0,1.9,-10.0
