date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2014-10-30,LAC,OKC,34.61369863013699,0.0,27.233333333333334,5.0,15.0,0.333,2.0,8.0,0.25,4.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,3.0,3.0,16.0,8.3,8.0
2014-10-31,LAC,LAL,34.61643835616438,0.0,26.8,5.0,11.0,0.455,3.0,8.0,0.375,9.0,10.0,0.9,0.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,22.0,19.2,11.0
2014-11-03,LAC,UTA,34.62465753424657,0.0,33.63333333333333,7.0,19.0,0.368,2.0,6.0,0.333,3.0,3.0,1.0,0.0,2.0,2.0,5.0,2.0,0.0,2.0,1.0,19.0,12.2,12.0
2014-11-05,LAC,GSW,34.63013698630137,0.0,24.65,8.0,13.0,0.615,3.0,6.0,0.5,5.0,7.0,0.714,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,24.0,18.6,6.0
2014-11-08,LAC,POR,34.63835616438356,1.0,31.55,7.0,16.0,0.438,3.0,5.0,0.6,3.0,4.0,0.75,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,20.0,9.6,-5.0
2014-11-10,LAC,SAS,34.64383561643836,1.0,38.36666666666667,3.0,13.0,0.231,1.0,7.0,0.143,3.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,3.0,10.0,1.3,-2.0
2014-11-15,LAC,PHO,34.657534246575345,0.0,26.983333333333334,2.0,7.0,0.286,1.0,4.0,0.25,4.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,9.0,6.2,4.0
2014-11-17,LAC,CHI,34.66301369863014,0.0,27.3,10.0,17.0,0.588,1.0,5.0,0.2,3.0,5.0,0.6,0.0,2.0,2.0,5.0,1.0,0.0,2.0,5.0,24.0,16.4,-5.0
2014-11-19,LAC,ORL,34.66849315068493,0.0,23.516666666666666,8.0,12.0,0.667,2.0,3.0,0.667,4.0,4.0,1.0,0.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,22.0,19.6,20.0
2014-11-20,LAC,MIA,34.67123287671233,0.0,25.016666666666666,1.0,6.0,0.167,1.0,5.0,0.2,2.0,2.0,1.0,0.0,3.0,3.0,9.0,1.0,0.0,2.0,2.0,5.0,6.6,9.0
2014-11-23,LAC,MEM,34.679452054794524,0.0,28.266666666666666,5.0,13.0,0.385,2.0,6.0,0.333,7.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,19.0,13.5,-12.0
2014-11-24,LAC,CHO,34.68219178082192,0.0,26.05,8.0,13.0,0.615,5.0,8.0,0.625,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,21.0,15.3,6.0
2014-11-26,LAC,DET,34.68767123287671,0.0,32.61666666666667,8.0,16.0,0.5,3.0,8.0,0.375,6.0,6.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,25.0,21.4,7.0
2014-11-28,LAC,HOU,34.69315068493151,0.0,30.366666666666667,7.0,12.0,0.583,4.0,8.0,0.5,3.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,21.0,19.5,24.0
2014-11-29,LAC,UTA,34.6958904109589,0.0,27.733333333333334,8.0,17.0,0.471,4.0,9.0,0.444,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0,2.0,22.0,10.1,-7.0
2014-12-01,LAC,MIN,34.701369863013696,0.0,14.766666666666667,1.0,5.0,0.2,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.2,13.0
2014-12-03,LAC,ORL,34.706849315068496,0.0,22.05,1.0,6.0,0.167,0.0,5.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,3.0,5.0,4.2,-2.0
2014-12-06,LAC,NOP,34.71506849315068,0.0,25.416666666666668,6.0,11.0,0.545,2.0,4.0,0.5,6.0,6.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,20.0,19.5,11.0
2014-12-08,LAC,PHO,34.72054794520548,0.0,18.85,3.0,10.0,0.3,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,9.0,2.1,0.0
2014-12-10,LAC,IND,34.726027397260275,0.0,26.333333333333332,7.0,12.0,0.583,2.0,6.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,4.0,2.0,18.0,9.9,-20.0
2014-12-12,LAC,WAS,34.73150684931507,0.0,26.683333333333334,2.0,13.0,0.154,0.0,4.0,0.0,8.0,9.0,0.889,1.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,12.0,5.9,-2.0
2014-12-13,LAC,MIL,34.73424657534247,0.0,23.05,6.0,15.0,0.4,2.0,7.0,0.286,3.0,4.0,0.75,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,17.0,7.8,-18.0
2014-12-15,LAC,DET,34.73972602739726,0.0,27.416666666666668,0.0,6.0,0.0,0.0,2.0,0.0,5.0,5.0,1.0,0.0,2.0,2.0,7.0,1.0,0.0,1.0,0.0,5.0,6.3,17.0
2014-12-17,LAC,IND,34.74520547945205,0.0,19.8,4.0,7.0,0.571,1.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,10.0,4.8,-15.0
2014-12-19,LAC,DEN,34.75068493150685,0.0,26.266666666666666,7.0,15.0,0.467,1.0,4.0,0.25,5.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,20.0,10.1,-15.0
2014-12-20,LAC,MIL,34.75342465753425,0.0,29.45,5.0,16.0,0.313,3.0,8.0,0.375,4.0,6.0,0.667,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,17.0,9.9,2.0
2014-12-22,LAC,SAS,34.75890410958904,0.0,27.833333333333332,6.0,15.0,0.4,0.0,5.0,0.0,6.0,6.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,18.0,11.3,-11.0
2014-12-23,LAC,ATL,34.76164383561644,0.0,29.916666666666668,5.0,19.0,0.263,3.0,7.0,0.429,5.0,5.0,1.0,1.0,6.0,7.0,3.0,1.0,0.0,0.0,1.0,18.0,11.9,-7.0
2014-12-25,LAC,GSW,34.76712328767123,0.0,28.116666666666667,8.0,18.0,0.444,4.0,10.0,0.4,4.0,5.0,0.8,0.0,7.0,7.0,2.0,0.0,0.0,2.0,1.0,24.0,15.3,19.0
2014-12-27,LAC,TOR,34.772602739726025,0.0,27.85,6.0,14.0,0.429,3.0,8.0,0.375,5.0,5.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,2.0,20.0,13.6,-11.0
2014-12-29,LAC,UTA,34.778082191780825,0.0,23.816666666666666,6.0,14.0,0.429,2.0,4.0,0.5,3.0,4.0,0.75,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,17.0,9.2,6.0
2014-12-31,LAC,NYK,34.78356164383562,0.0,20.616666666666667,4.0,10.0,0.4,2.0,7.0,0.286,3.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,13.0,8.3,4.0
2015-01-03,LAC,PHI,34.79178082191781,0.0,21.733333333333334,3.0,9.0,0.333,1.0,5.0,0.2,5.0,5.0,1.0,2.0,2.0,4.0,3.0,0.0,0.0,1.0,2.0,12.0,9.2,16.0
2015-01-05,LAC,ATL,34.797260273972604,0.0,25.016666666666666,3.0,9.0,0.333,2.0,5.0,0.4,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,10.0,3.5,-12.0
2015-01-07,LAC,LAL,34.8027397260274,0.0,17.633333333333333,1.0,6.0,0.167,0.0,3.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,4.0,2.5,5.0
2015-01-10,LAC,DAL,34.81095890410959,0.0,22.116666666666667,6.0,10.0,0.6,3.0,6.0,0.5,4.0,4.0,1.0,1.0,2.0,3.0,4.0,2.0,0.0,4.0,2.0,19.0,15.7,6.0
2015-01-11,LAC,MIA,34.81369863013698,0.0,22.316666666666666,1.0,9.0,0.111,0.0,2.0,0.0,2.0,3.0,0.667,0.0,2.0,2.0,1.0,1.0,0.0,4.0,1.0,4.0,-4.4,-13.0
2015-01-14,LAC,POR,34.821917808219176,0.0,30.65,10.0,22.0,0.455,4.0,11.0,0.364,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,25.0,15.4,3.0
2015-01-16,LAC,CLE,34.827397260273976,0.0,23.85,3.0,12.0,0.25,1.0,4.0,0.25,6.0,7.0,0.857,0.0,0.0,0.0,6.0,1.0,0.0,1.0,2.0,13.0,8.8,-19.0
2015-01-17,LAC,SAC,34.83013698630137,0.0,28.716666666666665,5.0,15.0,0.333,1.0,7.0,0.143,2.0,2.0,1.0,0.0,3.0,3.0,5.0,0.0,0.0,1.0,1.0,13.0,7.5,5.0
2015-01-19,LAC,BOS,34.83561643835616,0.0,23.016666666666666,5.0,13.0,0.385,2.0,6.0,0.333,4.0,4.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,16.0,8.4,-10.0
2015-01-22,LAC,BRK,34.843835616438355,0.0,18.233333333333334,4.0,10.0,0.4,2.0,5.0,0.4,7.0,7.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,17.0,13.6,17.0
2015-01-25,LAC,PHO,34.85205479452055,0.0,23.7,3.0,12.0,0.25,1.0,5.0,0.2,3.0,4.0,0.75,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,10.0,5.1,0.0
2015-01-26,LAC,DEN,34.85479452054795,0.0,30.25,6.0,14.0,0.429,3.0,7.0,0.429,8.0,9.0,0.889,1.0,3.0,4.0,3.0,2.0,0.0,2.0,2.0,23.0,18.1,10.0
2015-01-28,LAC,UTA,34.86027397260274,1.0,39.68333333333333,5.0,14.0,0.357,4.0,7.0,0.571,7.0,7.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,21.0,14.7,5.0
2015-01-30,LAC,NOP,34.865753424657534,0.0,27.65,6.0,16.0,0.375,1.0,6.0,0.167,2.0,3.0,0.667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,15.0,4.9,13.0
2015-01-31,LAC,SAS,34.868493150684934,0.0,20.566666666666666,2.0,10.0,0.2,0.0,2.0,0.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,1.0,8.0,4.8,13.0
2015-02-02,LAC,BRK,34.87397260273973,0.0,37.35,7.0,22.0,0.318,2.0,7.0,0.286,2.0,3.0,0.667,3.0,2.0,5.0,4.0,0.0,0.0,2.0,3.0,18.0,7.3,4.0
2015-02-05,LAC,CLE,34.88219178082192,1.0,30.016666666666666,6.0,14.0,0.429,1.0,6.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,13.0,3.5,-25.0
2015-02-06,LAC,TOR,34.88493150684931,0.0,35.1,4.0,13.0,0.308,2.0,7.0,0.286,10.0,11.0,0.909,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,20.0,13.5,-15.0
2015-02-08,LAC,OKC,34.89041095890411,0.0,33.7,8.0,20.0,0.4,3.0,7.0,0.429,2.0,3.0,0.667,0.0,3.0,3.0,4.0,0.0,0.0,1.0,3.0,21.0,11.3,-15.0
2015-02-09,LAC,DAL,34.893150684931506,0.0,34.86666666666667,9.0,24.0,0.375,0.0,5.0,0.0,4.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,22.0,10.5,11.0
2015-02-11,LAC,HOU,34.8986301369863,0.0,32.13333333333333,6.0,15.0,0.4,1.0,4.0,0.25,7.0,8.0,0.875,0.0,3.0,3.0,3.0,2.0,0.0,1.0,2.0,20.0,14.7,12.0
2015-02-19,LAC,SAS,34.92054794520548,0.0,30.533333333333335,8.0,15.0,0.533,5.0,7.0,0.714,5.0,6.0,0.833,0.0,0.0,0.0,5.0,2.0,1.0,2.0,0.0,26.0,22.5,12.0
2015-02-21,LAC,SAC,34.92602739726027,0.0,20.666666666666668,10.0,18.0,0.556,1.0,7.0,0.143,2.0,2.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,3.0,23.0,17.7,37.0
2015-02-23,LAC,MEM,34.93150684931507,0.0,26.583333333333332,4.0,15.0,0.267,3.0,8.0,0.375,4.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,15.0,7.4,-6.0
2015-02-25,LAC,HOU,34.93698630136986,0.0,33.28333333333333,10.0,17.0,0.588,3.0,7.0,0.429,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,24.0,14.7,-7.0
2015-02-27,LAC,MEM,34.942465753424656,0.0,28.616666666666667,8.0,16.0,0.5,2.0,5.0,0.4,1.0,1.0,1.0,0.0,5.0,5.0,1.0,0.0,2.0,0.0,0.0,19.0,14.6,0.0
2015-03-01,LAC,CHI,34.94794520547945,0.0,34.45,6.0,18.0,0.333,1.0,6.0,0.167,3.0,4.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,16.0,5.3,9.0
2015-03-02,LAC,MIN,34.95068493150685,0.0,11.35,4.0,9.0,0.444,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,4.1,-14.0
2015-04-07,LAC,LAL,35.04931506849315,0.0,18.833333333333332,2.0,7.0,0.286,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,-1.0,-3.0
