date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2015-01-19,GSW,DEN,22.041095890410958,0.0,12.616666666666667,4.0,5.0,0.8,0.0,0.0,0.0,3.0,5.0,0.6,2.0,3.0,5.0,0.0,0.0,1.0,0.0,2.0,11.0,10.5,15.0
2015-01-23,GSW,SAC,22.052054794520547,0.0,5.583333333333333,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.2,-9.0
2015-01-27,GSW,CHI,22.063013698630137,0.0,1.3166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,GSW,ATL,22.09041095890411,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2015-03-13,GSW,DEN,22.186301369863013,0.0,27.733333333333334,6.0,10.0,0.6,0.0,0.0,0.0,4.0,6.0,0.667,4.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,16.0,13.1,-3.0
2015-03-16,GSW,LAL,22.194520547945206,0.0,5.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,2.0
2015-03-18,GSW,ATL,22.2,0.0,4.616666666666667,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,-1.2,-4.0
2015-03-20,GSW,NOP,22.205479452054796,0.0,5.083333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,-0.2,-6.0
2015-03-27,GSW,MEM,22.224657534246575,0.0,2.85,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0
2015-03-28,GSW,MIL,22.22739726027397,0.0,22.75,5.0,8.0,0.625,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,3.0,2.0,1.0,12.0,9.7,3.0
2015-03-31,GSW,LAC,22.235616438356164,0.0,2.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-5.0
2015-04-02,GSW,PHO,22.24109589041096,0.0,22.0,3.0,5.0,0.6,0.0,0.0,0.0,2.0,5.0,0.4,2.0,6.0,8.0,0.0,1.0,1.0,0.0,3.0,8.0,8.2,-2.0
2015-04-05,GSW,SAS,22.24931506849315,0.0,9.216666666666667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,7.0
2015-04-09,GSW,POR,22.26027397260274,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-15,GSW,DEN,22.276712328767122,0.0,15.85,3.0,4.0,0.75,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,8.0,4.7,9.0
